USER,REVIEW,SENTI,COUNT
1. OffCoffee,"카페,이름",0,0
애호박,"오프,커피,먹,었,는데,다섯,잔,먹,어도,안,질릴,거,같,아요",0,0
만세타이어,굿,0,0
아맛나,"오프,커피,맛나,요",0,0
솔라C,"커피,맛있,고,분위기",0,0
희짱,"시원,하,고,달달,하,니,맛있,어요,카페,인테리어,도,이뻐요",0,0
장쓰,"인테리어,가,맘,에,들,어요,슬러시,도,맛있,어요",0,0
샛별,셔요,0,0
초코초코,"분위기,도,좋,고,디저트,맛있,어요",0,0
고끼리,"귀엽,고,키치,한,카페,사장,님,이,언제나,친절,하,세요",1,1
정영선,"저희,집,근처,에,이런,감성,카페,가,있,는,줄,몰랐,어요,친구,기다리,면서,우연히,들어갔,는데,와,앞,으로,이,집,커피,만,먹,을,듯,너무,맛있,어요",0,0
난냐뉴라,"역시,커피,맛집,너무,좋,네요",0,0
우연옥,"커피,가,깔끔,하,고,맛있,어요",0,0
서주원,"근처,친구,집,놀,러,갔,다가,분위기,좋,은,카페,발견,했,네요",0,0
쩡,"맛,도,좋,고,분위기,도,좋,고,사장,님,도,너무,친절,하,셨,어요",1,1
김소연,"카페,가,면,스티커,무조건,모으,는데,너무,귀여워,요,맛,도,좋,고,자주,가,겠,습니다",0,0
곰수니,"젤라,또,또,먹,으로,옴,난,단골,인증,상큼,하,니,맛나,요",0,0
nic****,"친구,만나,서,다녀왔,는데,맛있,고,분위기,굿,입니다",0,0
규울,"달달,하,고,너무,맛있,어요,다음,엔,다른,메뉴,도,먹,어,볼래요",0,0
희요요,"아메리카노,딱,맛있,고,스콘,도,맛있,어요",0,0
앙퀴,"커피,랑,젤라,또,다,너무,맛있,어요",0,0
hee96113,"깜찍,한,굿즈,많,아요,다음,에,음식,도,먹,어,보,러,재,방문,하,겠,습니다",1,1
쩜쑤,"핫도그,맛있,어요",0,0
로지,"인테리어,가,너무,귀여워,요",0,0
ysy****,"친절,하,시,고,커피,맛,도,제,가,좋,아,하,는,맛,이,에요,맛있,네요,만족,합니다",1,1
kmj****,"여기,커피,맛있,어요",0,0
수빈,"오프,커피,약간,반신반의,로,시킨,건데,제,입,에,딱,맞,아요",0,0
jeo****,"레몬,티,도,그렇,고,커피,도,그렇,고,정말,맛있,어요,웬만,한,커피,전문점,보다,맛있,어요",0,0
니니,"독특,해요,맥주,도,파,는,카페,랍니다",0,0
김은경,"커피,맛,이,제,입,에,잘,맞,아요,카페,가,느낌,있,어서,다음,에,또,방문,하,고,싶,네요",0,0
김양은,"커피,향,도,좋,고,스콘,맛,도,좋,네요,다음,에,또,방문,할게요",0,0
뽀,"사장,님,이,매우,친절,하,셔요",1,1
난냐뉴라,"정말,너무,맛있,습니다,스콘,먹,으러,맨날,오,고,싶,오",0,0
MzCz,"귀여운,카페,입니다,젤라,또,도,맛있,어요",0,0
yeb****,"배고파서,핫도그,먹,었,는데,진짜,한,끼,로,딱,이,네요,완저,니,든든,합니다,그리고,맛,도,기,가,막힙니다,나중,에,또,와서,먹,을,거,예요,직원,언니,너무,귀여워,요",0,0
곰수니,"젤라,또,맛집,이,지만,아메리카노,도,맛있,다,밥,만,적,게,먹,었,으면,다,먹,는,건,뎈",0,0
손많이가는아이,"커피,가,고소,해서,좋,아요",0,0
소영,"커피,맛있,어요,b",0,0
샛별,"좋,아요",0,0
아리공주,"레몬,티,따뜻,한,거,마셨,는데,레몬,그,자체,상큼,해요,너무,맛있,어요,엄청,추운,날,마시,자마자,행복,하,네요,자주,올게요",0,0
pizont,"코로나,규제,풀린,기념,으로,놀,러,왔,는데,고향,에,온,듯,아련,한,기분,이,드,네요",0,0
momo,"귀여워,요",0,0
닉X,"너무,좋,은데요,좋,았,습니다,젤라,또,맛있,어요",0,0
nam****,"넘,나,맛있,어요,최고",0,0
난냐뉴라,"오늘,은,초코,라테,너무,맛있,습니다,오프,커피,만세,만세,만세",0,0
난냐뉴라,"새,메뉴,아보카도,샌드위치,맛,이,좋,네요,강력,추천,합니다,자주,올게요",0,0
sy,"이곳,만,의,바이브,가,좋,아요",0,0
이가현,"바질,젤라,또,새콤달콤,해서,기분,전환,되,는,맛,이,에요,사장,님,친절,하,시,고,매장,도,아기자기,해서,좋,아요",1,1
빡쑤,"완전,존맛",0,0
난냐뉴라,"새,메뉴,오트밀,커피,크림치즈,브레드,와,토마토,수프,출시,됐,길래,먹,어,봤,어요,말,해,뭐,합니까,정말,끝내,주,네요",0,0
pizont,"오랜만,에,왔,는데,신,메뉴,가,쏟아지,네요,코로나,때문,에,걱정,이,많,으실,테,지만,항상,밝게,맞이해,주,시,는,사장,님,덕분,에,오늘,도,너무,힐링,됩니다",1,1
난냐뉴라,"항상,오,고,싶,은,카페,에,요,제,인생,카페,라고,나,할까요,오늘,은,아메리카노,와,쿠키",0,0
지희,"직원,분,들,도,친절,하,시,고,커피,도,진짜,맛있,습니다,원래,리뷰,잘,안,남기,는,편,인데,너무,좋,아서,남겨요",1,1
