,USER,SCORE,REVIEW
0,애호박,5,오프커피 먹었는데 다섯잔 먹어도 안질릴거같아요
1,만세타이어,5,굿
2,아맛나,4,오프커피 맛나요~
3,솔라C,5,커피 맛있고 분위기👍🏻
4,희짱,4.5,시원하고 달달하니 맛있어요~~ 카페 인테리어도 이뻐요~
5,장쓰,5,인테리어가 맘에 들어요~ 슬러쉬도 맛있어요:)
6,샛별,3.5,셔요
7,초코초코,5,분위기도좋고 디저트맛있어요
8,고끼리,4.5,귀엽고 키치한 카페. 사장님이 언제나친절하세요
9,정영선,5,저희집 근처에 이런 감성카페가 있는줄 몰랐어요!ㅋㅋ 친구 기다리면서 우연히 들어갔는데 와 앞으로 이집커피만 먹을듯 너무 맛있어요 !!
10,난냐뉴라,5,역시 커피 맛집.. ^^ 너무 좋네요
11,우연옥,5,커피가 깔끔하고 맛있어요 ~
12,서주원,5,근처 친구 집 놀러갔다가 분위기 좋은 카페 발견했네요~
13,쩡,5,맛도 좋고 분위기도 좋고~ 사장님도 너무 친절하셨어요 ^^
14,김소연,5,카페가면 스티커 무조건 모으는데 넘 귀여워요 ㅎㅎ 맛도 좋고 자주 가겠습니당!!
15,곰수니,5,젤라또 또먹으로옴ㅋㅋㅋ난 단골인증 상큼하니 맛나유
16,nic****,5,친구만나서 다녀왔는데 맛있고 분위기 굿입니다
17,규울,5,달달하고 넘 맛있어요 ㅎㅎ 다음엔 다른메뉴도 먹어볼래요
18,희요요,5,아메리카노 딱 맛있고 스콘도 맛있어요~
19,앙퀴,5,커피랑 젤라또 다 너무 맛있어요ㅠㅠ
20,hee96113,4,깜찍한 굿즈 많아요! 다음에 음식도 먹어보러 재방문 하겠음니다 :)
21,쩜쑤,5,핫도그 맛있어요~🥰
22,로지,5,인테리어가 너무 귀여워요 :)
23,ysy****,5,친절하시구 커피맛도 제가 좋아하는 맛이에용ㅎㅎ 맛있네용ㅎㅎ 만족합니당~~
24,kmj****,5,여기커피맛있어요!!
25,수빈,5,오프커피 약간 반신반의로 시킨건데 제 입에 딱맞아요 ㅎㅎ
26,jeo****,5,레몬티도 그렇고 커피도 그렇고 정말 맛있어요 왠만한 커피전문점 보다 맛있어요~
27,니니,4.5,독특해요 맥주도 파는 카페랍니당
28,김은경,5,커피 맛이 제 입에 잘 맞아요~ 카페가 느낌있어서 다음에 또 방문하고 싶네요
29,김양은,5,커피 향도 좋고 스콘 맛도 좋네요^^ 다음에 또 방문할게요~
30,뽀,4.5,사장님이 매우 친절하셔요
31,난냐뉴라,5,정말 너무 맛있습니다. 스콘.. 먹으러 맨날 오고싶ㄴㅔ요^^
32,MzCz,5,"귀여운카페입니다,,젤라또도맛있어요!"
33,yeb****,5,배고파서 핫도그 먹었는데 진짜 한끼로 딱이네요 완저니 든든합니다~! 그리고 맛도 기가 맥힙니다 나중에 또 와서 먹을거에요 직원 언니 너무 귀여워요♥️
34,곰수니,5,젤라또맛집이지만 아메이카노도 맛있당 밥만적게먹었으면다먹는건뎈ㅋㅋ
35,손많이가는아이,5,커피가 고소해서 좋아요!!
36,소영,5,커피 맛있어요b
37,샛별,5,조아요
38,아리공주,5,레몬티 따뜻한거 마셨는데 레몬 그자체 상콤해요 너무 맛있어요. !! 엄청 추운날..마시자마자 행복하네요 자주올게요!!
39,pizont,5,코로나 규제 풀린 기념으로 놀러왔는데... 고향에 온듯 아련한 기분이 드네요
40,momo,3.5,귀여워요
41,닉X,5,너무좋은데요. 좋았습니다. 젤라또 맛있어요.
42,nam****,5,넘나 맛있어용 최고
