,USER,SCORE,REVIEW
0,Irene MJ Kim,5,루프탑 가기 좋은 계절입니다. 실내 좌석보다 실외가 좋습니다. 옥상 계단은 외부에 있으며 카운터에서 조금 먼 편입니다.
1,2ko****,0.5,"커피맛 보통, 디저트 이쁜데 너무 달아요. 케익에 붙어있는 테이프... 못 빼요... 빼려다가 케익 부셔져요... 가져가서 빼달라고 했는데 직원분도 못 하셔서 결국은 가위로... 케익 부셔져있는데 아무말도 없고 귀찮은 느낌으로... 다시 주셨습니다. 기년일에 케익 사진도 찍고 먹으려했는데 느낌이 너무 안 좋았어요. 차리도 깨끗하지 않았어요.. 왜 사람이 많은지 모르겠어요. 다시는 안 갈것같습니다."
2,Jayla,3.5,커피는 맛있어요
3,Ellen,4,레몬케익이 좀 아쉬웠지만 까눌레는 맛있었음
4,쁠희,5,디저트 맛집에 분위기도 너무 좋아요!!! 루프탑도 엄청 넓어서 좋았어요ㅎㅎㅎ
5,akwieirgovjcjccudiiw,4,.
6,배나윤,5,분위기 좋고 아늑하고 케이크도 맛있어요
7,김민경,5,쇼파가 너무 편해서 자꾸 가게돼요
8,sop****,5,정말 특이하고 맛있습니다 커피가 일단 진하고 맛있어서 아인슈페너 크림 단호박라떼 단호박이랑 잘 어울려요
9,튠튜,5,굿맛
10,배나윤,5,앙버터랑 크림 크로아상이 젤 맛있네요
11,오드리될뻔,3.5,무화과 케이크는 처음 먹는데 맛있어요
12,몽수,5,분위기도 좋고 직원분도 친절해서 기분좋게 마시고 가요
13,하고싶은거다해,4,굿 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
14,soo****,4,좋아요
15,emfro123,5,번창하세요
16,리즈진,4,"음료 , 케이크 맛있어요. 테이블 간 간격이 좁은 편이에요~"
17,marizzang,4.5,맛있어요!!!
18,ilovemeem,4.5,넘 좋아요!! 분위기짱
19,횬디,5,나만알고싶은 곳
20,김회장,4,잘 이용하였습니다
21,anyeung,5,빵종류가 엄청많진않지만 적당한 가짓수 커피 맛있음. 특히 피치아일랜드 이쁜데 맛도좋음 스콘은 너무 밀도가높은맛.. 케이크가 더좋았음 매장넓어서 거리두고 앉기 좋았어요
22,wbm****,5,굿
23,rozh4032,4,애플 피칸 케이크는 좀 너무 달고 잘 부서져서 먹기 힘드ㄴ데 얼그레이 무화과 케잌은 베스트인만쿰 맛있게 먹었네용 가격은 좀 비싼편
24,곤,4,가격대가 있어요
25,로지,5,에그타르트 맛나용❤️
26,레아,5,"늦은 시간에 가서 빵이 많이 없었지만 스콘, 파운드케익 맛있었어요. 아메리카노가 진해서 커피마시러 또 올 것 같습니다."
27,khj****,2,그렇게 다들 맛잇다던 까눌레? 웩웩 카페에 자리도 너무 않좋고 불편하고 왜이렇게 큰 쇼파들을 갖다놔서 둘이 앉는것도 애매하고 딴사람들 앉아잇는데 가서 앉을수도 없고.. 소파도 다 꺼져서 완전 쭈구려 먹어야 되고 불편해서 30분도 못 앉아 잇겟다!! 커피맛은 쏘쏘. 빵은 스콘이 젤 낫다
28,스마일,5,얼그레이 파운드 맛있어요
29,김민경,5,바닐라라떼 맛있어요
30,남이,4.5,복숭아 아이스티가 이렇게 맛있고 이쁘게 주는 곳 처음 봤어요🤭 빵도 맛있고 루프탑도 있어서 좋았어요
31,브레인,5,"케이크가 정말 맛있고, 옥상이 넓어서 요즘같은 날씨에 딱이에요....!"
32,사나짱,5,맛잇어요
33,숑숑,5,"빵, 커피 맛있고 분위기 편하고 친절합니다"
34,콩의여왕,5,맛있어용
35,smpboy,5,글로우
36,Linda,4.5,맛있어요
37,후히헬롤,5,빵도 맛있고 커피도 맛있어요~~~~ 분위기도 좋네요
38,gml****,2.5,보통
39,아이다,5,베이커리 커피 다 맛있어요!
40,아로미,4,얼그레에 무화과 맛잇어요
41,루핑,4,늘 친절하시고 커피 맛있어요 😊
42,임경진,5,스콘이 아주 크고 꼬소해요!! 특히 팥이 엄청 달지도 않고 딱 좋숨다 커피랑 싹싹입니다
43,래빗츄,5,분위기 좋았던 글로우~ 다음에 또 갈게요
44,goo****,3,좋아요
45,M군,3,비싸요. 자리도 좁고
46,met****,4,좋아요.
47,ssf1215,4.5,커피 맛있고 빵도 다양
48,깜냥단미,4.5,카페 분위기도 너무 좋고 커피도 맛있도. 까눌레랑 스콘도 적당히 맛있어요!
49,워니,3,인테리어 이뻐요 공간도 넓고 음료랑 빵은 보통이네요 ~ 얼그레이는 빵이 좀더 촉촉하면 더 맛있을듯! 스콘은 추천안하고 까눌레는 나쁘지 않아요 얼그레이 >까눌레>스콘
50,윤세희,5,시그니처 커피 마싯어요~~ 공간도 넓고 분위기도 좋아요
51,Sannie,4,좋아요
52,고도리야,3,빵은 맛있으나 불친절하네요
53,jey,5,빵이랑 커피 청포도주스 맛있게 먹었어요 바닐라커스터드크루와상이 젤 맛있었어요 그리고 루프탑 있어서 좋아요
54,kky****,3,무난하네요. 스콘이랑 마카롱은 좀 아쉬웠어요
55,빅톨,4,좋아요
56,뚜기,4,좋아요
57,llIIll,4,빵 괜찮고 커피는 좀 시네요
58,rhtnwls,3.5,빵 종류 많아요 커피는 약간 산미가 있어요
59,Anznaseona,3.5,앙버터에 팥이 좀 팥빙수 팥맛이 많이나네요ㅠㅠ
60,누누,5,밀크티 짱맛나요
61,He_starlight,4,"얼그레이 무화과 케이크, 얼그레이 까눌레가 맛있다 근데 벽돌 가득하고 테이블이 낮은 전형적인 인스타 인테리어.. 너무 불편.."
62,바람개비,5,"카페 인테리어도 예쁘고, 다양한 스타일&규모의 좌석들이 가득! 라떼도 맛나요"
63,찐이,4,좋아요
64,tkw****,4,굿
65,투영스,4,sns에 핫한 곳이라고 해서 방문 커피는 맛있었고 스콘은 그닥~~~
66,Nayanzz,4,맛있어요
67,얼큰이,5,커피는 물론 케이크도 맛났지만 옛 건물을 활용한 인테리어와 함께 꽤 넓고 조용한 루프탑도 매력적이었다. 코로나19가 사라지면 맘껏 여유를 즐기고 싶을 정도로...
68,쩨니,5,글로우 라떼는 사랑입니다!
69,쏘쏘,4.5,"평일 낮 날씨 좋을때 친구과 길게 얘기 하거나 혼자 책보러 가기 좋은곳. 아주 푹신하고 커다란 소파가 명당인 카페. 읽을 글이 있어 일요일 오후에 들르니 사람이 꽤 많았네요, 커피는 맛있고 디저트는 약간 취향이 아니라 아쉽"
70,루시,4,"빅토리아 케이크, 초코 까눌레 먹어봤어요! 빅토리아 케이크 너무 맛있더라구요ㅎㅎ 주문하는데 좀 복잡하고 사람이 많았어서 그런지 직원분 친절한건 잘 모르겠지만,,인테리어 깔끔하고 이뻤어요ㅎㅎ 시그니처 뽀또라떼가 정말 맛있더라구요! 리뷰가 많이 없길래 먹어봤는데 반했습니다🙊✨ 뽀또라 떼 먹으러 또 가고싶어요!🧡"
71,건물주부자될거야,4.5,ㅈㅇㅇ
72,kmi****,4.5,좋아요
73,choko,5,커피 빵 맛집 너무 좋아요 사층빵집 많이 오픈해주세요
74,mah****,4.5,커피보다 빵이 맛있는 곳:) 빵은 다 맛있어요!
75,키키이키,4,자리가 약간 비효율적이만 분위기 좋고 소파 편해용
76,Bbbbttttsss,4.5,쇼파 편해요 커피 산미없어서 좋아요
77,kik****,4.5,"까눌레는 쏘쏘, 파운드케잌은 진짜 맛있어요"
78,없음,5,분위기 굳. 커피 너무 맛있어요 :)
79,ppband99,5,스콘 최고 ㅠㅠ
80,베리엄마,5,검색해서 찾아왔는데 주차문의도 친절하게 해주시고 맛있엉ㅛ!!
81,Odelia,5,가격도 괜찮고 까눌레랑 케이크 맛있어요~
82,언덕위에 태양,5,테잌아웃 천원 할인 감사합니다~^^
83,ㅊ,4,맛있어요~
84,곤드레명드레,0.5,죄송합니다. 너무 맛있어서 저만 알고싶은 마음에 0.5점 드립니다. 전 세계 최고의 라떼 맛을 보장합니다.
85,kkyung,4,맛있어요 조금 비싸긴해도
86,gon****,5,디저트 짱짱!
87,a형,4,브루잉 마시고 싶었는데 그 날 안 된다고 하셔서 ㅠㅡㅠ 아쉽네용. 빵 맛나요 !!! 커피는 그냥 저냥?
88,행복,4.5,까눌레 맛있어요^^
89,수빈맘,3.5,크로와상 맛나네요~ 커피도 좋구요
90,고도리야,4,빵맛집 에그타르트 도우?빵부분 너무맛나요
91,tom****,0.5,"블로그보고 갔다가 넘버 1 얼그레이 무화과케이크 넘버 2 바닐라 까눌레 두가지 시켰는데 까눌레는 그냥저냥 먹을만했는데 얼그레이 케이크는 한입씩먹고 그냥 두고왔네요 너무맛없어요 음료할인시간대에 주문했는데 할인이 안된거같아 물어보니 짜증스런얼굴로되는 ""메뉴만된다.."" 그럴꺼면 뭐뭐뭐 만된다 적어놓으시던지요... 그게 그렇게 짜증내실 질문인가요??? 기분전환하러갔다 기분 더러워져나왔습니다"
92,2sa,5,굿
93,jello95,4.5,사층빵집 맛있어요 에그타르트랑 소세지 들어간빵 최고
94,쩨니,5,오로지 맛때문에 가는곳 !
95,해랑,5,진짜 끝내줘요~~^^
96,광고처단자,5,라떼맛있고 스콘 맛있고 얼그레이밀크티 존맛탱 이고
97,forever7113,5,냄새두 좋아요~~
98,세자녀맘,5,냄새가너무 좋아요
99,kum****,4,좋아요
100,lilyrose,2,싱거워요
101,com****,5,여기 사층빵집이랑 콜라보한 카페!!
102,광고처단자,5,맛있어요
103,7ebor,5,커피 맛있어용 담엔 빵도 사먹으려구용
104,할미새사촌,4.5,단호박 라떼 굿
105,수정,5,스콘 맛있어요!
106,로쿠,5,"여자친구와 자주 방문하는곳, 다양한 디저트와 커피가 있어 좋았다. 단호박 크림라떼 정말 맛있다.."
107,내차는구아방,5,매번 매장에서만 먹다가 처음 포장했는데 집에와서 먹으니깐 진짜 굳굳 직원들이 친절했고 서비스 좋았습니다 다른 메뉴들도 또 먹으러 갈 예정>_<
108,종우,5,성수동에서 제일 많이 가본 글로우 단골된 지 오랜데 뒤늦게 리뷰 작성해요 요기 바닐라라떼 정말 맛있고 빵들도 거진 다 맛있었어요!! 점심시간에는 직장인들이 많아서 상대적으로 3시이후에 가는 편이고 추천해욤!! 커피맛집으로 알만한 사람들은 알기에 먹어보세욤!!!
109,새벽이슬,0.5,점원 불친절 합니다.
110,VINCA,4,강아지만 되면 퍼팩트 ㅋㅋㅋ
111,쩨니,4,꾸덕한 라떼랑 초코스콘 조합은 꾸르맛 👍
112,광고처단자,5,코로나 잘이겨내봐요 화이팅..
113,무고몽,5,분위기도 좋고 빵이랑 커피랑 너무 맛있어요!!! 단골 될 듯 ㅋ
114,미미,5,맛있어요
115,nbr9551,3.5,좋아요
116,샤샥,5,빵 맛있어요
117,정효연,5,빵 맛집이예요!!!!
118,행복만땅,3.5,깔끔
119,mooilpun,5,커피맛도 좋고 분위기도 좋고 디저트도 다 맛났어요^^
120,jello95,5,케이크 사러 갔는데 오픈하자마자 갔더니 케잌은 한시간 뒤에 나온대서 다른빵 삼. 기대하지 않았는데 소시지 크로와상이랑 치즈타르트 너무 맛있었음
121,오늘도행쇼,5,직장이 근처여서 자주가는 카페 글로우! 분위기도 좋고 커피도 케이크도 다 좋았어요
122,wls****,4,.
123,Jenny,3,~~!
124,쩨니,5,라ㄸㅔ 맛집 ..❤
125,kjj5467,5,커피 너무 맛잇어ㅠㅠㅠㅠㅠ
126,kjj5467,4,존맛... 안달고 맛잇어요
127,솜사탕,4.5,"지금까지 먹어본 까눌레 중에 손에 꼽히는 듯해요. 맛있어요,"
128,미래,4,소파가 너무 눕게되는 소파라.. 먹을땐 불편한데 맛있어요
129,whtjsdud71,4.5,맛있어욤~~
130,리스,2.5,생각했던 것보다는 실망했어요 성수동에 워낙 대형카페가 많고 해서 이 곳은 인테리어나 커피 맛에서 기억에 남는 점을 못찾았어요 예쁜 라떼 아트는 감사했습니다 근데 커피 온도가 미지근했네요 ㅜ
131,everything,5,분위기도 좋고 친절하고 맛있고 공부하기에도 좋아요
132,bahn,4.5,맛 분위기 음료 모두 갖춘 좋은 곳!
133,wls****,4,.
134,sta****,5,분위기도 좋고 자연채광이라 사진찍기 좋은것 같아요. 베이커리도 다양하고 성수역에서 가까워서 약속장소로도 좋을것 같아요 :)
135,thd****,5,맛있어용!
136,삐삐,3,디저트는 참 맛있는데 앉는 자리가 너무 불편하네요
137,wjh0530,4.5,일층 쇼파들 되게 푹신해보였는데 사람많아서 루프탑 올라갔어요~ 베이커리도 있어서 고르는맛나요
138,세실,5,시나모니 애플피칸케이트 사랑합니다 분위기도 킹왕짱이네용 빵과 커피 여기 천국
139,eun****,5,은은한 분위기로 분위기 좋고 넓은 카페! 밝은 조명이 아닌 은은한 조명으로 색다른 느낌을 느낄 수 있는 카페
140,뤼미에르,5,맛있어요
141,후훗,4.5,스콘이랑 타르트가 너무 맛났어요ㅎㅎㅎ
142,찐님,5,좋아요좋어요~~~~~
143,zoq****,5,여기 직원분도 너무 친절하시구 너무너무 맛잇구 분위기도 짱이에요
144,Ramsgate,4.5,친절하고 좋아요 빵도 맛나요
145,냐오미,5,좋아용 별로 안붐볐어요 친절하기도 합니다
146,일의노예,5,고
147,rosa,2.5,"주차안되고,근처 주차장도 항상 꽉 차 있어서. 차 없이 걸어가야 하는 곳. 커피도 아쉽지만, 사층빵집의 베이커리가 별점 채워주는 곳"
148,사슴,3,빵이 너무 이뻐서 먹었는데 냉동에서 녹는중인걸 꺼내놓으셨더규요 ㅠㅠ 앉는 의자도 불편해요 시나모니 먹었는데 그래도 커피는 괜찮은편이었어요
149,광고처단자,5,말해뭐해
150,주힝,4.5,ㆍ
151,쩨니,5,글로우 라떼는 진짜 꼬소하구 맛있어요 >0< 주차가 가능해서 너무너무 편해요 ~~
152,칸타빌레,5,👍
153,realsunmin,5,맛있어요
154,쩜짠네,4,커피맛 좋아요
155,감자샐러드,5,제 사랑이에요.. 글로우 계속 생각나서 빙 돌아서라도 퇴근해요
156,셔니이모,3,아직 포장한걸 안먹어봤지만 기대중이예요
157,광고처단자,5,말해뭐해~~~~
158,행복해,5,#성수루프탑카페 진한 아이스커피랑 앙버터스콘이 맛있는곳이에요.
159,오후세시,4.5,직원분 엄청 친절하시고 맛나용 까눌레사러 갔는데 다 떨어져서 초코맛 사왔어요
160,바나나킥킥킥,5,루프탑짱짱맨
161,JeongWon,5,편하고 아주 좋아요~~
162,광고처단자,5,마싯
163,고도리야,4,쇼파맛집입니다 원두는 산미가느껴지는편이네요
164,찐,5,커피맛있어요 !!
165,hid****,5,굿
166,0zx****,4,굿
167,헤이요뿅,4.5,겉바속촉스콘과 달달한 바닐라라떼!! 점심시간에 가면 할인도되요
168,사람,5,여기 커피 맛있음 베이커리는 글쎄
169,포레스트가필드,4.5,뽀또마카롱 맛있어요ㅠ
170,광고처단자,4,방석시트가 사람들이 방구를 껴대서그런가 누렇고 헤지고... 바꾸질않으시네요 ㅠㅠ 커피맛은 좋으나 주방도 좋으나.. 카페 내부 위생에 신경써주셨으면 ㅠㅠ 여기 빵 맛있음 굳굳 포장으로 방문 ㅎㅎ
171,민정2,4,비싸지만 맛은있음
172,771148,5,커피도 빵도 굿
173,wls****,4,.
174,하얀지은,5,분위기가 좋고 음료도 맛있어요^^
175,ecyss1,3,테이블 너무 불편해요ㅜ
176,soll,3.5,"매번 눈팅만하다 첨 방문했는데, 디저트류도 맘에 들고 특히 애플피칸케이크가 제입맛에 맞더군여~♡ 그런데 단체석이 많고, 커피가 저와 맞지않아 그점은 촘 아쉽네여..."
177,즌,5,#성수 맛있고 가게가 크고 예뻐요~
178,강아영,5,분위기도 좋고 빵도 맛있어요ㅠㅠ
179,pal****,0.5,진짜 위생상태가 역겨워서 괜히 왔다 라는 생각을 했습니다. 들어가자마자 나는 하수구 냄새는 건물때문에 나나 했는데 에어컨마다 송풍구쪽에 있는 곰팡이와 때가 진짜 심각해요. 진짜 덕지덕지... 눈에 보이는 곳도 이런데 안보이는 곳은 어떨지 상상하기도 싫습니다. 음식파는 곳이 이래도 되나요? 다신 안올거고 가시는 분들도 참고하시길 바래서 글 올립니다.
180,moong,4,분위기 좋아요
181,can****,4.5,진짜 바닐라 맛있어서 왔어요ㅜㅜ 벌써 두번째ㅜ
182,wls****,4,.
183,mkm7022,3,좋아요
