,USER,SCORE,REVIEW
0,gjdjsl,4.5,아직 먹어보기전인데 기대되요~
1,ybk,4,무난해요
2,ybk,4,잘 마셨습니다
3,ybk,3.5,굿
4,뽀로롱,5,평일인데두 북적북적 커피 스콘 다 괜찮아용
5,포스트,5,커피가 맛있네요 양도 많아용 👍
6,밍미,5,무화과스콘조하요
7,latefall,5,커피도 맛있고 분위기도 좋아요.
8,sun****,5,맛있어요
9,성로,5,포장했어요. 맛있다고 하네요 가족들이
10,성로,5,컵 디자인도 이뻐요 메론케이크는 매번 먹ㄱㅎ싶은데 품절이네요 ㅠ 아쉽
11,유아쏘뷰티풀,4,"공간도 넉넉하니 크고, 아늑한 조명이 굳입니다 케익이맛있어요"
12,윤쨔,5,분위기 너무 좋고 다 맛있어요😄
13,monaco77,3,굿
14,룰루랄라,3.5,밀크티 맛잇어요
15,cho****,5,🍓🍓🍓🍓🍓
16,네모안별,5,좋아요
17,또다른나,4,맛있어요~
18,늉늉,2.5,디저트는 그저그렇게 괜찮지만.. 아메리카노는 추출을 잘못하신건지 짠맛이 입에 너무 많이남고 마시기 힘들정도ㅠㅠ 남자 화장실은 재래식이네요..대충격...
19,AMU,4.5,분위기도 좋고 넓어서 탁 트인 공간이라 좋네요
20,hello,5,!
21,아현,5,커피 맛있어요!
22,찐블리,4,더치커피(디카페인)+바닐라빈라떼 역시 더치커피인가..싶었지만 너무 가벼운 커피맛이라 아쉬웠어요 ㅠㅠ
23,나무에,3,웨이팅 관리가 되면 좋겠어요ㅠ 기대만큼은 아니였어요
24,수퍼두퍼,4,친절하고 좋네요
25,징짱,5,아메리카노 농도 선택할 수 있어서 좋고 크레이프 존맛탱이에요 👏♥️
26,o0bmi79,4,굿
27,morimori,4,더치커피 추천!!! 바닐라빈라떼는 평범하게 맛있었고 스콘은 그냥 보통 정도. 테이블이 많아서 좋았지만 요즘의 흔한 갬상 카페가 그렇듯 의자는 다소 불편합니다. 화장실은 카페 밖 상가 계단에 있어요.
28,Qquuu,5,인테리어 이뻐요:)
29,미실,4,의자는 쫌 불편했지만 자몽스무디는 맛있었어요 '-'
30,Lauren,4.5,커피랑 타르트 맛있어요~
31,sun****,3,좋은데 소리가 울려서 시끄러워요 케잌맛은 그냥 그럼
32,Hyedisoo,4.5,아인슈페너 존맛
33,이재선,4.5,맛있어요
34,래래,5,맛잇어요 분위기도 좋구요😌
35,내가짱이야,1.5,장소는 예쁜데 맛은.. 제 취향은 아니에요...
36,강사랑,5,분위기 좋고 여유로운 시간이 좋았던
37,Jan,5,사람은 많았는데 올때마다 좋아요
38,jyet,5,서울치고 커피값이 싸네용
39,름,5,스콘 진짜 맛있어요ㅠㅠ 자리는 넓은데 사람도 많음^_ㅠ
40,볼거리,3,커피랑 밀크티는 별류.. 공간은 넓어서 좋아요
41,jane,4.5,자주 가요 넓고 좋아요
42,enplj,3,카페가 매우넓어요
43,ddddd,5,마딧군요.....
44,바깥양반,5,굿굿
45,안사람,5,저렴하고 맛있어요
46,물망초,4.5,굿
47,rla****,4,자리가 넓고 좋아요. 크레이프는 그냥 그랬어요!
48,xie****,5,자몽홍차케이크맛있음.
49,lulu,5,맛있어요
50,sweetpea,4,감성적인 곳이었어요ㅋㅋ 또가고싶어요
51,신훈,4.5,맛있어요
52,yej****,4,굿
53,도비,0.5,자몽스무디 주문했는데 머리카락 나왓음. 더럽고 지저분하고 기분이 너무 안좋음 추천하고 싶지도 않고 꺼림칙하네요.
54,박정희,5,맛잇어여
55,소나무,4,크레이프케익 짱 맛있어요
56,민,5,맛있어요
57,hoh****,5,카페 공간이 넓어서 좋아요!! 다저트도 맛있어요
58,Ming,5,크레이프케익 맛있어요! 스콘도 포장해왔는게 스콘 꿀맛이예유ㅠ
59,CHJ,5,늘 맛나고 깔끔한 매장 분위기 좋아요
60,jenny51,4.5,스콘맛집
61,나비,5,케잌이 맛있어요
62,yjl****,3.5,쏘쏘
63,임쑤,5,스콘이랑 케이크맛집이에요 내부 인테리어도 넓고 쾌적해서 좋아요
64,돼린이,4,케익이 맛있어요^^ 직원분도 친절하시네요~
65,오도도,4,커피맛은 약해요 케잌은 존맛탱!!
66,akd****,4,여기 맛있습니다!!
67,jj4750,4,굿
68,mes****,5,케이크가 맛있어요
69,cel****,5,인스타 갬성 카페에요! 넓어서 좋고 케이크도 맛있어요!
70,Mingll,5,딸기케이크 완전 맛있어요 생크림 대박
71,meg****,5,분위기좋아요 일요일인데도 사람이 많으네용 흑임자라떼많이달아용 딸키생크림케익추천 얼글레이티 추천
72,율,5,케이크 징짜맛있어용 짱맛
73,cash on,4,좋아요
74,팡,5,커피가 맛있고 장소 분위기도 좋아요
75,지짐,5,딸기생크림 케이크 맛있어용
76,cao****,5,매장 자체가 넓어서 좋아요
77,orange,5,가게 분위기도 좋고 케이크와 커피 맛났습니다. 화장실도 깨끗! 직원분들도 친절하세요 ㅎㅎ 즐거운 오후 보내고 왔습니당
78,jiy****,5,크레이프케이크 너무 좋아요~~~
79,kkyung,4,조금 비싸긴하지만 맛있어용
80,kak****,4.5,스콘이 진짜 맛있네용 👍🏼
81,kak****,3.5,맛있어요 흑임자라떼
82,coco,3.5,케이크는 무난해요. 근데 알바생인지 사장인지 너무 불친절해요.
83,하하호호,5,케익 맛나요
84,연이,4.5,주말 저녁이라 자리가 없을 줄 알았는데 다행히 자리잡아서 좋았어요ㅎㅎ 넓고 케이크도 같이 주문했는데 맛있었어요
85,sei****,4,좋아요
86,ufo****,1.5,더치커피가 연하고 보리차같아요.. 그냥
87,이다빈,4,맛있는데 음료양은 조금 적어요
88,봄봄봄,5,사람은 많지만 커피 맛있어용
89,12345,5,맛있었어요
90,그미,5,"흑임자슈페너, 밀크티 슈페너 맛있어요!"
91,0,4,넓고 화장실 깔끔해서 좋아요
92,아히히히,5,스콘 유명해서 가봤어요 맛나요. 담에 케이크 사먹어볼게요
93,졔,5,분위기 좋아요
94,또코,2.5,좋아요
95,이연호,2,분위기는 좀 괜찮은 듯 한데 스콘은 평범해요. 아인슈페너 완전 비추예요. 작은 컵이라더니 정말 돈주고 산게 조금 아까운게 아니라 완전 농락 당한 기분이랄까요.
96,졔졔,5,분위기좋아요
97,mikaee,3.5,딸기 크레이프가 독특하고 맛있어요! 다만 좀 많이 비싸서.... 한번 말고는 자쥬 먹긴 힘들거 같아요 ㅠ
98,연톨양,5,분위기 최고!
99,Ren,5,분위기좋아요
100,프시케,4,밀크티 맛집
