,USER,SCORE,REVIEW
0,코코멍멍,5,음료 나온걸 못듣고 한참 지났는데ㅠㅠ 새로 다시 만들어주셨어요ㅠㅠ 감사합니당... 제 실수인데ㅜㅜ 테이블간 간격도 넓고 자리도 엄청 다양하게 여기저기 있어요! 밖에선 작아보였는데 엄청 넓어요! 밤빵은 위에 연유크림?이 바삭하게 발라져있어서 색다르고 맛있네여. 초코빵은 소금이 뿌려져있어 서 단짠단짠 커피랑 잘어울려요. 다 좋은데 화장실이 더 깨끗하면 완벽할거 같아요!!
1,만지,3,비싸요. 맛은 평범
2,뿡빵이,5,넓구 조아용 ㅎㅎㅎㅎ
3,TeunTeun E,4,크림카푸치노 맛있다
4,hae****,3,맛보당 분위기
5,까까옹,5,맛있어요! 근데 항상 생각하는건데 빵은 접시에 올려서 한번 데워주셨음 더더 좋겟어요!
6,soh****,4.5,어니언 성수 좋아요!
7,eloizesweet,4,좋아요 빵 맛있음
8,vld****,4,오미자에이드 맛있어요
9,연우도현파파,5,좋아요
10,shb****,4,좋아요
11,ash0102,5,좋아요
12,룰루,4,오랜만에 팡도르~~ 새로 생긴 빵 많아요 ㅎㅎ 가격은 여전히 다 비싸지만 ㅎㅎ 맛나요
13,you Niii S2,5,분위기 맛집
14,르네야,5,맛잇어요!
15,pocaidon,5,좋아요
16,끼룩끼룩,4,분위기도 커피맛도 좋았음. 맘모스는 좀 아쉽 ㅜ 코로나인데 빵 포장해두면 좋을 듯 함...
17,해그,5,"빵, 커피 다 맛있어요! 디카페인 변경도 무료인 점이 좋습니당 ㅎㅎ"
18,리아,5,커피 👍
19,밀리,5,넘맛나요!
20,Angbi,4,굿
21,주우운,3,굳
22,Slackoth,5,마싯슴
23,도리,4,분위기 좋고 커피가 괜찮아요
24,il1****,4,조아요
25,흠냐,5,맛있어요
26,uy2****,4.5,굳
27,크크,4.5,좋아여
28,서지연,5,맛있어요~~~
29,gjdjsl,4.5,쪼금 비싸지만 맛있어요~
30,sousou,4,맛나염
31,소아,4,맛있었어요~어머니가 서울로 올라오셔서 서울숲 구경 겸사겸사 카페타임 즐겼어요~ 치즈 가득한 빵을 샀는데 빵을 따뜻하게 먹고 싶어서 이를 요청했는데 다시 데워주는 기계가 없다고 하셔서 조금 아쉬웠어요
32,졀졀,4.5,오랜만에 왔는데 너무 좋아요!
33,펭수좋아,5,분위기 좋고 빵도 맛있어요
34,펭수좋아,5,분위기 좋고 친절하고 좋아요
35,뉴지이,5,소금빵맛있어
36,혜림hyerim9,4.5,좋아요
37,Ren,5,굿굿
38,꿀꿀벌,4.5,"디저트맛집, 주차불편"
39,테디비전,5,"명불허전, 베이커리도 역시~"
40,khl****,3.5,맛있어요
41,zr02,5,"갬성충만,, 직원분들도 친절하시고 빵도 맛있어요ㅎㅎ 닉넴불러주시는게 인상깊네요 ㅎㅎ"
42,Sun,4,굿
43,박소연,4,노을 맛집
44,이성원숭이,3.5,유명한 곳인만큼 사람이 엄청 많아요.. 방도 많긴하지만 분주한 느낌ㅇㅣㅂ니다 그래도 옛날 주택의 정겨운 느낌으로 방문하면 좋을것 같아요
45,NaeileunAbara,3.5,"좀만ㄷㅓ저렴했으면,, 자주 갔었을텐데..."
46,xiying,4,팡도르는 어니언
47,kminny0122,5,빵도 맛있고 커피도 맛있어요!👍
48,Art Yoon,4,굳
49,yuj****,4.5,조아요맛잇아요ㅔ
50,푸른하늘,5,맛있어요
51,날다람쥐,5,앙버터랑 버터바른빵
52,soulgreen,4,좋아요
53,juj****,3.5,좋아요
54,한재현,4,1번째
55,mungmung,5,"넓고 친절해서 좋아요 딸기바라기, 초코 크로와상 맛있어요"
56,x2rrg7,4,커피 맛이 좋고~ 예뻐요~! 근데 장소가 그래서 그런지 좀 서늘해요
57,끄아아,5,굿
58,만주,5,좋아요 빵도 맛있어요
59,조천사,5,강추해요 빵 맛있어요~
60,늘,4.5,.
61,그린비,5,고소미버터롤 맛있어요
62,liberty,4,good
63,토끼필터,4,사람많은데 친절해요
64,미니미니,4,직원분들 친절한데 빵은 그렇게 막 엄청나게 맛있진 않네요 그냥 낫뱉
65,Pepe,4.5,좋아요ᆢ
66,둥이네,4.5,맛있어요
67,정군,5,괜찮아요 추천합니다
68,정군,5,괜찮아요 추천합니다
69,eunhye,5,맛있어용
70,sujie79,5,맛있어요
71,Taehyun Kim,5,빵 존맛
72,hitchhiker,4.5,넓은데도 자리가 부족해서 아쉬웠지만! 음료도 빵도 다 맛있어요!
73,rkd****,5,팡도르도 맛있고 앙버터가 진짜 담백하고 맛있어요 먹고 하나 더 사갔다는ㅎㅎ
74,huj****,5,맛잇읖
75,syh90213,5,빵도 맛있고 분위기도 좋네요!
76,R카이브,4,밤빵 실하고 맛나요 직원분도 친절
77,lulu,5,빵 맛있어요
78,qjw****,2,비싸고 자리 엄청 불편 화장실 더러움 실내 환기안됨
79,g70****,5,#팡도르 #성수 루프탑
80,소녕,5,빵 맛있어요
81,은별,5,"소금빵, 오틀리라떼 진짜 맛나요"
82,밀리,5,앙버터맛잇어여
83,렴수지,4,인테리어 좋네요 커피도 맛있어요~🥤🧋
84,복댕이맘,5,커피 너무 맛있어요~~
85,림,5,무엇보다 커피가 맛있는 곳
86,토마토,4,빵종류 다 맛보고싶어요.
87,하니,5,맛있어요 분위기 좋아요
88,천국나그네,5,성수카페로 유명한 곳이다. 옛건물 모습이 남아있는 카페로 특히 옥상에서 햇살을 받으며 커피 한잔은 세상을 다 가진 기분이다. 다 사먹고싶은 맛있는 빵도 많이 있다.
89,몽몽,5,성수동에 저렴하면서 맛있는 커피랑 베이커리 파는 카페로 추천합니다!!! 야외테라스 덕에 지금 날씨에 가기도 딱 좋고 직원분들 진짜 친절하셔요~~ 베이커리랑 커피 뭐 하나 빼놓을 것 없이 맛있네용
90,양박쌍용,5,맛있어요~
91,gomad,5,커피 짱 맛있음
92,로미,5,커피도 맛있고 테라스도 굿
93,Zoozoo,3,커피 맛없음 치즈빵 맛있음
94,PyeChing,5,만족도 너무 좋아요!!!
95,의림,5,좋아요
96,83g****,5,굿
97,흐엉이,5,달ㄷㅑ~~~🥺
98,빼꼼,3.5,빵종류가 생각보다 별로 없고 디카페인 아메리카노 맛있어요
99,soulgreen,5,날좋은 날 루프탑 꼭 가보세요!
100,루시,4.5,"서울에서 가장 유명한 카페 TOP5에 드는 곳이라고 생각합니다. 한국인 뿐 아니라 외국인 관광객들도 찾을 정도로 유명한 곳이죠 팡도르라는 빵으로 유명한 곳인데 팡도르도 팡도르지만 다른 빵들도 다 맛있습니다. 커피도 맛있고 가격도 분위기나 크기에 비해서 비싼 편은 아니네요. 실내 공간뿐 아니 라 1, 2층 야외 좌석 공간이 넓게 있어요. 코시국에 마음놓고 다녀오기 좋은 곳이에요. 1970년대 지어진 공장건물의 원형을 최대한 살린 채 운영되고 있어 참 느낌이 좋아요. 인스타 유저분들이시라면 인증샷 찍기 좋으실 거에요! :) 바로 앞에 공영주차장이 있는데 관리자분이 계시는건 아니고 홈페이지 들어가서 사전 결제를 통한 주차가 가능해서 편리하네요"
101,탱2,5,넓고 쾌적해용
102,Ren,5,굿굿
103,wls****,4.5,빵이 너무 맛있어요
