,USER,SCORE,REVIEW
0,소중한나,5,구우웃
1,파랭,5,.
2,Mybae,5,좋아요옹
3,SHAROONDA,5,직원분 넘친절! 넓어용
4,sunn,5,좋아요
5,eleilia,5,좋아요^^
6,쿵짝,5,좋아용
7,만두다,5,주문받는 여자직원분 너무 친절하셔요!
8,덤보,5,굿
9,yeriel,4,밀크티 맛있어요 새로운 베리케이크는 좀 적응해야할것같은 맛이였어요
10,여름고양이,5,주차권 1시간 2천원에 판매 중 (현금 only)
11,복댕이맘,5,친절해요
12,졍이,5,맛있어요
13,김나영,5,직원분들이 친절해요
14,스라,5,엄청 친절해요
15,come2me,5,너무맛있어욤!
16,아침햇살,5,굿
17,섬소랑도,4.5,ㅎ아야
18,익명,4,좋아여ㅕ
19,신지영,4.5,굿
20,이리스,5,굿굿
21,바다표범,5,좋아요
22,아녀어엉,5,친절하고 거리두기도 하고 있어서 방문하기 젛았습니다.
23,s262607,5,친절해요
24,미농,4,좋아요
25,shygirl,3,다양한 홀케익이 많았음 좋겠어요
26,혼이담긴구라,4,마싯어용
27,때때로,5,좋아요
28,빙봉,4,좋아요
29,maggiekim,5,좋아요
30,lkjj22000,5,주문 받기까지 조금 걸렸지만 나쁘지 않음
31,Uheat Cho,4,매장이 너무 덥네요 ㅜ
32,aaaaa,3,주차가 좀 불편해요.. 현금 꼭 가지고가야지만 할인권이 되네요..
33,Jicco_Cova,4,굿
34,원하연,4.5,굿굿~~
35,푸르미,5,굿굿~~
36,gid****,5,맛있어요
37,haenjuda,4,"코로나 예방 수칙 잘 지키시며, 직원분들 모두 친절하셔요. 카페가 쾌적해 쉬다오기 좋습니다"
38,Mia Kim,3.5,넓고좋어요
39,dse****,3,넓습니다 캡슐머신 캡슐 파는 점이 별로 없던데 여긴 파네요
40,박숴,4,케이크 포크 2개까지 무료고 3개째부터는 개당 50원 추가래요(싱기;;) 아로마 맛있네요 생딸기 가득 타르트는 맛있긴한데 위에 있는게 푸딩?무스 느낌이라 취향탈것 같고..ㅎㅎ 친절하셔요ㅎㅎ
41,hye****,0.5,버블티를 만들 줄 몰라요 돈 아까워요
42,tnth1920,3.5,적당히 평균적이구 위치가 조금안쪽에 있어 아쉬워요
43,라이어1탄,5,좋아요~
