,USER,SCORE,REVIEW
0,820****,4,가게가 깔끔하니 예뻐요. 위생상태도 좋고 커피 만드는 과정도 정교해 보여요. 음료가 조금 비싸지만 맛있어요.
1,tmdwn6695,5,맛있어요
2,Buena Suerte,2,깔끔하지만 커피가 연한 편. 산미 있는 커피 좋아하는 편인데도 원샷인지 의심 될 정도로 밍밍했다. 트로피도 있어서 기대 많이 했는데 아메 라떼 둘다 뭔가 부족한 맛임. 실내 자리도 마주보고 앉는 테이블은 거의 없다.
3,bas****,5,서울숲 옆이라 분위기도 좋고 커피 맛도 정말 좋아요. 한가지 단점은 사람이 엄청 많다는거...
4,바람개비,5,거의 매일 출석도장 찍고 있네요. 솔티드라떼가 없어진 건 아쉽지만 흑임자라떼도 구수하니 맛있네요
5,바람개비,5,댕댕이 친구랑 같이가서 야외자리에서 햇살즐기며 잘 있었네요
6,유우댕,4,"커피 맛있고, 공원 바로 옆이라 위치도 좋아요"
7,바람개비,5,요즘 같은 날씨에 서울숲의 모습을 보면서 햇살 즐기기 딱 좋은 서울숲뷰 카페예여
8,hst****,5,비오는 창가에서 커피 한 잔! 힐링 완료입니다!
9,콩,2.5,유투브 보고 일부러 찾아갔는데..핸드드립은 아쉬웠음
10,예삐,5,에이드종류가 없는게 아쉽 ㅠㅠ
11,리스,4,메뉴가 리뉴얼 되었다고 블로그 후기에 보이던 버터쿠키라떼나 솔티드 카라멜은 없어지고 흑임자와 스윗라떼가 선택가능했어요 아쉽지만 따뜻한 라떼만 마셨어요
12,사상갈매기,4,"사람이 너무 많네요,,"
13,dan dani,3.5,뷰 좋고 카페도 이쁘지만 크로플은 별로였어요. 커피는 괜찮은듭
14,막내이모쀼,4.5,뷰맛집 커피도 맛있어요
15,cho****,4.5,숲과 가깝고 맛있어요
16,바람개비,5,서울숲 산책하다가 마감시간 생각나서 급하게 들려서 Takeout 했는데 피곤할 시간인데도 직원분들이 너무 친절하셔서 너무 기분좋은 경험이었어요! 반려견이 여기 퍼푸치노를 너무 좋아해서 서울숲에 가면 안갈 수 없어여! 퍼푸치노 라지사이즈도 고려해주세요 ㅎㅎ
17,조조제이,3.5,커피 맛있고 조용하고 좋아요
18,바람개비,5,"반려견이 퍼푸치노를 좋아한다는 핑계로 출근전에 들리네요! 퍼푸치노, 아메리카노 그리고 직원분들 친절까지 참좋아요!!"
19,Ssujin,5,커피가 맛있고 서울숲이 보이는 게 너무 이뻐요. 분위기도 조용합니다.
20,지니,4,굿
21,넬리,5,마싯아요 커피랑. 크로플에 슈크림 진짜 찐|~~~~득해서 맛나요! ㅎㅎ
22,올리브쿼카,5,#성수동카페 #서울숲카페 #센터커피
23,이도연,3.5,맛있어요
24,coco,3,커피랑 아이스크림이 너무 맛이 없고 야외석이 관리가 안되어 있어요..
25,호랭마녀,4,커피 맛잇구 슈크림와플도 달지도 않고 맛있어요👍🏻💜
26,바람개비,5,항상 반려견과 가는데 반겨주셔서 좋아요
27,tyrwska,4.5,커피 맛있어요
28,gog****,4,좋아요
29,응뎅,4,서울숲을 바라보며 마시는 한 잔의 커피. 요즘 가기 딱 좋은 곳.
30,skidkids,5,서울숲 보면서 커피마시고 좋아요
31,또영,4,뷰 넘좋아요 쑥 라떼는 맛있긴한데 쑥맛이 생각보다 강하네요^^
32,클로이,5,커피가 차 같아요 산미도 너무 좋고 과일향도 좋고... 힐링하고 갑니다 :)
33,여형동,2.5,드립커피를 시켰는데 지연되면 말이라도 하면 좋으련만...
34,빛나는청춘,5,굿
35,che****,4,좋아요
36,또용잉,5,분위기 좋아요~
37,도미니카,5,굿
38,nonamehere,5,커피가 맛있어요
39,똥,5,커피맛 굿^^*
40,minxhoon,4,솔티드 캬라멜 라떼 존맛 ㅠㅠㅠㅠㅠ 아메리카노도 약간의 산미와 함께 어우러져서 맛있어요 다음엔 드립먹어볼게요~~!!
41,sj2****,4.5,시그니처 솔티드카라멜 맛있습니다. 살이 찔 것 같지만 좋아요!!
42,베리베링,4,"커피 양이 다른 곳보다 적은 느낌,,,? ㅠㅠ.... 분위기는 조아여"
43,ksnaggo87,5,찾기는 조금 힘들지만 아침일찍 열어서 좋고 커피맛이 좋아서 재방문하고싶어요.
44,ddddd456,5,매장도 예쁘고 음료도 맛있고 직원분들도 친절왕..! 또 먹으러가고싶어요
45,dan****,5,카페가 너무 이뻐요. 커피도 맛나요.
46,빙봉,3,뷰맛집
47,마적이,4.5,커피 맛있고 위치가 숲 앞이라 뷰가 좋은 카페. 안에 자리도 생각보다 많고 아늑한 공간감이 좋네요
48,gyure,0.5,찌그니쪄 메뉴 쑥라떼 설탕덩어리 한입 치고는 많이 마시긴 했는데 어쨌든 한입 마시고 버렸습니다
49,hyi,4.5,좋아요
50,김꽃돌,5,커피도 맛나고 뷰도 좋네요
51,가나다라마바사,5,😀
52,덤퍼,4,크로플 먹으러 갔는데 커피 맛도 좋네요
53,하이킥,4,친절하구 손님 많네요 코로나 조심요
54,바람개비,5,저희집 반려견이 서울숲가면 당연히 센터커피에 퍼푸치노 먹으러 가는줄 아는 것 같아요 ㅎㅎ 산책전에 퍼푸치노부터 즐기게해주고나서야 편히 산책했네요 ^^ 직원분께서 감사하게도 저희 반려견 기억해주시고 따로 이야기드리지 않았는데도 얼음을 챙겨주셔서 감동했어요!
55,eun****,5,"슈크림 크로플, 에티오피아 드립커피 굿!"
56,수묵,5,아메리카노 완전 맛있음. 스피릿 머신...
57,바람개비,5,반려견과 반려견의 친구랑 퍼푸치노 한잔하고 저도 맛있는커피 테이크아웃 했네요 ^^
58,바람개비,5,"주말아침 반려견과 산책하면서 브런치도 하고, 반려견에게도 퍼푸치노 한잔 마시게 해줬네요"
59,모던앨릭스,3.5,솔티드 카라멜 아이스 괜찮았어요. 근데 공간은 기대보다 별로에요. 사진으로 많이 보인 이층은 좁고 공기도 답답하고 방향제가 너무 쎄서 어지러울거같은. 그래서 밖에 앉았는데 비둘기와 벌이 날아오고 옆 공사 소리가 시끄러웠지만 잠깐씩이라 버틸만... 뷰는 진짜 기대하면 안되구요. 정말 인터넷 으로 본 건 믿을게 못된다는 교훈을 얻었어요. 커피가 예상외로 맛있어서 다행이에요.
60,바람개비,5,반려견에게 퍼푸치노의 여유도 주면서 맛난 커피를 마시기에 최고의 장소예요
61,햄버거젤리,4.5,굿
62,그린라떼,5,플랫커피와 크로플 정말 맛나요^^
63,벨스톤,5,분위기 최고!! 커피도 최고!!
64,swe****,3,산미가 강하네요
65,jwk****,4.5,"늘 대기가 있는곳, 조금 일찍가면 자리가 있고 밥이 맛있어요. 부담스럽지 않은맛."
66,tiny,4,아이스크림 맛있어요
67,밍켱,5,좋아요
68,min****,5,좋아요
69,kcv****,4,좋아요
70,바다처럼,5,맛있어요♡
71,예민보스,4.5,커피도 맛있고 분위기도 좋아요.
72,쟈꾸누나,5,커피 맛나요
73,DANTAE,4,시그니쳐 맛있어요
74,Yap,5,솔티드카라멜 라떼와 아메리카노 맛있네용:)
75,yup****,5,굳
76,바나나우유,4,조용하고 깔끔했어요
77,호호,4.5,굿~
78,까르페디엠,4,굳
79,역역역,5,뷰 최고이고 우유아스크림 존맛탱인데 자리전쟁이라 아쉬워서 평일에 재방문 각
80,장덕분,5,제스탈은 아니지만 커피만은 맛있었다!!
81,뿅뿅,3,"라떼가,,,,,,"
82,FeFe,5,사장님인지 직원분인지...잘생기시고 친절하세요 카페문부터 소품 하나하나 과하지 않고 멋있어요 아이스크림은 꿀맛이었어요 ㅠㅠ 모든게 다 완벽하네요
83,파란 별,4,쑥라떼 맛있어요
