,USER,SCORE,REVIEW
0,꼴레옹,4,야외 테라스 자리 의자가 조금 불편하지만 분위기는 좋아요
1,bluesky,5,맛있어요
2,김민경,4.5,좋아요
3,지애,4.5,공부할 수있는 자리도 있고 좋아요!
4,하늘이,5,커피도 맛있고 분위기도 GOOD 디저트도 맛있고 빵도 최고! 거기다가 직원들도 친절해서 자주 방문하는 곳♥️
5,so3****,3,좋아요
6,떡라이,5,좋아요 직원 분들도 친절하십니다
7,wlq****,4,오랜만에 왔는데 분위기 좋아졌네요! 빨미까레 맛있음!! 다음에 또와야지!
8,가가,5,비지엠 사운드가 작아서 좋아요
9,지애,5,커피도 맛잇고 노래소리도 안커서 좋아요
10,주꼬님,5,음료는 롱블랙(아메리카노) 괜찮았어요~ 다른 빵들도 괜찮움~!
11,성실,3.5,보통이어요 ㅎㅎ
12,없음,4.5,빵 맛있고 커피도 깔끔해요
13,호롱불,5,굿
14,happy,3.5,분위기 좋고 커피 맛있음
15,찌롱,4,ㅇㅇ
16,djw****,4.5,"매장이 넓구, 디저트도 예쁘고, 화장실도 좋아요 머물다 가기 좋은 곳"
17,리버,4.5,"분위기 좋고, 케이크도 맛있어요"
18,Ren,5,국굿
19,뽀글콩,3.5,"예쁜 인테리어, 맛있는 커피와 빵"
20,슈가파우더,5,친절하고 맛나요
21,Ren,5,좋아요
22,봄비,4.5,예쁘고 빵도 맛있고 커피도 맛있는 곳! 아인슈페너 맛집
23,와락,5,앙버터 맛있어요
24,은은은,5,오랜만에 왔는데 맛있네요- 원두도 사서 내려 마시는데 좋아요-
25,SHABSO,5,자리가 넓고 다양해서 좋아요 빵 때깔 최고에요
26,j_h****,5,너무 예쁘고 빵이 많아용 시원해요
27,등이가려워,3.5,조용하고좋네요 빵은 가격에비해 맛이평타
28,하하하,3.5,점심엔 커피가 쌉니다. 커피 원두 2종류인데 화이트 맛있습니다. 초코크롤 맛있습니다.
29,wnnnnnnnth,5,좋아요
30,하니,5,맛있어요! 가격도 좋아요
31,하니,5,맛있어요!
32,yumini,5,맛잇어요
33,심규흥,4,좋아요
34,skj3971,5,좋아요
35,nag****,4.5,좋아요
36,이솬,4,좋아여
37,지니,4,좋아요~
38,AQuariuSuji,4,커다란 성수동 디저트 카페 ! 모임하기 좋은곳 인듯
39,더기,5,너무너무 좋아요!!!!!
40,타므타므,4,가게이뿌당
41,ㅎㄷㅈㅎㅈㅎㄷ,5,매장이뻐요
42,maroon751,5,친절해요.
43,우주요정,5,좋아요
44,신수정,3.5,굿
45,우주요정,5,좋아요
46,Ren,5,굿굿
47,김미셸,3.5,디카페인 커피가 맛있는곳 분위기는 노트북족이 많아서 스터디카페스러웠다 . 빵이 그저그랬고 위치가 너무 뜬금이라 별점 뺌 !
48,hhs8482,4.5,백점은 아닌걸ㄹㅎ
49,kyj****,5,굿
50,hhs8482,4.5,빵은 맛있는데 마카롱은 그닥.....
51,kyj****,5,굿
52,단조로움,4.5,매장 넓고 깔끔해요 : ) 케잌 맛있는데 커피 맛은 다소 아쉬워요ㅠㅜ
53,sue,3,"초코크로플 완전 차갑고 별로엿어요 ㅋ ㅜ ㅇ따뜻한거인줄,,, 어쩐지 저렴하더라"
54,여정,5,훔볼트 케이크는 언제나 맛있어용 직원분들도 친절하세요!
55,wlgPWkd,4,분위기 좋네요
56,인어나라,3.5,종류가 많아요
57,god****,4.5,케익이 다 맛있어요!̆̈ 맛별로 여러번나눠서 먹었어요!̆̈ 선물도 하고 받은사람들이 맛있다고 어디냐고 물어봤어요
58,NTL,5,초코크로플
59,영덕게,4,분위기 좋은 편이네여 ㅎㅎ
60,센치너,5,화장실 깔끔해서 감덩 크로플 맛있고 커피 원두 선택가능
61,미농,4,맛나요
62,얜,4.5,친절하고 빵도 맛있어요
63,오오옹,5,성수동에서 다른카페들도 다 가봤지만 여기만한 곳이 별로 없음
64,Ren,5,좋아요
65,꺼미,4,👍
66,bluemoon,5,여자 직원분 참 친절 했어요.
67,비움과 채움,3,한번쯤은 가볼만 하네요.
68,Ella,5,몽블랑 맛있어요.
69,캔따개,5,성수에서 몇 안되는 늦게까지 영업하는 카페. 좌석 구성이 다양해서 좋았습니다. 영수증엔 없지만 딸기라떼가 맛있어요
70,성장하는 요가강사,4,평일 점심 커피할인됩니다 달고나스콘 새로 나와서 먹어봤는데 아아랑 찰떡! 넘 맛있고 달콤하네요
71,HYHY,4,맛있어요
72,기성이,5,멋드러진 분위기와 베이커리가 많음
73,christina,4.5,콜드브루 라떼 맛있어용
74,미래비전,5,굿
75,김형욱,2,외관이이뻐서들어왔는데 막상 들어오면 걍그럼
76,lovelyys00,4.5,분위기 좋아요!
77,할미새사촌,4.5,마깃아용
78,jj4750,5,굿
79,샘이너머,4,빵맛있어요~
80,메리,4,깨끗하고 좋네요. 커피맛은 평범해요
81,yahoopjh,5,케이크 너무 이쁜데 너무 맛있어요!! 진심 케이크 맛집임요!!
82,ron****,5,굿
83,윤세희,4,자주가는데 커피도 빵도 맛있어요
84,눈,5,긋!!
85,Ren,5,긋
86,군고구마,5,"직원 분들 정말 친절하시고, 카페 조명도 예쁘네요~! 가시게 되면 토요일 저녁에 방문하셔서 재즈공연도 함께 감상하시길!"
87,티티카카,5,옥수수마약빵 맛있어요
88,홍연진,4.5,딸기케이크 맛있어요 촉촉해요!!
89,시리,5,커피도 케이크도 맛있어용
90,진리의파수꾼,4,맛있네요
91,jhl****,4,앗있고 친절해요
92,네모안별,4.5,좋아요
93,네모안별,5,좋아요
94,fdfdsf,5,맛나용
95,kms****,4,분위기도 좋구 맛있어요
96,qkrdlfla,3,맛이 ㅠ 평타에요
97,똥으니,5,맛있어요
98,min,4.5,라떼가 맛나네요~ 인절미 팡도르랑ㅎ
99,97pinkcow,4.5,좋아요~~~~~~~
100,춘,4,친구가 라떼맛집이래여
101,kiki106,3.5,여기 커피 디저트 좋아요
102,히히,5,직원분들 너무너무 친절하시고 콜드브루 맛나요♥ 인테리어도 예쁘구 성수 갈 일 있으면 꼭 또 방문하고 싶어요^^
103,참깨,3.5,"빵이 그렇게 특별한건 모르겠는데,,, 생각보다 많이 비싸게 느껴졌습니다😓"
104,0,4,좋아요
105,wkdgpwjd,4.5,너무맛잇어요
106,jb2****,5,맛있어 좋아요
107,행복하자,3.5,굿
