,USER,SCORE,REVIEW
0,나르시스맘,4,게이샤 커피 맛남
1,soulgreen,5,분위기 좋아요
2,yun22,5,비싸지만 맛있어요 ! 구경거리도 많고 노래도 좋고 좋았습니다 !
3,jsm****,5,장소를 잘 꾸며놔서 볼 게 많았고 음악도 좋네요
4,ghddbsrl1160,4,"맨날 평일만 왔다가 주말에 오니 사람이,미어터지네요 ㄷㄷ 오래 기다리긴했는데 커피 맛이 좋아서 굿"
5,lee****,5,모카가 특히 맛있었어요😀😀
6,mariacho13,5,커피 맛있었습니다
7,오오오오오송,5,유명한 이유가 있어요
8,바바,4.5,맛있었습니다👍👍
9,sma****,0.5,"주문순서 상관없이 음료만들고.. 저보다 한참 늦게온사람들이 다 먹고 나가길래, 너무 오래기다려 취소해달라고 했더니 남자직원은 미안한 기색도 없고.. 제가 취소한 에스프레소 그자리에서 마시더라구요. 좋아했던 공간인데 다신 안갈거같네요... 실망입니다..."
10,지단,0.5,"결제하고 40분 기다렸는데도 커피 안나와서 취소함... 나보다 뒤에 온 사람은 이미 먹고 나가더만... 불친절함은 덤이고, 성수 핫플 1세대 핫플이던 곳이 몰락하는 것 같아 안타깝네.."
11,크브,4.5,카페가 신기하게 생겼어요
12,러브썸,5,분위기엄청좋네 빵빵한 노랫소리도
13,호잇,5,가성비는 모르겠으나 분위기 좋고 케이크가 아주 아주 맛남
14,위리선,4,참 맛있는곳 커피맛집 오늘도 마시고 간딘
15,iwa****,5,게이샤슈페너랑 게이샤 모카 맛나요 부드러워요 딸기생크림케익과 잘어울려요><♡
16,브루트,5,아메리카노 맛있어요
17,쿄러브,5,가격이 사악한것만 빼곤 넘 만에 드는곳.
18,coco,5,굿
19,Ginger 생강,4,좋아요
20,lee****,4,커피 맛있어용 케이크 가격이 ㄷㄷ
21,전포대장,4,분위기 좋아요 ㅋ
22,뒤뚱펭귄SUE,4.5,저녁을 먹고 간단한 음료 마시면서 시간을 보내고 싶었는데 딱이었습니다
23,lov****,5,분위기 너무 좋아요~
24,썸씽,5,케이크가 노아베이커리라서 맛있어요
25,dej****,4,좋아요
26,ish****,3.5,좋아요
27,초록ii,5,대림창고 첫방문:)
28,다우니,4,3년 만에 왔는데 여전히 그대로에요 제 앞에 주문이 많았던건지 직원이 두 명뿐이라 그랬던건지 아메 하나 시켰는데 10분이 넘어서 나오네요 ㅎㅎ 커피는 신맛이 강해요. 분위기 맛집입니다
29,나디,5,전체적으러 괜찮아요.
30,lgj0602,5,맛있어요
31,탬버린,3,비싸요
32,qja****,5,"사진찍기 좋아요! 갤러리처럼 작품도 바뀌어서 보는 즐거움도 있고, 음료랑 케이크도 맛있어요."
33,ghddbsrl1160,4.5,음료도 맛있고 매장안이 탁 트여서 좋네요! 재방문 의사 있습니다
34,갱이,3.5,좋아요
35,HanHan,4.5,오랜만에 왔더니 전시도 바뀌어있네. 적당한 산미에 뒤에 단맛 올라오ㅏ서 맛있게 먹었다.
36,spring8620,5,그림이 좋았어요 그림감상하며 커피마시니 엄청난 문화생활하는것같아요
37,cha****,4,커피맛 좋고 친절한편이었음
38,날아라,4.5,매뉴도 다양하고 식사와 함께 맥주 마시기도 좋네요~
39,sera,1.5,천장이 높고 넓어서 좋은데 ㅎㅎ 음료가 정말 별로에요. 커피도 맛없고 초코음료는 8천원이나 받아놓고 맛없어서 거의다 남겼어요 유명한거에 비해 별로인듯
40,ftsk1318,4,"갤러리 같이 그림도 보고, 장소도 크고 좋타요.. 벽난로까지 크으... 드립커피가 맛나요"
41,eva****,3.5,비싸요
42,Sally,4.5,특이
43,kim****,4,굿
44,조조,5,오! 여긴 진짜 좋네요
45,작이,2.5,"커피값은 비싸지만 갤러리 입장비용이라고 생각하면 되고, 아메리카노 맛은 그냥 쏘쏘"
46,nanyoung jo,3.5,조아요
47,7ebor,5,커피는 비싼데 맛있는 편이에요! 공간도 독특하니 볼것도 많고 내부 사진 찍기도 좋아요 ㅋㅋ
48,꾸역꾸역,5,여기 분위기 좋아요
49,Brill,4,실내 인테리어가 이뻐요~~~!! 다음에 또 방문하거 싶어요
50,bon****,4,천장이 높아서 좋다. 고물과 앤티크 사이의 적절함이있다.
51,rlagkdis1,3,전시준비기간인가요。。。。。。
52,러블리정,4,분위기는 좋았지만 커피맛은 ㅠㅠ....
53,christina101,4,성수동인데 근교 까페에 있는 느낌 사람들은 많지만 넓직하고 커피맛도 좋은 편 게이샤 아인슈페너가 유명하다는데 17000내고 먹을 것 까지야
54,lyu3314,5,좋아요
55,그린티,5,커피테이크아웃 했는데 맛있어요. 코로나 단계 풀리면 다시 가서 제대로 먹겠어요.
56,리아,4.5,좋아요
57,ess,4,맛있고 비싸요
58,ddang ddang,5,Good
59,jj4750,3.5,가격이...
60,삼겹살,5,조용하고 맛있어요!
61,qooiu001,5,크고좋고 맛있어요!
62,자크라,5,분위기 조탕
63,myonara,4.5,좀친절
64,84seglo,3.5,커피맛이 환상은 아닌데 가격은 프라이드 넘치게 책정
65,돈잡이,3.5,천장이 넓어요. 창고형식. 세련된건아니네요. 가운데나무가 죽었네요
66,tender,4,시그니처 메뉴는 너무너무 비싸서 안먹었네요 그래도 넓고 천장이 높아서 답답한 느낌은 없어요 대신 콘센트도 별로 없고 좌석간 너무 오픈되어있는 부분에서는 많이 아쉽긴 해요
67,natolim79,5,좋아요
68,loveyoonsy,5,분위기 좋고 커피도 맛있어요
69,shugi,5,가격대 나가지만 맛있어요!
70,jjins,4,조아요👍🏻
71,은구름,3.5,이 가격 커피 처음 먹어봤는데 맛있네요~^^ 다만 가격만...큼은? ^^; 커피맛을 잘 몰라서 아쉽네요~ 다음에 방문할때는 다른것도 먹어봐야겠어요
72,ghddbsrl1160,5,분위기 너무 좋아요! 커피맛도 훌륭하고 팔에 문신있으신 직원분 너무 친절하네요
73,jeo****,4.5,널찍널찍해서 좋네요 :)
74,ing,5,대림창고 말해뭐해+.+
75,멜룽이,0.5,빵점 없어서 0.5점 주네요 ㅋ초코 덕후여서 초코 케익 시켰는데 비싸기만 비싸고 진짜 맛없어요 무엇보다 종업원들 직원들 태도가 진짜 기분 나쁠정도로 싸가지없어요 살면서 카페에서 기분나쁜건 처음이네요 친구랑 사진찍고 있는데 종업원들 차례로 세명이나 와서 여기 대관해야 사진 찍을 수 있다고 감시하는 것도 아니고 심지어 먹다가 체했어요 어떤 남자 직원은 거의 소리지르듯이 나가라고 할 수도 있다고 무슨 셀카 몇장찍는데 그런식으로 짜증부리는지 오늘 기분좋게 나와서 기분도 엄청 상했어요 그리고 다른카페들은 열체크랑 손소독 방문자 명단도 다 작성하는데 여기는 그런것도 없네요 방역이나 제대로 하길 바라네요 진짜 불친절하고 기분 나쁜 카페 성수에서 다시는 여기 올일은 없겠내요
76,foru2727,3.5,유명ㅎㅐ서 한번 가봤지만 굳이 여기말고 다른 분위기좋고 맛좋은 카페는 많아요. 또오고싶다 생각들만큼은 아녔어요
77,hyol,3,커피가 맛이 없어요
78,나봄,5,"천장이 높아서 전혀 답답하지 않고 분위기 좋고 커피도 맛있다. 대림창고의 시그니처는 게이샤커피였다. 생각 없이 바리스타 추천 시그니처 메뉴를 주문했는데 가격이 사악했다. 무려 한 잔에 17000원,, 그래도 맛보지 못한 독보적인 맛이었다. 커피에서 과일향(?)이 난다. 귀한 커피라고하니 먹어볼만 한 것 같다. 근데 나는 핫으로 시켰는데 아이스로 잘못나왔다. 여튼 너무 만족"
79,bwls,5,카페가 예쁘고 넓어서 좋았어요
80,Heylee,4.5,맛있어요
81,suzy0624,4,커피는 맛있었는데 케이크는 쏘쏘 였어요
82,hanzya,5,좋아용
83,나야쑨,5,음악도좋고 커피도 맛있읍니다...
84,eun****,3.5,친절하셨어요
85,vit****,4,분위기 좋아요~
86,그링그링,4,사람이 겁나마늠..
87,나무야,3,장소 넓어 좋아요. 커피맛도 좋고요~
88,100,5,가볼만한 예쁜 곳입니다
89,조윤정,4,분위기는 정말 좋은데 커피가 정말 비싸네요 ㅋㅋㅋㅋ 모카라떼 7천원 실화??ㅋㅋㅋ 근처에 유명한 카페엔 어니언은 테이크 아웃하면 할인해주던데 여기도 해주셨음 참 좋았겠다는 아쉬움에 별 하나 뺐습니다 ㅎ
90,꽃부리영,5,사진찍기좋은 인테리어의 카페
