,USER,SCORE,REVIEW
0,mimi언니,1.5,음악이 너무크고 음식. 커피맛이 가격에 비해 별로입니다. 게다가 불친절합니다.
1,모모,3.5,분위기 좋아요
2,yun****,4,사람이 엄청 많아요
3,그대의곁에서,5,카페가 넓고 좋네요
4,kpj****,5,분위기 맛집 2층 오두막 신기합니다
5,qoq****,4,사람이 많아도 즐거운 공간
6,bim****,5,항상 사람많은 곳
7,750****,3.5,음료가 넘 비싸요 ㅡㅡ
8,한솔로,3.5,무난해요
9,범군,3.5,팥빙수는 생각보다 맛있었지만 빙수안에 들어간 크림이있어 좀 그랬지만 괜찬앗던거같아요.
10,bey****,5,완전좋아요ㅋㄱ 단 조금비싸요
11,jsh****,5,맛있어요
12,연정,5,좋아요!
13,우주,4,좋아요
14,ylk****,3,비싸요 많이
15,아리아나,5,공간이 넓고 커피향 너무 좋고 케이크도 적당히 달콤 맛나고 여유있게 좋은 공간^^
16,파란사과,5,팥빙수 가격이 비싸다 했더니 양이 엄청 많네요. 안에 숨어있는 아이스크림도 맛있어요.
17,왕눈이,5,작은 테라로사 느낌의 카페네요
18,kim****,4,"성수에서 유명한집이라고하는데, 공간 층고 인테리어에 신경쓰지않은듯한데 기본적으로 공간이 넓어 좋아용 커피 금액대가 조금비싼편 시그니처 아인 슈페너 맛있네요"
19,SerellaJ,4,분위기도 괜찮구 커피 맛도 나쁘지 않은데 가격은 좀 사악하네요ㅋㅋㅋㅋㅋ
20,은은이,5,카페가 크고 층마다 인테리어가 예뻐서 좋아요
21,시계꽃,5,사람정말많아요
22,jj,3,야외에 벌레가많지만 편했어요
23,Jay,5,매장이 굉장히 크고 테이블 간격이 넓어요. 식사와 음료 종류가 많아요.
24,물고기,5,좋아요
25,바다빛소녀,5,카페가 넘 이뻐요~ 아메리카노도 맛있고요!
26,김미피씨,5,음식이 좀 비싸긴 하지만..진짜 맛있어요 ㅠ
27,43,5,완전 크고 분위기 너무 좋음
28,hannnnn,5,좋아요
29,aro****,3,규
30,리아,4.5,자연속느낌
31,Seong,5,너무 좋아영
32,산소여인,4,피자 맛있네요. 에이드는 별로. 주말에는 사람 많아서 못가겠고 평일에 가야 하는 곳
33,strict,4.5,음료 케익 모두 맛있어요. 힐링스팟이예요!! 콜드브루 더티 아인슈페너 굿굿 티라미스롤. 바스크치즈케익 굿굿👍
34,GDUMNSUavi,4.5,분위기 깡패네요!
35,primef,4.5,굿굿
36,grluv,4,테라스 좋아요 근데요...파리가 너무 너무 많아요 왜죠?
37,야뚤,4,운치도 있고 자리도 좋은데 가격이 좀 비쌈 ㅠ
38,aji****,4,ㆍ
39,mika,5,넓고 분위기도 좋네요!
40,옹킹,4,사람 짱많음
41,Keily,4,넓고좋아요
42,몽쉘,5,좋았는데 사람이 많긴 하네여
43,귤,5,좋아요
44,lovely girl,4.5,좋아요 추천합니다 굳
45,인생은아름다워,5,쵝~오
46,Billy,4.5,분위기 최고인 곳!! 요즘 날씨에 야외자리 필수입니다!!ㅎㅎ
47,고구마밥,5,피자가 쭬깃쭬깃하고 고소했어요!! 성수에 왠만한 맛집들 많이 다녀 봤는데 할아버지공장은 자신있게 추천할수 있는 맛집입니당
48,크러쉬,5,여기 분위기 너무 좋아요
49,CHEN,5,존맛탱구리 이쁘고 시원한 카페
50,샤론,4.5,맥주맛 좋네요. 피쉬 앤 칩스는 너무 별로~ㅠㅠ 카페 분위기는 좋아요.
51,sj5dn,4.5,나무집이 이색적인 넓디 넓은 공간은 너무 좋은데 디저트는 맛없어요. 블랑은 목넘김이 부드러워 좋았네요.
52,eloizesweet,4,밀크티 정말 좋아해서 많은 곳에서 먹어봤는데 밀크티 너무 맛있었어요 자리도 넓고 많아서 편하게 있다 가기 좋았어요
53,SSIN,4,"가게도 넓고, 커피도 맛있네요"
54,떡볶킹,4,실내랑 야외 자리 있어서 좋아요! 커피는 보통이지만 가격대는 좀 있네여 ㅎ
55,그리니쌤,4,좋아요
56,자율인간,4,넓고 분위기 좋음 라떼가 비싼편
57,suu****,2,매장이 너무 추워요. 야외가 더 따셨어요..
58,하하하,3,커피도 맛이없고.... 저한텐 좀 별루였오요 ㅠ
59,kk011400,4,인상적이에요
60,앨리스,4.5,넓은 공간이라 좋아요 음료는 너무 지나치게 비싼느낌...
61,sara,5,맛있네요
62,jub****,4,얼그레이록 티라미수 롤 맛있어요.
63,유니,4.5,분위기 좋네요 넓어서 자리도 않아요ㅎㅎ
64,jeremy,4.5,갠찬
65,캥거루토끼,3,공간과 분위기는 마음에 드는데 음식이 너무 비싸고 맛이 별로였어요 ㅠㅠ
66,flowertheresa,5,음식도 맛있고 커피도 좋아요.
67,flowertheresa,5,넓어 시원한 카페입니다.
68,kkm****,5,좋아요♡
69,dmswl1624,5,좋아요
70,보라돌이,5,멋져요
71,RYUMIHEE,4,굿
72,Stuart,5,좋아요
73,밍보,5,넓고좋아요
74,동투,4,시설이 참 좋습니다:-) 비오는날 옥상에서 있었는데 너무 좋았습니다. 정말 넓은곳. 다른 사람들 보니 밥시켜먹던데 저도 다음에는 ㅎㅎ
75,Ri27333,5,옐로우메도우 맛나용
76,미니언즈,5,굿
77,라제,4,피자 맛집이에요 굿굿
78,수리슈리,4,넓고 테라스도 있어서 좋아요!! 너무 비싼게 약간 아쉽습니다ㅠ
79,마노,3,카페 분위기 자체는 매우 좋으나 음료 한 잔만 하러 오기엔 맛 대비 가격이 너무 센 편. 식사는 안해봤지만 죽치고 앉아서 수다떨거나 공부하기엔 좋은 분위기.
80,jun****,4.5,분위기 좋고 커피도 맛나고 주차가 좀 아쉽
81,문달콩누나,3.5,알바생이 메뉴나 카페이용 관련 안내가 미흡했어요. 밀크티가 있는지 여쭤봤는데 없다고 해서 그냥 엘로우 메도우를 시켰는데 카페 둘러보다보니 밀크티가 있더라구요. 또 오두막은 아무래도 포토존인거 같아 자리 잡으면 안되는거죠? 물었더니 안된다고 했는데 사람들이 자리를 잡고 한참 안나오더라구요. 나중에 다시 확인해보니 자리 잡아도 된다고 해서 당황스러웠네요.
82,hj9****,4,커피맛 굿입니다.분위기 좋쿠..다만 주차가 힘듬...ㅜ
83,dlwnstn2000,5,굳
84,엽님,4.5,사람이 많네요.
85,구천사,3.5,좋아요.
86,꿈꾸는 서울아가씨,4,좀 비싸긴 해요~ 부모님과 구경차 와서 커피 마시고 쉬다 갑니다~
87,스나이퍼,4,커피값이 비싸진건가요?
88,janetkorea,4.5,날씨가 흐렸던 것만 빼면 완벽했던 하루. 간만에 성수동 나들이 - 당 충전에 굿굿
89,얌순이,4,맛있어요
90,밍밍이찌,2.5,자리싸움 심하고 음료 너무 비싸요
91,요조숙녀,5,분위기 좋네요
92,유딩,3.5,비싸요
93,포동이,5,#성수동#카페
