,USER,SCORE,REVIEW
0,bravahee,5,추억이생각나좋아요^^
1,yurim,5,조아조아
2,HS,3,"맛은 무난, 가격은 과함 굳이 찾아서 갈필요는 없는~"
3,꽃둥이,3.5,산미가 강함~ 테이크아웃하면 할인해줌
4,달곰쌉쌀,3.5,바닐라라떼 밍밍..
5,j2mom,5,좋아요
6,콩,5,조아
7,차정민,4.5,굿
8,냥2,4,라떼맛집
9,sunmi0405,4,굿
10,tso****,0.5,불금에 커피 마시러 갔다가 크림? 같은거 만드시는거 같은데 고막 터지고 왔어요~ 꼭 사람들 있을때 하셔야하는지.... 가격도 비싼데;;;;
11,네모안별,4.5,좋아요
12,jiyea1234,4,조아요~~
13,귤,3.5,비싸요
14,고끼리,5,커피맛있어요!
15,소비의아이콘,4,무엇보다 성수동에서 주차가 된다는게 정말 좋았구요 매장도 널찍하니 테이블 간 간격도 넓어 좋았습니다
16,ladis43,5,ㆍ
17,yumini,5,조용하고 커피맛이 정말좋아요
18,심규흥,4,굳
19,skj3971,5,좋아요
20,다녀볼까,5,완벽한 롱블랙과 밀크티 성수에 가야하는 이유
21,tulip tree,5,좋아요
22,가나다라,3.5,좌석 불편하고 커피 맛 오묘합니다 약간 한약 맛나용 직원분들친절하십니다 화장실 외부에 있고 비번도 없어서 불편 불안 합니당 재방문의사 없어용
23,맛난거좋아,4,주차가 좋아요
24,izz****,3,좀 비쌈
25,햇살만 가득하길,5,굿
26,hot****,0.5,커피 비싸고 너무 맛이없어요 의자도 불편하네요
27,졍이,5,조아요
28,김나영,5,작업하기 좋은 곳
29,brightstar77,3,책상 크고 공간도 쾌적한 편
30,JADE,3.5,주차도 되고 좋아요!!
31,dnlemakdl,4,분위기 좋아요 해지면 가게안에 조명이 더 밝아져서 더 좋은거 같아요! 얼그레이 쉬폰케익 촉촉하고 맛나요 커피는 산미가 좀 많이 느껴져서 저한텐 별로였긴한데 스팀은 잘됐어요!
32,조천사,5,좋아요
33,pip****,5,임페리얼 웨딩 밀크티 솔드아웃 아쉬워요ㅠ 언제 먹어볼 수 있나료
34,thing,5,명불허전. 몇년째 변함없이 좋은공간
35,Lyn,3,괜챃ㄴㅎ아요
36,조천사,4,좋아요
37,남이,4,인테리어가 이뻐요
38,hms1723,5,굿
39,hms1723,5,좋아요~
40,hms1723,5,매장이 넓고 인테리어가 포근해서 좋아요~ 조명이 정말 예뻐서 눈길을 사로잡네요ㅎㅎ 체어는 어렸을 때 학교 생각이나서 추억돋는 감성이에요 :)
41,gkfnduwls,4,커피 맛있어요
42,정석균,5,조아요
43,lov****,5,맛있어용
44,조천사,4,좋긴한더 비싸요
45,하늘과나,4,좋아요
46,이예슬,4,케이크 맛있어요
47,김양,5,갬성 굳
48,김슬기,4.5,분위기도좋아요
49,김슬기,4.5,좋아요
50,gyodae fire fist,3.5,매장이 넓고 쾌적한데 커피가 맛이 없어요 ㅠ
51,옹,5,노트북하기 진짜 젛고 분위기도 좋아요! 커피는 완전 산미가득해요!
52,왠디,4,추천합니다
53,왠디,3,쏘쏘 카페는 이뻐요
54,jj4750,4,굿
55,은디니,4.5,좋ㅇㅏ요
56,으콩이,4,좋아요
57,야심차게,5,조아여
58,꿈이꼬깔,5,굳
59,나니,4.5,좋아요
60,꿈이있당,4,엄마의 최애
61,꿈이꼬깔,5,밀크티가 맛있는곳
62,펭니,4,크림 아몬드 초콜릿 맛있음
63,바카,2,"커피 맛있는지 잘 모르겠어요,,"
64,소담예담맘by경진,5,너무 예쁜가게네요 커피도 깊고 맛있어요
65,혜수건희맘혜영,5,분위기좋아요
66,고숭,4,공간이 넓어요
67,호로리리리,4.5,편안하고 좋아요
68,얌얌,5,얼그레이 쉬폰 케이크 맛있어요 레몬베리티 존ㅁ맛 아메리카노 개노맛 ㅠ 분위기 조음 독서하기에 조을듯
69,사탕,5,분위기도 좋고 아주좋아요
70,뒷집꼬마,3.5,여전히 불친절 맛은 좋음
71,ha0****,4,넓고 좋아요
72,신데렐라,4,좋아요
73,라떼광,5,매력적인 공간 코로나로 내부에서 커피를 마실 수 없어서 아쉬워요
74,7ebor,5,커피는 비싼 편이고 맛도 그냥 그래여..ㅎ 재방문은 안할거 같고 그냥 한 번 먹어본 것으로 만족합니다!
75,sujungofsix,4,조아요
76,elf****,3.5,커피가 맛있어요
77,임대업자,3.5,쏘쏘
78,가비,5,ㆍ
79,엘리엔젤,4.5,너무 불빛도 예쁘고 넓어서 좋아요^^
80,hi2****,4,맛은있어요!
81,cos****,3,보통이네요.....
82,지니,1.5,매장 분위기는 좋지만 포스보는 남자분 일하시기 싫은지 매우 불친절함 말 못하시는 분인줄
83,hi2****,2.5,그냥 보여서 들어간 카페인데 불친절한것같아요 ㅠ
84,수강신청올클기원,4,분위기가 좋아요
85,먹어롱,4,한 남자직원분 친절도만 빼면 짱 조아하는 카페
86,디프,3.5,커피맛은 평범했고 레몬베리티가 맛있었습니다.매장 안테리어가 이뻐서 만족했습니다.
87,미농,4,좋아요
88,fnq****,4,분위기좋고 주차편함
89,MK,4.5,맛도 괜찮고 분위기도 좋아요! :)
90,adsl0217,5,굿
91,난나,5,차ㅠ가격이 비싼편...
92,Sjshfhf,4.5,조아요
93,oaoao,4.5,아메리카노 맛은 상당히 마음에듬.
94,세젤행,0.5,메뉴판에는 Tea by Mariage Freres라고 적혀있고 실제로 나온거는 Ronnefeldt로 나왔음. 사기당함. 가격차가 꽤 큰데 ㅠㅠ
95,sohoperich,1,커피맛에 놀라고갑니다
96,힘이,1,"가성비 매우 나쁘고, 계산해주시는 남자분이 불친절했어요 :("
97,몰듀,5,주차 가능 발렛비없음!
98,쥬니왕언니,5,맛있어요
99,쑤,3,생각보다 별로...주변에 워낙 예쁜카페가 많아서ㅠㅠ
100,리스,2.5,굉장히 시끌시끌한 카페예요 그만큼 사람이 많고 케익은 생각보다 가격 대비 보통이었어요 친절도도 느끼지 못했어요
101,매력자본연구가,5,좋아요
102,벌러덩,3,의자가 딱딱한 옛날 학교의자인 것만 빼면 좋아요
103,긍초록,2,가격 비싼편
104,윤곰,5,성수동의 맛있고 예쁜카페! 공간이 넓어서 좋움
105,drucker,3.5,차분하고 세련된 카페!
106,푸홍,3,아아메 원두 산미가 강해요
107,알궁댕,5,넓고 분위기 좋아요~
108,하치언니,5,좋습니다
109,뱅맹이,4,왜 충전 안해쥬나여ㅠ 흑흑
110,동녘,2.5,명성에 비해 커피맛과 서비스는 별로네요 직원 친절 X 와이파이도 잘 안잡히고 코드 꼽을 곳도 별로 없음 분위기는 좋아요
111,허허허허헛,4,커피랑 얼그레이케익맛있어요ㅋㄱ 창가쪽에앉았는데 모기 5마리정도잡았어여ㅋㅋㅋ
112,경 자,5,"주차장소 찾다가 겨우발견했어요:) 플랫화이트, 아아 - 맛이 좋아요~ 기본적으로 산미가 좀 있어요! (견딜만한 산미임)"
113,sci****,4.5,매장이 크고 분위기가 좋아요!!
114,유쓸모,4,분위기 좋구 넓찍해서 굳
115,파타고니아,4,성수역에 차 가지고 잠시 있을 곳이 필요해서 들렀어요. 주차관리원 할아버지 때문에 들어가기도 전에 기분 최악이네요. 분위기는 괜찮습니다.
116,sse****,0.5,플랫 화이트 너무 맛없어요 기본 아메리카노 자체가 너무 별론거같아요 한입 먹고 못먹겠어서 남겼어요..
117,iru****,5,좋아요~~분위기👍
118,lov****,5,넓고 쾌적해요
119,워니,5,당근케이크
120,aa12d,4,넓고 좋아요
121,와,3.5,구냥구냥
122,kongg,4,당근케이크 맛있어요 커피 산미가 좀 있어요 !
123,Mini,5,맛있어요
124,루뎅,5,몇 년 째 단골인데 리뷰는 처음 올립니다. 성수동에 카페가 많지 않을 때도 계속 이 자리를 지켜온 곳 입니다. 특히 플랫화이트가 맛있습니다.
125,달리기,4,가을느낌물씬나는자그마치의아이스라떼향긋 양이좀적어좀아쉽지만대신아껴먹으며음미했어요. 거리두기잘되어있어안심하고방문가능! 주차장있는것도장점!
126,wr94,5,좋아요
127,pw0****,4,성수를 대표하는 분위기 깡패 카페!
128,ww706ww,4,좋은거 같아요~ 화장실에 비누가 있었으면 좋겠어요
129,곰도리,4,화장실에 비누가 없음
130,ada****,3.5,코피맛남
131,라떼홀릭,5,커피 맛있고 카페도 널찍해서 좋음
132,허허,4.5,좋아요
133,CIEL,3,넘 비싸요
134,sszl1231,4.5,넓고 시원합니다 케익은 당근케익이랑 레몬케익을 먹었는데 둘다 맛있고 좋아요
135,husuke,4,좋아요
136,MakeYouSmile,3,"매장 안은 널찍하고 너무 시끄럽지 않아 쾌적합니다. 커피 맛도 괜찮구요. 근데 의자가 옛날 초중학교에 있던 낮은 의자에요. 의자가 낮아 탁상 높이가 높은 창가쪽 바형 테이블에는 손을 올리면 자동으로 어깨가 들려 불편하네요. 콘센트도 창가쪽 자리에만 뜨문뜨문 있습니다. 차 마시며 대화하기엔 좋지만 잠깐 업무보러 나와 이용하기에는 테이블과 의자, 콘센트 등이 불편한 것 같습니다."
137,riiinnn,5,아메리카노는 산미가 있네요 분위기 좋고 이뻐요 :)
138,seyoung4142,4.5,분위기가 좋네용
139,에헤헤헤,5,분위기굳 ㅎㅎㅎㅎ
140,백설공주,3.5,굿이네요:) 한번 방문하긴 좋아여
141,오렌징,3.5,자그마치 제가 자그마치에 왔습니다:) 굿이네요~ 한번쯤 방문하기 좋습니다
142,daiin,5,굿
143,yeonnychoi,5,크림 아몬드 초코 존맛탱
144,히코옹,3.5,음료가격이깜짝놀랍네요ㅋㅋ 커피이외음료가 자그마치 8천원ㅠㅠ
145,Wls,5,좋아요
146,우지연,3,커피무난. 직원불친절하대서 뭐 그때만 그런거겠지 했는데 진짜 불친절함하하
147,SayIoyo,4,레몬베리티 먹었는데 생각보다 달아서 놀랐어요 분위기는 조아요~~ 케익도 얼그레이쉬폰 맛있었어요!!
148,hil****,3,커피도 비싸고 의자도 편안하지않고 직원은 불친절했슴
149,다혜,4.5,분위기 넘나 좋고 커피도 차도 좋았으나 조금 시끄러움이 아쉽네요~
150,블링블링,3,카운터 싸갈쓰 바갈쓰~~~~
151,해품,5,굿
152,젤리벨트,3.5,^^
153,뛰뛰,4,남편이 좋아해요
154,Diamond,4.5,크림아몬드초코아이스랑 초코케잌 맛있었어요! 크림아몬드초코 무슨 맛이냐면 편의점에서 파는 마카다미아 초코우유맛이에욤ㅋㄱㄱ 라떼보다 이게 맛있었어요. 근데 요즘 카페들 컵 이렇게 작은 거 쓰기있냐 퓨ㅠ 라떼커피사이즈로 달란🐎이다! 씌익씌익 그래도 초코케잌도 꾸덕달달하니 맛있었어욤ㅎ!
155,웅앵웅,5,사람이 많구 차 종류는 거의 다 sold out이네요. 그래도 주차자리 널널하고 공간이 큰건 좋아요. 케이크 시키면 흔히 생각하는 삼각형 아니고 저런 모양입니다. 참고하셔요. 근데 무진장 맛있어서 5점 박고 갑니다
156,wiseyoung,4,"커피가 진한 맛이었고, 얼그레이케익 정말 맛났어요🍰👍☕🙂"
157,jeongeunnee,5,맛나여 ❣️
158,GV3,4,주차되서 좋고 커피에서 왠지 모르게 초콜릿 맛이남
159,Dream Finder,4,쥬스 맛나네여
160,겨겨결,5,테이블 높이도 적당하고 분위기도 좋아요!
161,imyourgenie,5,맛있아요!!! 초코 쇼콜라 그리고 케이크도
162,sobrightyoung,4,카페 넓고 음료 맛있어요 레몬에이드 맛있었어요 ㅎㅎㅎ
163,emma,5,커피가 맛있네용
164,hohojun,4.5,맛있어요
165,나니,5,좋아요
166,애용,4,커피가 너무 셔요
167,뚜뚜,5,나는 얼그레이가 좋다 얼그레이도 나 좋아한다
168,nani_,3,화장실 넘 구림
169,JULIE,5,넘 예쁜 공간이네요 다양한 분위기를 느낄 수 있어요
170,jay****,5,작업하기 좋아요
171,비바라쑤니,5,분위기 좋은곳 주차되서 너무 좋아요
172,momo,4.5,쾌적하고 커피도 맛있어요
173,앨런킴,4.5,힙한 분위기~ 예압! 호!!!!
174,후루루,5,커피는 나쁘지않은데 의자에 투자좀 하세요 허리끊어저욥
175,채린,5,분위기 좋고 좋아욧
176,귤,1,원두 진짜 맛없다
177,puruni,4.5,맛가격좋음
178,머꼬,4,시원하고 자리가 넓직해서 좋아요
179,문지영,4,가격은 비싼데 음료는 그정도는 아닌 것 같아서 왕 아쉬웠어요 ㅠ
180,허허,4,카공 하기 좋은 카페네용! 밀크티는 별로였어요 ㅠㅠ
181,nas****,4,커피맛 좋아요.
182,레이니,4,커피맛은 쏘쏘
183,레이니,3.5,커피맛은 쏘쏘 케잌맛도 맛없지는 않아요
184,민,4,카페 인테리어가 예뻐용 음료랑 케이크는 보통이에요
185,swsw2111,5,크림아몬드초콜릿 짱맛
186,chj****,4,.
187,중계동수학쌤,4.5,맛있어요.
188,영주,4,자주와야겠어요
189,영주,4,아메리카노가 산미가 좀 있네요 바닐라라떼는 맛있어요
190,영주,4,산미가 강해요
191,monika,2,카페는 크고 좋은데 윗층에 너무 화장실 냄새가 많이 나요 ㅠㅠㅠ
192,ㅇㅂㅇ,3,전체적인 맛에 비해 가격이 저렴하진 않다
193,김한소리,3,테이크아웃으로 크림아몬드 초코를 마셨는데 뭔가 싱겁고 밍밍했어요 매장에서 마실때랑은 맛이 조금 달랐어요
194,무민,3,아메리카노는 맛별루...
195,열서,4,ㄱㅅ
196,namgreen,4,화장실이 별로...
197,솜솜,5,분위기 좋아요 커피도 맛있어요
198,지글보글꿀꺽,5,분위기도 좋고 맛나요
199,hyu****,4,분위기도 좋고 케이크가 맛있네요~ 편하게 작업했어요~
200,ansekfekf,5,#성수동카페
201,mjc****,5,ㅡ
202,꽁기,5,🌝 빛과 식물이 함께하는 카페
203,nhz****,5,분위기가 좋아요.
204,airHame,4,#성동
205,Moritz,5,분위기 최고네요!
206,lov****,5,좋아요오오오오오오오'
207,lov****,5,좋아요
208,helen,1,코로나가 창궐한데 화장실에 비누나 손세정제가 없어요.. 온수도 안 나와서 찬물로만 씻어야해요.
209,akslfj,4,당근케이크 먹을만해요. 커피는 산미가 너무 강해서 별로였어요.
210,고죠,5,레드라이트 건강하게 맛있는 맛이었어요~ 조명 맛집이네요~~
211,HB연필,3,주차공간 있음. 내부 넓어서 좋아요. 라떼랑 얼그레이 케익 먹을만 함.
212,지히,5,"말차라떼 진한걸 좋아하는데, 진해서 맛있었습니다. 아메리카노도 산미 없이 맛있었어요~ 2000원 내면 아메리카노로 리필 해주시는데 그 점이 좋아요. 벽면에 나오고 있는 영화가 느낌있구 좋았습니다. :)"
213,나냥,5,커피 맛있어요~~
214,미라클,4,굿
215,미라클,4,좋아요
216,bbbossa,5,어어아ㅏ어ㅜㅊ 운ㄴ
217,3947,4,늦게까지 영업하고 커피 괜찮아요. 사람이 많아서 조용한 걸 좋아하는 분이라면 좀 힘들수도 있어요. 인테리어 예뻐요.
218,김한소리,5,차 종류는 처음 주문했는데 맛있었어요 레몬베리티 강추!
219,러브,4,#자그마치 #커피 #성수 #성수동카페 #애시드레몬
220,TeunTeun E,4,맛있어요 인테리어는 좀 바꿔도될꺼같아요
221,로리나,5,분위기가 너무 좋구 넓고 쾌적하고 음악도 너무너무 좋아요~!
222,tjdusdl2018,4,넓고 주차공간도 있고 좋아영
