,USER,SCORE,REVIEW
0,뽀보복,5,맛있어용!
1,뽀보복,5,설티카라멜 너무 맛있어용!!
2,죠잇,4.5,"카페가 넓어서 좋아요! 크로핀이 엄청나게 달아요,, 단 거 잘 못드시면 비추천!"
3,MIMI짱,4,친절하고 좋아요
4,jan****,4.5,좋아요
5,청운,5,맛있어요
6,시리,2.5,자리가 없어여
7,고도리,4,맛있어용 베이커리 종류가 다양해서 완전 행복합니당 커피도 나쁘진 않은데 원두별로 차이는 별로 없는 듯
8,테노스,5,맛있어요
9,한아르몽,4,독특한 공간이었어요~
10,Dis cov er,5,디저트도 많고 맛좋아요~!
11,qqh****,5,커피도 맛있지만 특히 까눌레 맛있어요
12,이루밍,5,까눌레맛있어요 주말은 1인 1음료
13,팡이,4.5,루프탑 진짜 좋아요! 직원분들도 친절하세요 ㅎㅎ
14,court,5,좋아요
15,InpeY,0.5,주말만 1인 1음료인데 평일 고객에게 음료 하나 시키시면 안 되냐고 하시네요. 빵을 3개나 주문했는데도요 ;
16,꼼지락,3,더운날이여서 크림이 올려있는 밀크티는 힘들었어요~벽장에 들어가는 것 처럼 공간이 만들어 진 곳은 무척이나 맘에 들었어요~
17,한나초,4,라떼는 맛있음. 버터라떼는... ㅠㅜ
18,배로나,4,별기대안했는데 커피 맛있어요
19,아마도,5,빵도 맛있고 라떼도 맛있어요! 사이즈업 안 되는건 쫌 아쉬워요
20,TeunTeun E,4,더워여..커피 괜찮음 베이커리는 기대만큼은 아님
21,kim****,4,"성수카페 편안한느낌, 휴식 성수동커피 착한가격이네용~ 베이커리유명집다워요. 디저트 꼭 드셔보세요"
22,뽀야,5,#크로핀 #치즈파티 #크렘마리아주
23,이승환천,5,성수의 핫플
24,리치리치,5,커피 넘 맛있고 빵도 좋네요
25,nms****,4.5,깔끔하고 좋아요
26,Bangda,5,좋아요
27,ete****,4,"디카페인 원두도 선택가능하고, 공간도 널찍해서 좋아요."
28,송송송,4,커피는 맛있어요 빵은 가격대비 별로..
