,USER,SCORE,REVIEW
0,베리,4.5,굿!
1,songsong,5,너무맛있어요 ㅜㅜ
2,yr0115,4.5,너무맛있어요 !!! 고소한 맛이 강해서 더 좋아요
3,서내,5,미리 주문예약하고 갔는데 준비가 다되있고 픽업만하면되서 너무 좋았습니다. 직원들이랑 먹으려고 간식 주문한건데 너무 맛있게 잘먹었습니다!!
4,happyunni,5,아주 사무적이예요 하지만 잠봉뵈르와 크로플 너무 맛있어요 시네몬크로핀은 그닥이예요 크랜베리호두 깜빠뉴는 당일은 겉바속초로 맛있지만 그날 다먹어야지 하루지나니 너무 찔기고 맛없어져요 ㅜㅜ
5,5252,5,빵 너무 맛있어요..... 무화과 깜빠뉴 무화과 진짜 많이 들어있어서 넘 좋아용
6,안되,5,예약이 있어 편하고 예약만해두면 일찍가도 괜찮! 잠봉뵈르 맛있어요~잠봉 만드는게 훈제를 하는건지?? 훈제향 너무 좋앗고 적절하게 짭짤 그리고 버터 고소! 또 먹고 싶어요😆😋
7,Yuna,5,너무 맛있어요 👍🏻
8,호호,5,진짜 맛있어요ㅠㅠ
9,ysbjds,5,"초코 깜빠뉴 너무너무 맛있어요... 잠봉뵈르는 뭐 말할것도ㅇㅓㅂㅅ이 존맛,,,"
10,나는야토맛토,5,크로플 짱!
11,rimrim,5,무화과 깜바뉴랑 샌드위치 너무 맛있어요!!
12,doh****,5,잠봉뵈르👍🏻
13,술이a,5,맛있어요
14,BORI,5,빵 너무 맛있어요👍🏼
15,maplaceysl,3.5,서비스나 분위기 너무 좋았습니다. 예약하고 갔어서 기다림없이 편하게 다녀왔습니다. 점수를 따게 준것은 잠봉베흐가 파리에서 먹던 맛이라고 누군가 이야기를 했었는데 조금 아쉬웠습니다. 잠봉이 1mm가 더 두껍거나 조금더 양이 있었으면 하는마음과 버터는 1~2mm살짝 얇아지면 더 비슷한 맛일거 같았습니다. 학창시절 파리에서 정말 많이 사먹던 샌드위치였어서 기대하기도 하였고 추억소환이 되었습니다~
16,lilyrose,5,잠봉뵈르 대박
17,72900991,5,너무맛있는곳!
18,petnat,5,개인적으로 잠봉뵈르보다 크로플이 맛있었어요
19,hml****,5,잠봉뵈르 엄청 기대했는데 기대했던 것보다도 더 맛있었어요 :) 다른 것들도 다 맛있었습니다!!
20,본비,4,크로플 > 잠봉뵈르 > 크로핀 순서대로 맛있는 빵집
21,리아,5,잠봉뵈르 맛남
22,come2me,5,좋아요
23,정정,5,버터 너무 고수하고 맛잇어요~~~
24,안녕하세요,5,굿굿
25,unasuna,4.5,잠봉브뢰 강추
26,soogie11,5,잠봉뵈르 두번째겟. 깜빠뉴 처음 겟. 깜빠뉴도 매우만족입니다
27,gaghany3,5,회사 바로 앞인데 오프라인으로는 구매도 못해요ㅠ 이제 무조건 ㅇㅖ약하고 픽업을 해야 하지만 충분히 그럴 가치가 있어요 ! 어떤 빵을 선택해도 만족하실꺼에요
28,o10****,5,진짜 너무 맛있어요 다들 꼭 가세요.
29,다나,5,예약 날짜를 실수로 잘못 선택해서 픽업을 예약한 날 못갔는데도 사장님께서 너무 친절하게 대응해주셔서 너무 감사했습니다. ㅠㅠ 맛은 말모… 잠봉뵈르는 프랑스에서 먹었던거보다 더 맛있어요. ㅠㅠ
30,525****,1.5,너무 기대해서 예약해서 갔는데 저한테는 안 맞았어요. 호밀빵은 너무 많이 구워서 딱딱하고 먹기 힘들고 타는 냄새와 맞이 많이 느꼈습니다. 크로플도 기대한 달거만 맛이 아니어서 아쉬웠어요. 잠봉뵈르 샌드위치는 바케트가 전체적으로 딱딱하고 수분이 부족하고 맛있는 밀가루 향도 없었어요. 또 잠봉뵈르가 마트에서 파는 햄과 같았어요. 그게 제일 아쉬운 부분이에요. 가격에 대해서 질이 별로였어요. 마지막으로 이타리아에서 수입한 단산주스도 샀는데 다음날에 백화점에서 같은걸 발견해버리고 백화점 가격이 더 싸서 충격적이었어요.
31,rbd****,5,빵 너무너무너무 맛있어요
32,곡고오객님,5,오~맛있어요
33,enj****,4,맛있어요!
34,앙버터,5,맛있어서 또 방문했어요 잠봉뵈르 정말 최고 어른들도 좋아하세요
35,제이미니,5,예약하고 가서 에코백까지 구매했어요 빵이 정말맛있어요ㅠㅠ 근데 빵 컷팅해달라고 예약한거같은데 재예약하면서 안된건지;; 컷팅 안되있어서 살짝 난감..어캐 잘라야할지ㅋㅋㅋ맛있어서 담에 또 갈거에요!
36,리스,4,다음에 예약 후 재방문 하고 싶어요 기본 크로아상만 구입했는데 집에서 아메리카노와 잘 먹었습니다
37,가온,5,"친절한 직원분과, 맛있는 빵! 다 갖췄어요"
38,이단,5,기대했던 것보다 더 맛있어요!! 무조건 재방문할겁니다:)
39,spring song,5,친절하시고 잠봉도 맛있었어요
40,앎,4.5,휘낭시에존맛... 크로와상은 쏘쏘
41,융,5,너무맛있어요... 잠봉뵈르도 맛있고 초코깜빠뉴도 너무 맛있어요... 크로핀은 엄마가 너무 좋아하셨어요... 다음에 또 사먹으러갈게요ㅜㅜㅜ
42,차롱,5,넘나넘나 맛있어요 ㅜㅜㅜㅠㅜ
43,알랑가몰라,5,크림도 많고 맛있어요!
44,Hyony,5,픽업서비스 되는 거 너무 좋네요 ㅎ 잠봉뵈르 짜지않고 담백하니 너무 맛있어요! 깜빠뉴도 맛있고 다음에는 다른 종류로 먹어보려구요
45,두루두루,5,잠봉뵈르랑 빵들 사가지고 왔는데 너무 맛있어요!!!
46,쓰라이,5,잠봉뵈르 최고에여
47,히뽀,5,맛잇고 좋아요~! 또갈거에요
48,alice,5,잠봉뵈르 진짜 맛잇어요 ㅠㅠ
49,Sojini,5,"성수에 자랑, 잠봉뵈르 맛집 에르제! 크로핀도 존맛 ㅠㅠㅠ 바질스콘도 짱 ㅠ 맛없없 진짜 대존맛 ㅠ 성수오면 꼭 사가세여~"
50,tndls0117,5,조금 대기는 있었지만 미리예약해서 수월하게 픽업했어요~^^
51,cek****,3,깜빠뉴 맛있어요
52,eeh****,4.5,맛있게 잘먹었습니다!
53,ah,3.5,굿
54,rim,4,좋아요
55,bklove0718,5,친절하고 좋아요~! 잠봉뵈르 맛있었어요!
56,leo****,3.5,예약서비스가 있어서 좋네요
57,ruby,5,바게트 바삭바삭 고소하고 잠봉도 짜지 않아서 너무 맛있어요!
58,codnjs,5,"잠봉맛쥡,,👍🏻 하루 빨리 수지점 생겼으면 좋겠어요오,,💓 그렇담 전 그 집 단골 예약,,🌟"
59,쿵쿵,5,맛있게 잘 먹었어요 :)
60,홍마님,4,"역시 유명한건 잠봉뵈르고, 카운터에 있는분 응대는 쫌 불친절하네욯ㅎ"
61,아하,4.5,픽업 서비스 너무 좋아요!!!!❤️ 포장도 잘해주셨고 매장 분위기도 편안한 느낌이 들었어요 많은 분들이 이런서비스를 이용 하셨으면 좋겠어요 편리하기도하고 빵이 너무 맛있어요🥰
62,hja****,5,예약하고 가시길 추천해요. 오후에 갔더니 빵종류가 몇가지 안남아서 못사올뻔했어요 빵은 무화과깜빠뉴랑 크로플 샀는데 역시 너무 맛있어요
63,dodozzaru,5,마치 그곳만 유럽의어느마을 골목에있는 빵집같았어요^^ 예쁘고. 게다 너무 맛있더라구요~ 어제. 사온 잠봉을. 반으로 나눠. 아침 점심. 즐겁게 해결하고 깜빠뉴는 잘라서 냉동보관했어요. 며칠 아침 든든하겠다! 했는데. 거의다 먹어가요 ㅎㅎ 집가까이에 이리도 좋은빵집이 생겨 진짜 신나요 !! 오래오래 해주세요~ (๑>◡<๑)
64,만두,5,최고.... 매일 먹고 싶어요
65,songsong,5,인생 잠봉뵈르에요 너무맛있어요 소금집꺼보다 저는 에르제꺼가 훨씬 단백하고 버터의 풍미도 더하고 맛있네용
66,아이아이,5,지난번에 먹고 넘 맛있어서 두번째 예약하고 재방문했어요ㅎㅎ 잠봉뵈르는 그냥 무조건 맛있고 이번에 밤식빵 처음 구매해봤는데 밤은 달달하고 식빵은 슴슴해서 넘나 취향저격..!! 시나몬 크로플도 크로와상도 죄다 맛있어요 다음엔 다른것도 더 먹어봐야겠어요ㅎㅎ
67,앙버터,5,무화과깜파뉴 최고
68,로미언니,5,"잠봉뵈르 너무 맛있어요! 곡물 깡빠뉴도 고소한 냄새가 솔솔 나는게 취향이고요 ^^ 식사빵, 디저트빵 고루 맛있는 집이네요~"
69,yun****,4,잠봉뵈르와 깜파뉴 구매했어요 잠봉뵈르는 너무 기대했는지 생각보단 평범했지만 고소한 바게뜨와 함께 어우러지는 담백한 고소한맛이 좋았어요 깜파뉴는 생각보다 큰 사이즈인데 예약안했음 못먹었을뻔 했네요
70,dearjoe,5,너무 맛있어요-
71,jeongmi22,5,너무 맛있어요 ㅠㅠ 최애 갬성 잠봉뵈르 맛집🤍
72,happiesssss,4,빵 자체가 넘 맛잇어요
73,oop****,5,"잠봉뵈르, 크로와상, 곡물깜빠뉴, 스콘까지..... 픽업으로 편하게 받았고 맛있게 잘 먹었습니다^^"
74,lhj6213,4,전부 맛있어요~
75,silvia,2,왜 인기있는지 모르겠어요. ㅜㅜ 바게트가 세상 너무 딱딱해서 물어뜯기도 힘들어서 가위로 조각조각 잘라먹었어요
76,ㅊ,4,가격대가 있는편이긴 한데 빵이 맛있음
77,soulgreen,5,플레인 스콘이랑 바질 스콘 먹었는데 맛있어요. 바질스콘은 바질향이 강해서 호불호 있읗거 같아요. 저는 호!
78,손많이가는아이,5,잠봉잠봉 너무 맛있어요!!!!
79,정윤희,5,"미리 픽업 예약해두고 찾으러 갔어요, 잠봉뵈르가 목적이었는데 바질식빵이랑 크로와상도 너무 맛있네요 잠봉뵈르는 버터가 엄청 고급스러운 풍미를 줘서 너무 잘 어울렸어요 회사가 성수동이라 행복해요"
80,ngn****,5,굿굿
81,det****,5,좋아요!!!!!!!
82,윤수진,5,스콘 너무 맛있어요!
83,엘리,4,초코깜빠뉴 맛닜어요 ㅜㅜ 달지않아요!!! 그치만 전 원레 달지않고 카카오향 나는걸 좋아해서 ㅜ 뭐 안발라먹고 그냥 와구와구 먹었네요 잠봉뵈르두 소금집다음으로 맛잇엇어요 대신 버터향이 더 많이 났음 좋겠습니다 💛
84,포동,5,"맛이 미쳤어요. 빵이 진짜맛있어요. 5글자로 표현하면 ""꼬옥 드세요"""
85,mel****,5,"예약해서 바로 찾을 수 있었어요~ 비싸지만 한번쯤은 도전해볼만해요. 맛있은 있지만, 솔직히 햄 퀄리티는 잘 모르겠어요"
86,뭉다,5,잠봉뵈르 진짜 너무너무 맛있어요! 예약해서 여기저기 선물하고 저도 먹었는데 다들 맛있다고 해줘서 뿌듯합니다 ㅎㅎ
87,momo,5,소금집 잠봉보다 맛있음 그냥 최고
88,jini,5,와체고
89,soulgreen,5,깜빠뉴랑 커스터드 크로폴 먹었는데 맛있어요!
90,Catherine,5,맛있어요
91,슘,5,깜빠뉴 맛있어요 자주 갈게요
92,찹쌀이네,5,맛있어요!
93,그래도,4.5,담백하고 맛있어요
94,졍이,5,맛있어요
95,김나영,5,잠봉 진짜 존맛
96,caramel78,5,맛있네요.
97,enqn326,5,잠봉뵈르 심플하면서도 맛있어요!깜빠뉴도요!
98,ghtql,5,"네이버예약으로 예약해서 먹으니까 너무 편하고 좋았고, 빵 너무 맛있어요, 전 특히 크로핀이 맛있었어요"
