,USER,SCORE,REVIEW
0,qlrqod76,4,핫플레이스라고 하던데 그래서인지 평일 5시쯤인데도 사람이 많았어용!
1,purple,4,커피 맛있네요.
2,Shinmi,2,오늘 31도 입니다 시간세시 에어컨 안틀고 사람 이랗게 많은데 요청드렸더니 에어컨 위치조절이 안된다네요. 거기다 에어컨을 달고 안트시는 이유는 무엇인가여.
3,정지태,4,하얗고 널찍. 주차장공간 인상적. 커피는 보통.
4,김민희,4,맛있음 카페 예쁨
5,아로웬,4,좋아요
6,hitchhiker,4.5,쿠키 맛남! 베이커리류 다 맛있어보이는데 브런치를 배부르게 먹고 와서 아쉬워요. 다음엔 꼭!
7,hitchhiker,5,커피도 맛있고 특히 라떼류 비건으로 변경할 수 있어 좋아요! 공간 자체가 넓어서 시원시원해요. 2층 꼭 올라가보세요!
8,워니,5,조아요
9,두둠칫,4,상당히 넓고 야외석도 있는데 사람이 엄청 많아요 ㅎㅎ 가격은 좀 비싸지만 성수역 근처라.
10,ths****,4.5,디저트 맛있고 주차 넘 좋아요...
11,어린왕자,4.5,ㅋㅋ
12,드스므,5,사진 찍기도 좋고 오렌지 음료가 특이해요
13,치히로,4,힙해요
14,hhj****,5,분위기 좋고 시원하고 테이블도 많고 콜드브루 디카페인 맛있네요 스콘도 저렴하고 딱좋아요!
15,JH,5,깔끔하고 커피 맛있어요! 내부가 넓고 쾌적합니다. 마치 갤러리 온 느낌👍
16,지또,4,카페 안이 통창으로 탁 트여 있어서 밝고 좋았어요! 디저트가 맛있습니당 음료가격이 좀 쎈데 맛은 쏘쏘
17,비비,4,좋아요
18,ysp****,4.5,좋아요
19,뗀,5,좋아요
20,yuk****,4.5,이뻐뇨ㅔ
21,철웅스,3,굿
22,카스텔하,5,여윽시 인싸 카페답게 예ㅃㅓ요
23,하뚜,5,분위기 좋고 커피 맛있어요
24,selgi321,4.5,좋아요
25,sundungga,4.5,음료 가격대는 좀 있지만 맛있구 친절하세요! 쿠키는 생각보다 딱딱하고 너무 달기만 했어요 ㅠㅠ
26,gon****,5,"분위기도 힙하고, 케이크 맛도 좋네요~"
27,이매다,4,좋아요
28,둥기당,4.5,"산미 적고 바디감이 느껴지는 원두로 선택했는데, 굉장히 진하고 묵직한 느낌이었습니다. 브런치 세트로 주문할 때 스틱으로 변경하는 거 추천해요! 조용한 편은 아니었지만 나름의 북작거리는 분위기도 나쁘지 않았어요."
29,바르고예쁜이,5,굿
30,sun****,5,매장분위기가 좋은편이에요 ㅎ 산미있는 원두도 좋구요 ㅎ 조용한걸 원한다면 다소 불편할수도 ㅎ
31,DMIN,5,굿
32,뷰어,4,사람이 많아요~~
33,Htebazill,5,브런치 먹으러왔는데 맛있어요
34,universezoo,5,오전에 오면 한적하니 너무 좋습니다. 강아지 동반 가능하니 반려인들은 오전 시간 노리세요 😎 직원분들도 핵 친 절 !
35,hil****,4,분위기도 좋고 커피랑 맛있네요
36,Hn,4,분위기 좋은 카페
37,Hn,4,힙합니다
38,Election,3,"인스타 핫플.,맛은.."
39,쥬,5,굿
40,뿌쮸뿌쮸,3.5,너무 비쌈;
41,jini,1,ㅠㅠ노맛..
42,다듀,5,"케쿠 좀 비싼데(8,500) 맛있음 분위기도 좋음"
43,남자다움,5,좋아요
44,doh****,5,크고 좋아요
45,고끼리,3.5,넓고 깔끔한 분위기
46,JY,4,넓고 좋아요~!
47,김지우,5,되게 멋드러지고 넓어요 케이크랑 스콘도 맛있고 자몽에이드도 맛있어요! 가격도 요즘 카페들이랑 비교하면 soso
48,with me,5,쎈느 분위기 너무 좋아요! 앉을 자리 마련해주셔서 감사했어요 친절해요💛
49,브리스가,4,좋아요
50,팡이,4,자리가 넓고 좋아요!
51,황지,5,주말에 사람 엄청 많은데 앉을 자리까지 마련해주시고 완전 친절함ㅠ스콘완전 굳굳
52,Hony,5,좋아요 주차가발렛이에용
53,하다원,5,분위기도 좋고 커피맛도 맛있어용 ㅎ
54,튠튜,5,굿굿
55,헤헤,4.5,커피맛있고 자리가 많아서 좋았어요~
56,밍밍이찌,5,밖에서 잘 이용했습니다
57,des****,5,분위기 좋아요
58,덕덕이,5,존맛탱 바닐라 라떼 많이 달아요 조심
59,비니마마,2,"스콘 맛집이라해서 갔는데 잘못 알았나봐요. 가격도 있는 편인데, 맛고 평범하고 크기도 작아요. 커피는 맛있었어요. 사람 많고 장소는 넓은데, 스콘 종류는 그냥 그래요. 스콘은 삼청동 레이어드!"
60,이매다,4,좋아요
61,나블리,5,티라미슈 맛있어요!
62,눈동자,5,조아요
63,ilo****,5,커피 맛있고 친절해요 분위기도 좋아요
64,까꿍,4,분위기 좋아용
65,생각만듬,4,스콘 포장했더니 20%할인 최고예요
66,쿠쿠키키,3.5,레몬티에서 예상치못한 건강한맛이... 계피향인가..ㅜㅜ 드실분은 참고하세용... 레몬티 가격도 너무 비싸여 ㅜㅜ
67,새싹애플,4,주차최고
68,짱써치,5,공간 넓고 분위기 좋고 #good
69,담소,4,분위기 좋아요
70,rla****,5,카페가 너무 예쁘고 감성적이에요
71,zen****,5,👍🏻
72,하고싶은거다해,5,애견동반이 가능해서 좋구 케이크 진짜 맛있었어요
73,땡공주님,4,샌드위치 너무맛있음!!얼그레이케익대박!!얼그레이한가득~~친절하시고넓고 다만 주차가안됨ㅠ 발렛가능인데 3시간3천원..
74,눈누난냐,2,힙한건 인정. 맛과 가격은 아니올시다.
75,parksilver,0.5,착하지도 않은 가격에 케이크 너무 맛없음....
76,naibr,5,좋아요
77,kim****,2.5,커피 너무 비쌈
78,나블리,5,카운터에 있는 직원분 너무 친절하시고 설명도 잘 해주시고 좋았습니다~
79,sad****,5,커피 엄청 맛있게 잘 먹었습니다 ㅎㅎ 인테리어 분위기도 너무좋구 1번 출구랑 가까워서 너무 좋아요!!!!!
80,쿠크다스,4.5,"친절하고, 너무너무 맛있어요!!!"
81,유앤리브로,5,쿠키 맛있어용
82,mnyng582,5,샌드위치랑 커피 다 맛있었어용
83,마돌,5,잘 마셨어요 메뉴 설명 감사해요 !!
84,핑구,0.5,불친절
85,나는야 회사인,5,빵 맛있어요
86,pbr1849,5,브런치메뉴&쿠키&커피 다 다 다 맛잇어요!!👍
87,qet****,5,테이크아웃 20프로 할인 좋은거같용 맛있게 잘 마셨습니다 !!
88,가슴이웅장해진다,5,커피랑 케이크 정말 맛있게 잘 먹었습니당
89,cnd****,1,안에서 음식만드는 직원분들 샷 내리는 직원들분들은 왜 턱마스크 마스크만 하시나요..?
90,Hanny,1,손님한텐 마스크쓰라면서 정작 여기 키큰 바리스타는 턱스크?
91,Shin,5,잘 마셨습니다
92,윤정몬,4,레몬 아이스티 많이 달지않아서 너무 좋았어요! 얼그레이 케익 진짜 맛있어요!~ 얼그레이 향이 진해서얼그레이 좋아하시는 분들은 정말 좋아하실 듯한! 크림도 많이 달지않아서 전체적으로 깔끔했어요. 스콘도 은은하게 오렌지향이 나고 버터와의 조합이 좋았어요!!~
93,Funn,5,굳
94,김다정,4,바닐라라떼랑 애플시나몬밀크 우유에 사과랑 시나몬향이 만나서 좋아용
95,vtxitt76,4,7시 50분 받아주셔서 감사해요
96,둥둥,3.5,맛은 그냥그럼데 가격이 비쌈
97,꿈돌이,5,분위기도 좋고 널찍하고 애견동반 가능해서 좋아요. 주차장도 있어서 넘 편하게 이용했어요. 그릴드 머쉬룸 샌드위치 완전 맛나고요.
98,슈슈,5,워낙 핫풀이구요. 테이블간 거리가 넓어서 좋습니다
99,Rachel,4.5,인테리어도 예쁘고 커피도 맛있어요
100,어린왕자,3,맛이 보통. 그냥 먹기만해요ㅎ
101,리에나 Leanna,4,요즘 카페에서 커피 마실수가 없는데 식사류에 포함되는 샐러드나 브런치류 같이 시키면 실내에서 취식 가능해서 좋네요.
102,냑,2.5,라떼는 맛있고 아메리카노도 산미가 강한걸 좋아해서 좋았습니다. 다만 음료구분을 위해 마킹한 싸인펜 냄새가 많이 났습니다. 직원들 응대가 아직 서툴어보이고 전시된 음식이 현상황에서 공기중에 노출된게 오염에 취약해보였습니다.
103,joy8664,4,좋아요
104,에브리,4,스콘도 맛있었다
105,망쨩,5,사진 찍을 곳이 많아요
106,JINHWA,5,굿
107,traumerj,4,인테리어 감각이 살아있는 곳
108,mic****,4,맛있긴해요:)
109,joydana,5,직원도 발렛 아저씨도 친절하고 맛도 있고 또 가고싶어요~~~
110,eeeeeo,3,두번째 방문 쏘쏘 친절함
111,Songaage,4,테이크아웃 할인 좋고 빵도 맛잇어보이고 산뜻한 모티브의 디자인도 맘에든다.
112,oran,2.5,맛 별로예요 사람만 많고 가격 비쌈...인스타용카페
113,Claire Lee,3.5,커피 맛있네요. 그런데 가격이 비싸네요...
114,nnk****,4,"커피, 디저트 공간 분위기 좋아요."
115,haily,3.5,소소한 느낌 인스타핫플답게 사람이많다
116,mail,4,근방 카페 중 티라미수가 제일 맛있는 곳.
117,청천흑우,4,굿
118,쿠쿠키,4.5,좋습니다좋아요좋아요
119,어린왕자,2,ㅋㅋ비싸네ㅡㅡ 퀼리티 별루
120,jsy****,5,좋아요
121,lulu,0.5,주차 발렛비 받고 골목에 주차해놈
122,샤,3,끄악 넘나비싼것~~
123,없음,5,분위기체고
124,dlg****,5,분위기체고
125,cut****,5,원두 선택할 수 있고 주차비 저렴한 편 일요일 한시반쯤 들어갔는데 3시쯤 내/외부 좌석 거의 다 찼어요 베이커리류 너무 맛있습니다 :)
126,오아이니,1.5,커피맛도 별로고 비싸요
127,nue,5,커피 꼬숩고 맛나용
128,심봤다,4,굿
129,summer2950,4,좋아요
130,정발산,3,좋아요
131,김수연,3,좋아요
132,예민,4,아인슈페너 맛있음 평일엔 북적거리지 않아서 좋았네요 2층은 리뉴얼중이라 못봤어요ㅠㅠ
133,독사개구리,5,애견 동반되서 좋아요
134,호듀듀,5,좋아요
135,ght****,5,넓고 마싯
136,뚜기,3,분위기는 좋은데 음료가 비싸고 별로..
