,USER,SCORE,REVIEW
0,체리뽀,5,넓고 너무좋네요 놀면뭐하니 촬영지 더라구요ㅋㅋ 음료는 비싸요ㅋㅋㅋ
1,지란지교,4,맛있어요
2,지란지교,5,가격은 비싸지만 맛있어요
3,일시불,0.5,피자 1시간 20분 걸려요^^ 먹지마세요. 안내도 없고 사과도 없고 퉁명스럽게 하고ㅋㅋㅋㅋ 어이없네요 절대 재방문 안함
4,xoxolining,4,케이크가 가격대가 잇네용 맛은 괜찮앗어요 내부 크고 좋아요
5,Katie,4,간만의 모임 ㅋㅋ좋네요 넓고
6,흑돼지,5,굿
7,에헤헤헤,1.5,피자 나오는데 50분 걸림... 주문할 때 미리 말이나 해주시면 좋겠네요.
8,whi****,3,"분위기 조으네요 근데 직원들이 좀 친절했으면,,,"
9,밍꾸리,3.5,가격에 비해 맛은 그다지....ㅠㅠ맛있지는 않았어요...
10,joeungi,5,매장도 너무 분위기있고 좋아요 ㅎ
11,mug****,5,애견동반 가능하다고해서 가봣어요 너무 넓고 위에는 테라스도 있고 좋네요 근사한 카페에요~~
12,윤슬,2.5,인테리어도 개성있고 그림들도 전시되어있어서 보는 재미가 잔뜩!! 크림슨유자에이드는 마트에 파는 유자청맛이 났지만 ㅋㅋㅋ 상큼해서 맛있었다 아 메리카노는 커피향 물이었고 인기있다던 아인슈페너도 밍밍... + 위에 뿌려진 쿠키는 크림이랑 같이 먹기에 맛있음 얼그레이케이크는 크림에서 향은 나 는데 퍼석한 빵으로 식감이 :( 녹차초코케이크는 따로노는맛 이었다 지극히 개인적인 입맛이지만 .... 실망... 정말 사람이 (너무)많아서 바쁘고 정...
13,hap****,4,피자반반 와인 분위기 넘 좋았어요~ 맥주가 다양했음 하는 아쉬움이 있습니다.
14,매력덩어리,5,인테리어가 독특하니 좋아요
15,러블리,4.5,가격대가 좀 있지만 분위기도 좋고 넓어요:)
16,오늘,5,매장도 예쁘고 사람이 많지않은시간에 가서인지 음식도 빨리나왔어요
17,찐찐,4.5,분위기 좋아요!
18,발자국,5,사진찍기 좋아여 칵테일 좀 더 진한 맛이었으면 좋을듯
19,발자국,4.5,사진맛집
20,she****,1.5,하와이안 피자랑 쉬림프 로제 파스타 먹었는데요. 하와이안 피자에 올라간 햄은 페퍼로니가 아닌 걍 소세지 햄이고 파인애플도 그냥 통조림 파인애플 을 댕강댕강 썰어올린 피자입니다. 좀 성의가 없어보여요. 맛은 그냥 그래요. 쉬림프 로제 파스타는 새우튀김 🍤 올라간 걍 그저그런 로제 파스타입니 다. 먹을 땐 걍 생각없이 먹었는데 먹고 나오니 뒷느낌이 찝찝... 분위기도 그냥 별로... 약간 지저분한 느낌? 맛이랑 분위기에 비해 가격이 너무 쎈...
21,hj0720kr,4,분위기 짱
22,myo****,5,최고
23,0ed,5,잘이용했습니다.
24,sur****,5,굿
25,sor****,5,굿
26,pearlbjh,5,분위기 갑!
