,USER,SCORE,REVIEW
0,475****,4.5,맛있어요
1,coq au vin,4,강남점이 더 맛있는거 같은 느낌
2,peo****,4,라떼 고소해요
3,귀각시,4,주차장을 만들어 놓고 주차는 왜 안되는건지요
4,모모,3.5,머물기 편한곳은 아니지만 커피는 맛있죠
5,묘묘묘,5,"너무 친절하고, 맛있어요!"
6,감튀,4.5,커피존맛
7,buckethat,3,친절해요
8,천칭,5,오트밀크 넣은 놀라플롯 좋아요
9,min****,3,"우선 직원분들이 엄청 친절하셨어요! 분위기도 좋았구요. 근데 맛은 제 취향이 아니였어요ㅎ 아이스 라떼(블렌드,귀리우유 추가)6,600원에 주문했는데 (뉴올리언스도 아이스라떼라는데 원두가 다른걸까요?좀 더 비싸게 마셨는데..암튼) 라떼 맛은 한마디로..맥심 화이트 맛?ㅎ 커피맛보다는 우유맛이 강 하고 뒤에 남는 텁텁함? 그런게 있었어요~믹스커피 마시면 남는ㅎㅎ 라떼가 살짝 단맛이 있어서 제 취향은 아니였네요~귀리우유때문이였을까..."
10,박민지,5,조아요
11,phk,5,굿
12,가시찔레,5,좋아요
13,juju0811,5,직원들도 친절하고 아이스크림 커피도 맛있어욤
14,슈퍼울트라맨,5,멋지다
15,xogo,2,ㅠㅠ 너무 노맛 왜 이렇게 사람들이 찾는지 이해가 안가요 미국에서도 이렇게 밍밍했너 싶을 정도로 좀 무성의한 맛..... 기대를 넘 많이 했나 ㅠ
16,초코파이,4.5,맛있어요
17,bar****,4,시원
18,자몽에이슬,5,깔끔하고 모던한 분위기
19,구름구름,5,분위기는 좋음
20,영화,4,맛있더라구요 평일이라그런지 사람도 많이없어서 좋았어요
21,515****,5,굿
22,모기,4,웨이팅이 많아요 ㅠ
23,쩨이,4.5,자리가 별로 없어 불편하지만 커피는 맛있어요🖤
24,똘똘이,5,굿
25,바실리아,4,친절하고 커피는 맛있는데 커피 수령시 트레이가 없어서 불편하네요
26,200 59,4,좋아요
27,hanrivergang,5,매장도 깔끔하고 직원분들도 다들 친절하셔서 좋아요 :)
28,나나,4.5,아이스크림이 맛있어요!!
29,visionLighting,5,좋아요
30,jyy06,4,맛있긴 하지만 양도 적은데 가격이 너무 비싸서 자주 가진 않을 것 같아요. 줄도 긴데 주문하고 음료 받는것도 15분 정도 기다려야 했어서 정말 어쩌다 한번 가게될것 같아요ㅜ
31,abc****,4,"비싸,,,"
32,지연이와함께춤을,5,쪼아요 조아조아><
33,GeeeeeKONG,5,맛도 분위기도 짱
34,426,5,굿굿굿맛나네
35,우밍무잉,5,성수 블루보틀 여전히 인기 많다
36,bbb,5,진한 라ㄸ ㅔ
37,엉아,4,"예전보다는 대기시간이 길지는 않음, 실내가 굉장히 울리고 시끄러우니 커피 안내 시 마이크를 쓰거나 암튼 무슨 조치를 취하는게 좋을거 같아요"
38,Sally,4,블루보틀 좋아요
39,에너지원,5,드디어 와봤네용
40,숨숨이,5,ㅎ
41,만두,4.5,좋아요
42,jiy****,5,처음가봤는데 설명도 하나하나 해주시고 친절하세요!!
43,아나스타시아,5,블렌드랑 콜드블루 주문했는데 산미가 센 편입니다
44,kelly,4,좋아요
45,블랙스완,4.5,분위가도 맛도 너무 좋음!! 다만 가격이... 너무 비싼거 같음... 해외 블루버틀이랑 가격이 너무 차이나는 기분..
46,gkwls1234,5,아이스크림 들어간 음료를 먹어야 합니다 !!
47,dnjsgmls,4,블루보틀 커피 맛있어요!
48,sereinms,3,.
49,마린,4,굿
50,gkdbs0717,5,친절해요
