,USER,SCORE,REVIEW
0,hohoaos77,3.5,미틴웨이팅. 30분햇습니다ㅎㅎ 맛은좋아요~~
1,newdong,5,내부 공간 너무 예뻐요!
2,나팔꽃,5,베리굿~^^
3,맹 이,5,맛있어요.
4,정혜윤,5,맺단짠조합 최고
5,룰루,5,맛있었어요
6,riiinnn,5,인생 크로플... 맛있어요 :) 직원분도 친절하세요!
7,LeeYeonJu,5,매장에서 먹고 또 하나 포장을 했습니다!
8,LeeYeonJu,5,직원분들 다 너무 친절하고요! 너무 맛있어서 나갈때 또 하나 포장했어요
9,DH,5,워낙 바쁜 매장이라 주문에 어느정도 대기는 있지만 충분히 감수할만한 독보적인 크로플 원탑
10,mis****,5,완전 맛있어용
11,dsu****,5,좋아요~~
12,Cho,3.5,구입해서 바로 먹으면 맛있어요. 플레인이 제일 맛있네요.
13,얼음,5,맛있어요
14,박정민,4,맛은 아주 좋으나 비싼감이 있어요.ㅠ
15,sjy7076,5,크림치즈가 정말 맛있어용 ❤️
16,정민,5,맛있어요~~ 바로 먹는 게 제일 맛있어요
17,화동,5,맛있어요!!!!
18,대만이,4.5,맛있어요
19,워닝,5,이때까지 먹은 크로플은 크로플이 아니었습니다.. ㅎㅎ이거먹으러 서울옴
20,난주,5,크로플중에서는 여기가 정말 찐이긴 해요 저 크기면 가격 비싼것도 아니에요 정말 맛있습니당 최고
21,JIMINGO,5,플레인+대파크림 조화는 맛 없을 수가 없어요. 마감시간 다되서 포장했는데 다음엔 매장에서 먹고 싶어요.
22,티아라,5,굿
23,Ju,4.5,크로플 맛집
24,장은지,4.5,"매장 쾌적하고 직원분도 친절해요 탬버린즈 소독제 최고,, 💗"
25,쫀,3.5,생각보다 별로
26,혜쥬르,4,그냥 와플 드세요 브라타는 그냥 .. 개비싸요
27,화쭈,3,웨이팅 너무 길어요ㅠ
28,오느을,4,너무 맛있어요! !!!!! 한팀씩만 들어와서 나가는길도 따로라서 타인과 접촉이 최소의 동선이라 좋은거같아요
29,베베요,4,#와플맛집
30,ㅡ이었던소녀,4,"매장 이용이 가능해져서 재방문했습니다. 와플은 여전히 맛있고, 커피는 산미 없어서 좋았어요. 초코 수프는 좀 더 걸쭉해도 좋을 것 같습니다."
