,USER,SCORE,REVIEW
0,LSZIN,5,맛있고 친절하세요
1,Zoozoo,4.5,ㅎㅎ
2,라임,4.5,맛있어요! 성수동 놀러와서 급하게 검색해서 갔는데 비건 맛집 찾아서 너무 좋아요!ㅎㅎ
3,예지,5,신선한 과일의 스무디 너무 맛있어요! 대기가 조금 있지만 친절하게 안내해주셔서 좋았습니다🙃 재방문 또 할께욤!
4,박테리아,5,맛있어요
5,체리봉봉,5,건강한맛이에요!
6,백,5,오랜만에 먹었는데 너무 맛있어요ㅠ
7,퐁퐁퐁,5,신선하고 맛나요!
8,팔분음표,5,좋아요 :) 여름에 건강하고 시원하게 먹기 딱입니다❤
9,kin****,5,신거 좋아하는데 퍼플보다 키위아삭이 더 시고 맛있었어요! 노슈가 초콜릿라떼도 정말 진하고 맛있습니당
10,Angelyka,4,매장 내부 깔끔하고 스무디볼 맛나요
11,예슐리,5,포장해서 먹었어요 :) 퍼플 보울 너무 맛있고 배부르네요!
12,easysun31,4.5,먹으면 춥고 배거파요... ㅠ
13,kuj,5,라즈베리치즈케이크 JMT 초코넛티 라이트 베이스 기존 것보다 가벼워져서 더 맛있어진 거 같아요! 포장도 꼼꼼히 잘해주셨어요.
14,CHEN,5,친환경 상큼한 여름의 맛 ~ !
15,cha****,4,가격은 비싸지만 맛은 좋습니다. 추천요
16,또용잉,5,맛있어요
17,Spend,5,성수동 최애 맛집입니다!
18,봉봉,5,다이어트중인데 완전 최고에요!!
19,검정치마,5,매장도 깨끗하고 넓고 보울 넘 마시쏘요
20,hye****,4.5,맛있어용
21,천재민쵸,3.5,괜찮아요
22,lau****,2.5,먹을수록 쓴 맛 나네요..
23,eeqoii,3.5,굿굿
24,wkd****,5,그린스무디가 저는 맛있어요
25,Last Vintage,5,딸기가 있었는데 산딸기로 변경 됐네요 그래도 맛나요
26,나는,5,키위아삭 정말 아이스크림 키위아삭같아요 상콤ㅅㅐ콤 역시 과일엔 오리지널 그래놀ㄹㅏ가 더 잘 어울려용!
27,치퀸,5,맛있게 냠냠 먹었엉ㅛㅇ
28,치퀸,5,맛있어용 ㅎㅎㅎ
29,하하,5,맛있어요.
30,모미리,4,맛있어요 두그릇 뚝딱..
31,제이제이,5,분위기도 좋고 맛있는 디져트가게~
32,쁘띠띠아블,5,헤이보울은 매일가도 매일 맛있어요^^
33,kimjouhyun,5,맛있어서 자주 가는 곳 입니다. 한 번은 재고소진으로 못가서 아쉬웠어요.
34,kimjouhyun,5,커피도 맛있네요^^
35,kimjouhyun,4.5,맛있어서 자주 가는 곳 입니다! 중간에 재고 소진이 안되면 너무 좋을 것 같아요!
36,네모안별,5,좋아요
37,이지수,4.5,퍼플보단 옐로우가 상큼하니 맛있어요!
38,갸갸,3.5,비싸요 너무...
39,고쁜이,3,상큼해요
40,알알아,5,딸기 맛잇어요
41,jae****,4,좋아요!
42,LSZIN,4,맛이 있습니다 건강하게 한 끼 챙길 때 추 처 언
43,Anna,5,굿:)
44,듀용잉,5,옐로우 너무 마시써요 이걸로 주문하니까 안기다려도돼서 너무 좋아요
45,파랭,2,"위에 과일이 맛있는데 적어서 아쉽고 밑에 스무디가 시고 별로 맛이 없음ㅠ 퍼플, 옐로우, 아임파인 세 개 맛 봤는데 개인적으로 맛은 별로... 비주얼은 예뻐서 친구들이랑 오기 좋음. 추억!"
46,안녕하시개,5,맛있어요!!
47,evecalm,5,o
48,lit****,4,좋아요
49,꼬꼬마,4,맛잇어요^^
50,QHwan,4.5,비쥬얼도 맛도 다 좋은데 너무 바쁘셔서 그런지 홀 정리가 다소 더딘점이 조금 아쉽습니다. 사람들이 많이 찾는 시간은 피해서 오시는 게 좋을 것 같아요
51,다크초콜렛,3,퍼플 스무디볼은 그럭저럭이구요... 집에서도 충분히 해먹을 수 있는 맛인듯 하네여~ 아메리카노는 충격적으로 별로에요 ㅠㅠ 원두가 별로인듯합니다! 분위기는 좋아요><
52,스마일,5,맛있어요 이쁘고
53,you****,5,퍼플이 맛나요 ㅋㅋ
54,옛헴,5,맛있어요 건강해지는 기분
55,해리,5,"오래기다렸지만 그래도 그만큼 맛있어요 인기가 엄청난거같아요ㅠㅠ 딸기를 이날씨에도 먹을수있음에 감사합니다 ,,, 진짜 대 존 맛 ㅠㅠㅠ 직원분들도 친절하시고 네이버로 미리 포장주문해놓고 알람울리면 가서 픽업하는 편리함 최고"
56,김말이튀김,4.5,맛있는데 퍼플하고 초코 시켰는데 초코가 확연히 양이 적더라구요 원래 그런건지 그리구 나오는데 좀 오래걸리더라구요 맛은 있습니다
57,징징징쟁쟁쟁,5,상큼한과일을 좋아하는 저한텐 딱 좋았어요! 오늘 아몬드버터도 이벤트 하고 계셔서 처음 먹어봤는데 너무 고소하고 맛있었어요!
58,졔재제쟤,4,다이어트를 위한 곳인가 아닌가 헷갈리지만 과일이 참 맛있다. 근데 배가 고픈걸보니 다이어트용일까...? 의문이 드는데 맛은 있어요ㅋㅋㅋ
