,USER,SCORE,REVIEW
0,긍정이,4.5,친절해용
1,Danny boy,3.5,분위기 좋음
2,꼬밀,5,"리뷰는 처음이지만 방문은 여러번인데, 빵이 다 맛있고 커피맛도 좋아요^.^ 그리고 친절하세요!!"
3,had****,5,조아요
4,hhj,5,빵 종류도 많고 직원 분들 친절하고 좋아요
5,ehyun,5,"바리스타분 친절하고 커피, 빵 다 맛있어요"
6,gqueen,5,음 굿
7,wngkwjd,4.5,맛나요.의자가 불편
8,Tngus49,4.5,주말에 왔는데 조금 시끄러운거말고는 좋아요~
9,cho****,5,빵종류도 많고 넓고 좋네요
10,쌀라,5,굿굿
11,나요,5,빵들이 독특해요 비교적 넓어요 사람 많아요
12,얜,4.5,맛있습니다
13,ubbinn,5,ㅡ
14,dan****,5,좋아요
15,dan****,5,맛나요
16,dan****,4.5,조아요
17,smy****,5,커피가 맛있어요ㅜ또 여기서 다들 초코칩쿠키먹어봐야한다고 생각해요
18,요롤,4.5,맛있어요
19,핑퐁,5,직원분들도 친절하고 여긴 얼그레이 들어간 건 다 맛있네요!!
20,마미샤크,5,빵맛있어요. 주차는 발렛없고 카페앞 주차공간 작게있음.
21,jiy****,4.5,맛있고 예쁜 디저트. 테이크아웃 했어요. 너무 친절하시고요. 개인적으로는.. 꼭 먹어봐야하는 그런 맛은 아니었어요. 그래도 만족해요.
22,hjh****,3.5,굿ᆢ
23,hjh****,4,굿ᆢ
24,베리,4.5,커피맛이 부드럽고 좋아요. 공간이 답답하지 않아 얘기하기도 좋아요.
25,마시쪄,3.5,에어컨이 아주빵빵해요
26,alsns21,4.5,밤파운드 맛있어요!!! 커피도 원두 고를수 있어서 좋아요
27,신나,4,"이지역에수 주차가 가능한 카페라는 장점. 내부가 넓어 옆테이블과 떨어져 앉을수 있는것도 장점, 외부 테라스도 장점! 다만 빵은 맛있지만 눈알이 커질정도의 맛은 아닙니당 전반적으로 좋았던 카페입니다"
28,박숴,5,"직원분 정말 많이 친절하셨어요! 빵 추천도 자세히 해주시고, 음료도 추천 잘 해주시고! 기분 좋게 잘 먹다 갑니다!"
29,시그노쓰레기,5,친절 좌석은 조금 불편
30,how****,5,직원분들이 넘 친절쓰 시람 많지만 예쁘고 빵도 맛남
31,영어아지트,5,맛있어용ㅎㅎ
32,양인지,5,여기 밀크티 존맛탱 찐밀크티
33,hot****,4.5,빵도 맛있고 밖ㅇㅔ 좌석 좋아용
34,쭈,4,좋아요
35,경서,5,감사합니다 감사합니다
36,Ellen,4,얼그레이 쿠키 맛이 신기했다...
37,820****,2.5,"시멘트 냄새인지 뭔지, 가게 안에서 이상한 쿰쿰한 냄새가 나요 ㅠ 음료는 달달하니 맛있고 빵은 그냥 그래요. 조금 맛없는 편... 그리고 오후 8시 지나면 🥐빵 20프로 타임세일🥐 한대요. 7:55에 결제해서 8시에 음식 받았는데ㅋㅋ 주문받는 분이 그런 걸 미리 말해주면 좋을텐데 센스가 부족하네요. 재방문 의사 없음. 😞"
38,DD,5,분위기도 좋고 좌석 간격이 널직해서 이용하기 좋네요.
39,부리부리,5,좋아요
40,레아,5,2층은 무척 조용한데 1층은 시끌벅적했어요ㅎㅎ 일찍가면 빵 종류도 많아서 좋네요. 의자는 조금 딱딱하지만.. 음료 종류도 많아서 또 방문할 것 같아요
41,칵투스,5,빵 진짜 너무 맛있어
42,das****,4,분위기가 좋아요
43,박채리,4.5,넓고 맛있음
44,ejs****,5,스콘맛잇고 직원친절해요
45,ssosso,4,빵이 맛있어요 멜로디 스무디는 우유맛나고 달아요
46,볼거리,5,최애카페ㅠㅠ
47,해피필름,4.5,커피 맛있고 분위기 좋은 카페 예요 직원분들도 다들 친절하세요
48,동작구민,3,분위기 값인가...?2층 앉으면 좋겠더라고요.맛은 그냥 그랬어요
49,옥이,4,커피가 너무 맛잇어요
50,호잇호잇,5,굿
51,eun****,5,최고예요
52,akdhkdtjd,5,정말 맛있어요
53,탁,5,진짜 친절하시구 너무 맛있고 공간도 참 좋아요!!!
54,이적,5,"분위기 좋은 고층의 카페, 추천합니다."
55,여름눈,4,빵이 맛있어요
56,으스으,2.5,캬라멜 플랫 화이트 그냥 그랬어요...
57,벨라,5,분위기 좋고 커피맛좋아요
58,오이,4,직원들은 친절하나 커피 맛은 평범
59,Shovone,5,맛있어요!
60,쿄쿄,5,굿
61,asd****,2,감각적인 인테리어와 따뜻한 색감의 브랜딩이 돋보이지만 시그니처 두 가지를 포함한 네 종류의 음료와 두 종의 디저트 모두 만족스럽지않았습니다. 밀크티는 너무 연하고 시그니처는 추출한 커피의 맛을 돋보이지 못하게 만들 정도로 독특한 단 맛이 감돌아 아쉬웠습니다. 직원분들이 정말 친절하셔서 기분이 좋아지는 곳이었습니다.
62,둥둥,4.5,맛있어요ㅜㅜㅠ 스콘류 꼭 드세요
63,박창균,4,굿
64,스마일,3.5,역시나 사람이 많고 북적거리네요. 커피는 넘 연했어요~ 뷰도 soso. 직원분들은 매우 친절했습니다.
65,dajin,2.5,테라스보단 1층이 나은곳 맛은 쏘쏘~
66,BenKa,5,산미 있는 원두 먹었는데 너무 강하지 않고 향긋하고 맛있어요! 베이커리도 퀸아망이랑 카야버터라우겐 먹었는데 둘다 괜찮았어요 첫번째 방문때 좋아서 재방문 했는데 담에도 또 올 것같아요☺
67,kim****,5,일단 직원분들 모두가 정말정말정말 친절하세요! 그리고 아메리카노 원두도 산미 있는 원두랑 고소한 원두 중에 고를 수 있고 고소한 원두만 마셔봤는데 맛있어요! 치아바타랑 퀸 아망도 같이 먹었는데 커피랑 잘 어울려요!!!!
