,USER,SCORE,REVIEW
0,귀각시,4.5,장소가 좀 좁고 간판이 작은게 흠이에요
1,귀각시,3.5,조금 좁구 입구 찾기가 ㅋㅋ 가정집을 개조햇네요 조아요
2,키키홍지,4,내부가 살짝 좁네요 외부는 이제 더워서 힘들고 디저트는 달지 않아 좋네요
3,Lia,4,우유빙수 맛 괜찮아요 케이크는 뭔가 옛날 같은맛은 아니였어요ㅜㅜ
4,찐찐지니아,4.5,굿
5,우쭈쭈쭈쭈쭈쭈,3,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
6,솔라시도,3,케익은 맛있는 편이에요~! 내부 테이블이랑 의자 높낮이가 안맞아서 불편해요
7,지니비,3,전반적으로 다 느끼했어요. 백설기케익도 크림이 느끼하고 다쿠아즈도 그냥 그랬어요… 매장 안 취식 1시간이라는 얘기 주문하기 전에 해주셨으면 좋겠어요. 음식 나오고 나서야 들으니 이러지도 저러지도 못했네요
8,손주연,4.5,쌀케잌 맛은 물론이고 이쁘기까지 합니다
9,최지수,5,정말 좋아요~
10,fortou,0.5,"매우 불친절..매장이용중에 밖에 나갔다 들어 갔는데 전화콜을 또 하라고하네요??직원분 논리 대로라면 밖에 테라스 이용하는 고객은 매번 콜하고 들어가야하는건가요??무슨 억지 인가요??? 직원왈: 밖에 나갔다 들어오시면 매번 찍어야되는걸로 알고 있습니다. / 다먹은 쟁반 어디 두면 될까요 물어보니깐, 대꾸도 없는 직원분, 두번째 물어보니 대꾸도 없이, 턱으로 저기 놓으라고 가르키 시네요?????????????진짜 어처구니가 없네요^^직원분들 기본적 매너를 가르쳐 주시길 바랍니다."
11,엔돌핀,3,가격이 너무 비싸요 맛은 보통
12,다미지니,5,쌀케이크 단연 1위 ㅠㅠ
13,혜안이,5,Good
14,gum****,4,좋아요
15,빵띠쉐미,2.5,귯
16,김도희,5,서울숲 데이트하며 들렀던 카페❤ 유명한 이유가 있음ㅎㅎ 대기가 많은편!
17,밥하기싫은주부,4,케이크만 테이크아웃해보다가 처음으로 안에서 먹어봤네요 ㅎㅎ 딸기다쿠이주는 넘 달았다능 😿그래도 밀가루 아니라니... ㅎㅎ 전 다쿠아즈보단 쌀케이크-!!!! 디카페인 음료 있는것두 좋아요#소소하게
18,ham****,5,디카페인 커피까지 맛나요!!
19,sunny,4.5,맛나요
20,은체이,4.5,"오랜만에 방문했는데 백설기,쑥절미 진짜 취저취저! 이용시간이 1시간 제한이라서 더 머물다 오고 싶었는데 아쉽게 나왔어용 •᷄⌓•᷅ 그래도 쫀쫀맛이라 할매입맛이라면 꼭 가봐야할 곳!"
21,몽글,3,취향 차이인지는 모르겠지만 케이크 시트가 제 취향은 아니었어요 ㅜㅜ 티라미수 종류는 더 맛있을 거 같아요 그래도 가게 분위기랑 같은 건 좋았습니다
22,soo****,5,살짝 얼려서 먹으니 넘 맛나요!
23,han****,5,케익이 달지않고 맛있어요
24,Ronnie,5,분위기가 참 좋아요!
25,쥰,4,가격이 좀 비싼편/웨이팅 있음/쌀케이크라 퍼석퍼석한 식감이다
26,Dall,5,카페 내부도 예쁘고 완전 맛있어요ㅔ
27,임건희,3.5,맛있어요! 근데 케이크 고정이 안 되어있어서 조심해서 옮겨야함
28,worud5128,4.5,흑임자마들렌짱좋아요👍
29,유스티나,5,빵 맛있어욤
30,보솜,4,부담없고 맛있는 케이크! 재방문하는데 데려온 친구들도 만족해해서 더 기분 좋네요.
31,퐁퐁,5,자주 가요😊
32,륜이,4.5,쌀케익 엄청부드러워요
33,도여니,5,너무 좋아요~
34,옹옹,5,쌀케이크 정말 부드럽고 너무 달지 않고 정말 맛있어요 최고👍🏻 인테리어도 예쁘고 또 가고 싶은 카페네요 ❤️ 하지만 사람들이 많이 찾는 핫플레이스라 그런지 웨이팅이 있기도 하답니다ㅠ 참고하셔요
35,가오나시,5,쌀케이크라 그런지 식감이 포슬포슬했어요 새콤새콤 맛있어요 쌀라떼는 따뜻하게 먹었는데 엄청 고소하고 달달해요 안쪽에 공간이 두개 있는데 한곳은 의자랑 테이블이랑 높이가 똑같아서 거의 엎드려서 먹어야함..
36,iwe****,5,굿
37,hznp,5,좋어요
38,kyu****,5,생일초를 다양하게파네요
39,횬디,5,마시써마시써!!!!!!!
40,JJINI,5,좋아요
41,김중,5,서울에서 제일 좋아하는 케잌집. 먹고 속이 정말 편안. 1시간 제한있어서 아쉽ㅠㅠ 모시티는 좀 많이비쌈 6.8
42,코코샤샤,4,글씨체 연습 좀 하셔야될거 같아요..깍지도 너무 두꺼워요
43,마시던우유,4,인스타로만 계속보았던 소소하게 정말가보고싶었던곳 시그니처두세여 쑥절미도 맛있어야 매장에서는 한시간시간제한잇어여
44,아름,5,쌀케이크가 굉장히 부드러워요!
45,분당여왕개미,4,굿
46,Dr Kim,0.5,가격은 비싼데 CS는 저가형 카페만 못한 아이러니. 모든직원으로부터 강하게 풍기는 손님귀한줄 모르는 가게이미지
47,usoo,4,맛잇어용
48,애몽,4,맛있고 분위기도 좋아용
49,ooo,4,맛있어용!!
50,hmj****,1.5,후기글에 비해 기대했던만큼의 맛은아니었어요. 그냥...그래요..
51,Cherryade,4,"쌀가루 및 비건 등의 디저트들 많이 먹어봤는데 '소소하게' 케익 적당히 달고 쌀케익 특유의 ""부스럼"" 없이 아주 맛있게 잘 먹었어요~ 생크림도 안느끼하고 '콩설기' 특히 디저트류 안좋아하는 남자친구가 맛있다며 잘 먹더라고요. 제품들은 좋은데 너무 바뻐서인지 직원들 안내가 미흡하고 정신없어서 뭐가 뭔지 몰라서 한참 머뭇거리다가 모든게 품절되기 전에 간신히 주문 했네요...핸드폰으로 대기 넣는건 자리 대기 이고 바로 음식을 미리 결제 해놓을 수 있다고 알려주셨으면 좋았을텐데 자리나야지만 주문 가능한줄 알고 계속 기다리고...테이크아웃 하는 사람들은 바로 구매 하다보니 자리 대기해놔도 음식 품절되면 그냥 자리에 앉아만 있다가 가라는건지...이런 미숙한 시스템때문에 별 한개 뺐어요. 다음 방문에는 개선되어있길~"
