,USER,SCORE,REVIEW
0,happy퀸,5,좋아요
1,jiyea1234,5,좋아요:)
2,gamja73kr,5,말해 뭐하나요^^
3,숨쉬다,5,넓고 쾌적하고 시원하고 좋아요 공부하시는 분들이 많아 자리가없네요ㅜ
4,루루,4,굿
5,진,5,좋아요
6,뿌잉아잉123,5,매장 넓고 케이크종류 다양하고 맛있어요
7,pearl,5,좋아요
8,pearl,5,좋아요
9,dlc****,4.5,맛있어요!!
10,Keng,4,사람 짱 많다..☆
11,정슬기,5,9시 넘어서도 사람이 많았어요! 직원들도 친절하십니다
12,adorable18,4,굳
13,남이,4,좋아요
14,one****,5,좋아요
15,hoon0523,4,굿
16,Moca,5,조용하게 마시기 좋습니다.
17,spo****,5,좋아요
18,하늘이 엄마,4.5,사람이 많은거 빼고 좋아요 좋아하는 케이크 갈때마다 있어서 좋습니다 ㅎ
19,hye****,4,친절합니다
20,alghk0410,5,푸딩맛나요 보들보들
21,alghk0410,5,넓고 쾌적해요 직원분들 짱 친덜해서 기분좋네요 케잌도 맛나고 커피맛도 좋아요
22,첼리나,5,맛있어요~
23,jis****,3.5,첫 방문 굿 짱짱
24,벰베로베라,4.5,저저녁엔사람도마니없고한가해서 좋았습니다
25,ys0820,4,주문이 밀리는거 말고는 좋아요
26,red****,3.5,좋아뇨
27,앨시타,5,아침마다 들르는데 항상 친절하고 좋아요
28,jsm****,4,좋아요
29,힌,4,"생각보다 넓었고, 생각보다 사람은 더 많았음; 음료를 거의 10분 기다림... 그래도 직원들은 친절했습니다."
30,bil****,5,감사합니다
31,축복만이,5,좋아요
32,루비,5,좋아요
33,9052,5,직원들이 친절하고 까다롭지 않아서 마음이 편하네요
34,지코바바바,5,조아여
35,마띠에르,5,말해무엇
36,베리이이,5,친절해요~
37,루카엔,4,분위기 좋아요
38,쏭쏭,5,친절해요
39,yahoopjh,4,좋아여~~
40,완소림,5,뇸뇸뇸
41,pearl,5,좋아요
42,두형,3,쏘쏘
43,윤지,5,마싯러요
44,요롤로로,5,굿
45,jj,4,좋아요
46,하이,4,회사 단지에 스벅 한곳이라 평일에 사람 진짜 많아요~~
47,호돌킴,5,친절해요
48,lov****,5,친절!!^^
49,kev****,5,좋아요
50,hjw2v2,5,굳
51,SongYi,4,좋아요
52,yahoopjh,3.5,크랜베리 치즈 샌드위치 맛있어용!ㅎㅎ
53,pearl,5,좋아요
54,없음,4,좋아요
55,마띠에르,5,카드가 예쁜게 없음
56,또코,3,좋아요
57,펭수좋아,5,달달하게 친절하심
58,yahoopjh,4,"딸기크림카스텔라, 바나나타르트 맛있어요~!"
59,심지,5,자주 이용하는 곳입니다
60,Haaaaaappy,5,친절하고 좋았어요~
61,박쮜,5,좋아요
62,곰,2.5,너무 시끄럽고 화장실 상태 최악.......
63,방울,4,다른지점에비해 마감이 나무빠름 ㅜㅜ 8시마감이더라구요...
64,로모,5,맛있어요
65,핀사랑,5,커피는 역시~ 스벅
66,nodiet,5,친절해용
67,남이,4,좋아요☺️
68,4987538,5,깔끔하고 좋아요 맛있어요 :)
69,붉은콩,5,좋아요
70,양인지,4.5,포레스트 콜드부루 마ㅅ닜옹
71,프로필수정선생님,5,친절해요
72,남이,4,좋아요
73,Nahyun301,5,넓어서좋아요
74,lol803lol,3.5,사람 많음
