,USER,SCORE,REVIEW
0,hye****,5,맛있어요
1,리얼리스트,5,너티클라우드 코르타도 굿
2,최뽀,4,조금 비싼거빼고 다 좋아요 맛있어요
3,하늘고래,5,👍👍👍👍
4,ver****,4,아주 맛있었어요
5,트위니,5,좋아요
6,laveru,4.5,너티클라우드 진짜 너무너무 맛있어요!!
7,쭈야,5,너티클라우드 👍🏻👍🏻
8,jibang C,4,너티클라우드 대박
9,ill****,5,맛있었어요!!
10,꼬마야,4.5,👍
11,wbwb11111,5,분위기 좋아요
12,하늘고래,5,맛나용ㅎ
13,hus****,5,너티클라우드로 당충전 좋아요~
14,김뽀,5,너티클라우드 넘 맛나용 ㅎ
15,Jennie,5,좋아요
16,200****,0.5,분위기 좋아요
17,핫초코,4.5,정말 너무 불친절하세요....ㅜㅜ.. 커피는 맛있는데 베이커리는 맛이 없어용 ㅜㅜ
18,퓨어,5,"음료도 맛있고, 친절하고 좋네요."
19,달려라 코알라,4.5,너티클라우드 너무 맛있어요
20,러블리,5,좋아요
21,이지안,5,맛있어여
22,블루,3,"맛있고,분위기도 최고에요."
23,dmg****,5,항상 맛있습니다
24,yunyekb9496,4.5,가격이 좀 비싸긴 하지만 넓어서 좋넹ㅛ
25,쥴리,5,좋아요
26,찐빵2,5,좋다
27,Yoon,4,항상 맛있는 커픠>ㅗ<
28,신tractive,5,맛있어요!
29,정대만,5,사이즈는 스벅 톨사이즈 보다 작아요! 엄청 작고 땅콩 크림맛이 많이나는데 제가 땅콩을 안좋아하나봐요 ㅠㅠ 입이 살짝 텁텁해지고 비리다고 해야하 나 약간 그런 느낌.... 아무튼 독특한 맛이었습니다! 한번은 먹어볼만한!!! 주차는 건물 지하 주차장 이용하시면 되고 평일은 지원 안하고 30분 무료주차 입니다~ 참고 하셔용
30,냐하,5,"제주매장에서 기억이 너무 좋아서 성수매장을 찾았는데 매장이 너무 협소해서 실망,, 하지만 너티클라우드맛은 여전해요!!"
31,굴이,4,너티클라우드 너무 맛있어요!!! 땅콩이 베이스여서 걱정했는데 한입맛보고 괜한 걱정이라는 했다는 생각이 들만큼 너무 맛있었습니다 P.s 피넛까눌레 까지 완벽
32,유명한 셋째딸,4,너티클라우드 못잊어
33,eee,5,분위기도 좋고 커피맛도 괜찮아요
34,와이제이,3,커피가 진해요 베이커리가 기대 이상이에요
35,노랑이언니,5,좋아요
36,할일이너무많다아,5,분위기 좋은곳~
37,신다르크,4,너티클라우드 유명하다해서 먹어본건데 너무느끼하고 크림많고 제입맛에는 별로네염ㅠ
38,nnin,5,클라우디 최고
39,yooon,4.5,굿
40,mon****,5,바스크치즈케이크는 생각보다 .. 많이 작았습니다 하핫..ㅠㅠ
41,che****,5,커피 한잔하기 좋아요~^^
42,우주,4.5,맛있어요
43,초록,4.5,제주도에서 마시고 맛있어서 자주 와요
44,Arin,4,피넛맛의 너티클라우드. 캐그는 너무 귀엽네요
45,TheWorldBest,5,맛있어요!
46,LOVE,5,너티클라우드 너무 기대해서 그런지 막 존맛까진 아니었어요. 한번쯤은 먹어봄직하지만 두번 먹고싶어지는 맛은 아니네요.
47,하늘고래,5,음악이 너무 씨끄루운것만 빼면 완벽♥︎
48,flake7,4,장소는 너무너무 예쁜데 커피는 글쎄용... 근데 날씨 좋을 때 야외에 앉아있기엔 좋았어요
49,wnw****,5,굿
50,감사,5,커피 맛 좋으네요~직원분도 친절👍🏻👍🏻👍🏻
51,쌀국수좋아,5,맛있어요~
52,민승손,4,쇼핑하다가 우연히 들렸는데 얼그레이 맛있어요.
53,샤인,4,굿
54,귀요미,4,생각보다 너티 클라우드는 달지 않고 진했어요
55,kar0486,4,좋아요
56,이누야샤,5,소문대로 라떼 맛있었어요 ! 성수가면 또 가고싶은 곳 !!
57,yogy,5,굿이에요~~
58,han****,4,굿
59,Sophia,4,좋네요ㅎㅎ
60,댕댕two,4.5,제주도 도렐을 그리워하며 너티클라우드 마시러~
