,INDEX,USER,SCORE,REVIEW,SENT_SCORE,SIGN,POS/NEG,,
0,1184,seoseo,4,"가격,이,비싸,다고,생각,할,수,있,지만,크기,가,커요,플레인,이,제일,맛있,어요,콘,은,옥수수,맛,이,너무,세,서,아쉽,네요",0,0,0,T,0.825855513
1,2593,짜장조아해,3,"그냥,무난,해요,백설기,케이크,가,많이,느끼,했어요",-3,-1,-1,T,
2,5128,wt,4,"빵,맛집",1,1,1,T,
3,472,언덕위에 태양,5,"잠봉,뵈,르,치즈,치아,바타,에,중독,됐,어요,짱짱",2,1,1,T,
4,8008,리스,5,"테이크아웃,할인,되,고,좋,네요,사진,엔,없,지만,바닐라,라테,맛있,었,어요,적당히,달,았,고,예쁜,라테,아트,도,감사,합니다",5,1,1,T,
5,7196,민,4,"엄청,크,네요",0,0,1,F,
6,2862,박숴,4,"유자,민트,티,그냥,유자차,에,요,근데,많이,많이,다,네요",-1,-1,-1,T,
7,6872,김동글,4,"맛있,어요",1,1,1,T,
8,3484,bbo****,5,"자몽,허니,블랙,티,를,넘,나,맛있,게,말,아,주,셔요,테이블,위치,들,도,너무,좋,고,안정,감,이,들,어서,너무,좋,아요,여기,성수,올,때,마다,자주,와요",3,1,1,T,
9,5846,mum****,3,"좀,비싸,네요",-1,-1,-1,T,
10,6181,wkdgpwjd,4.5,"너무,맛있,어요",1,1,1,T,
11,8199,성장하는 요가강사,3.5,"만족,합니다",1,1,1,T,
12,6300,christina,5,"회사,근처,커피숍,이,에요,콜드,브루,콜드,브루,라떼,너무,맛있,어요,성수동,카페,많이,돌아다녔,지만,훔볼트,가,최고,예요",2,1,1,T,
13,7862,rla1798,0.5,"양,이,적,고,비싼,데,특별,한,맛,은,아니,고,특이,한,맛,말차,브라우니,는,정말,먹,기,힘들,었,음,그리고,사람,이,많,아서,자리,가,지저분,하,고,찐득,거림",-4,-1,-1,T,
14,8496,April,5,"그냥,이쁘,다",0,0,1,F,
15,6682,mika,5,"넓,고,분위기,도,좋,네요",2,1,1,T,
16,4975,종혁이 아빠,5,"공사,중,이,었,다는,2,층",0,0,0,T,
17,623,sk1****,3,"맛있,어요",1,1,1,T,
18,1131,영이,5,"맛있,어요",1,1,1,T,
19,7974,ehyun,5,"마카롱,도,맛있,고,음료,도,맛있,어요",2,1,1,T,
20,3942,kjj5467,5,"커피,너무,맛있,어",1,1,1,T,
21,4094,찐블리,4,"더치커피,디카페인,바닐라,빈,라테,역시,더치커피,인가,싶,었,지만,너무,가벼운,커피,맛,이,라,아쉬웠,어요",0,0,-1,F,
22,7212,hui****,5,"카페,도,크,고,이쁘,고,수박,주스,맛있,습니다,시럽,으로,만,맛,을,낸,수박,주스,들,과,는,달라요",1,1,1,T,
23,3761,breezebomb,4,"편안,한,공간,도,를",1,1,1,T,
24,2515,znzl,5,"케이크,너무,맛있,는,집",1,1,1,T,
25,1748,서혜강,5,"이번,에,는,핑크,볼,먹,었,어요,오늘,도,역시,나,너무,맛있,어서,두세,개,씩,사,서,가,고,싶,은데,한,번,에,다,먹,질,못해서,아쉽,네요,다음,에,또,가,서,이번,엔,신,메뉴,나올,거,먹,을게요,오늘,도,건강,하,게,잘,먹,었,습니다",2,1,1,T,
26,7009,jub****,3.5,"청포,도,주스,아메리카노,바닐라,라테,잘,마셨,습니다",1,1,1,T,
27,6803,ble****,3.5,"분위기,괜찮,고,공간,도,넓,고,음식,맛,은,있,는데,가격,대비,양,이,아쉬움",-1,-1,1,F,
28,7033,레이나,3.5,"넓,고,자리,도,많,고,마당,도,있,고,굿,어,가격,은,사악,해서,별,뺌",2,1,0,F,
29,1773,가든,5,"건강,한,달짝지근,을,찾,는다면,강력,추천",3,1,1,T,
30,907,mo3011,5,"항상,맛있,어요",1,1,1,T,
31,246,난냐뉴라,5,"모든,것,이,완벽,한,더,이상,말,이,필요,없,는,카페,네요",0,0,1,F,
32,6249,인철맘80,5,"분위기,좋,아요",1,1,1,T,
33,333,Sewon,4,"귀여워,요",1,1,1,T,
34,7233,JW,5,"좋,아요",1,1,1,T,
35,51,난냐뉴라,5,"항상,오,고,싶,은,카페,에,요,제,인생,카페,라고,나,할까요,오늘,은,아메리카노,와,쿠키",1,1,1,T,
36,1790,fgfdgrgr,4.5,"마치,발리,에,온,듯,한,인테리어,건강,하,게,먹,고,싶,은,날,먹,기,딱,좋,아요",1,1,1,T,
37,2871,602,3.5,"가까워서,좋,아요",2,1,1,T,
38,3323,csl****,5,"스타,벅스,좋,아요",1,1,1,T,
39,7430,vin****,5,"좋,아요",1,1,1,T,
40,6200,윤세희,4,"자주,가요",0,0,1,F,
41,4139,jj4750,4,굿,1,1,1,T,
42,3865,M군,3,"비싸,요,자리,도,좁,고",-1,-1,-1,T,
43,4249,동글,5,"먹,어,볼게요",0,0,0,T,
44,1325,Ren,5,굿,1,1,1,T,
45,2441,MMM_J,4,"처음,가,봤,는데,백설기,맛,맛있,어요,다른,맛,도,먹,어,보,고,품",1,1,1,T,
46,409,dodozzaru,5,"마치,그곳,만,유럽,의,어느,마을,골목,에,있,는,빵집,같,았,어요,예쁘,고,게,다,너무,맛있,더라고요,어제,사온,잠봉,을,반,으로,나눠,아침,점심,즐겁,게,해결,하,고,깜,빠,뉴,는,잘라서,냉동,보관,했,어요,며칠,아침,든든,하,겠,다,했,는데,거의,다,먹,어,가요,집,가까이,에,이리,도,좋,은,빵집,이,생겨,진짜,신,나요,오래오래,해,주,세요",3,1,1,T,
47,1182,kcjj1119,4,"맛,은,있,는데,많이,달,아서,많이,못,먹,겠,어요",0,0,0,T,
48,4559,sangwon0924,5,"초코,스콘,맛있,어요",1,1,1,T,
49,3878,rhtnwls,3.5,"빵,종류,많,아요,커피,는,약간,산미,가,있,어요",0,0,1,F,
50,2604,Lks,3,"가격,대비,맛,은,소소",0,0,-1,F,
51,5519,빙봉,4,"좋,아요",1,1,1,T,
52,6317,xndudaka,4,"인테리어,가,좋,고,커피,맛,도,좋,아요",2,1,1,T,
53,1219,숲햄,5,"크로,플,너무,맛있,어요",1,1,1,T,
54,1651,남탱,5,"항상,너무,맛있,게,만들,어,주,셔서,감사,합니다,건강,한,한,끼,로,정말,좋,아요",4,1,1,T,
55,505,제리,4.5,"빵,진짜,맛있,어요,다음,에,또,방문,해서,구매,해야,겠,어요,특히,올리브,치,아바타,정말,취향,저격,입니다",2,1,1,T,
56,7013,소연,5,"인테리어,가,특이,하,고,좋,아요",0,0,1,F,
57,483,SJ,5,"잠봉,뵈,르,맛있,어요",1,1,1,T,
58,7230,소달달,4,"넓,은데,사람,이,너무,많,아요,캬,음료,는,의외로,맛있,었,어요",3,1,1,T,
59,3164,진진,4.5,"쾌적,하,고,좋,아요",2,1,1,T,
60,8063,mk1024,2,"그냥,그래요",-1,-1,-1,T,
61,6794,friendship,4,"특별,한,맛,은,아닌데,분위기,나,야외,테라스,가,굿",1,1,1,T,
62,3696,ohj****,5,"너무,맛있,고,좋,아요",2,1,1,T,
63,7571,난나,5,"차,가격,이,비싼,편",-1,-1,-1,T,
64,6468,spring8620,5,"그림,이,좋,았,어요,그림,감상,하,며,커피,마시,니,엄청난,문화,생활,하,는,것,같,아요",2,1,1,T,
65,6974,Loopydoopy,3.5,"케이크,를,사,면,앉,을,수,있,고,커피,만,사,면,앉,지,못하,는,애매모호,한,가이드라인,이,아쉬웠,습니다",-3,-1,-1,T,
66,5813,cho****,3.5,"만족,스럽,습니다",1,1,1,T,
67,2463,디노,4.5,"가격,은,비싸,지만,케이크,가,촉촉,하,고,맛있,었,어요",1,1,0,F,
68,5784,바람개비,5,"서울숲,산책,하,고,반려,견이,랑,쉬,어,가,며,티타임,하,기,에,너무,좋,아요,시그,니,처,메뉴인,솔티,드,카라멜,라떼,쑥,라테,다,맛있,어서,얼음,줄이,고,음료,가,더,많,거나,대용량,이,면,좋,겠,다,싶,어요,퍼,푸치노,는,항상,맛있,게,먹,느라,반,이상,흘려서,미리,냅킨,깔,고,먹였,네요",4,1,1,T,
69,173,mpt****,5,"성수동,가,면,들리,게,되,는,곳",0,0,1,F,
70,2907,yexwna,3.5,"좋,아요",1,1,1,T,
71,1174,sk1****,4,"좋,아요",1,1,1,T,
72,1821,how****,5,"직원,분,들,이,너무,친절,쓰,사람,많,지만,예쁘,고,빵,도,맛남",4,1,1,T,
73,6781,happy2090,4,"크,고,좋,아요,성수,카페,중,에,젤,좋,네요",2,1,1,T,
74,7938,졔졔,0.5,"시그,니,처,맞,나요,놀랍,네요,정말,한,방울,도,안,먹,고,싶,은,맛,7000,원,이,라니",-1,-1,-1,T,
75,2601,Obed Edom,4,"앙,버터,다쿠아즈,3500,원,밀가루,가,들어가,있,지,않,은,소소,하,게,다쿠아즈,시리즈,중,에서,앙,버터,를,픽업,해,왔,어요,매장,내,에,하나,씩,포장,되,어,있,어서,귀엽,기,도,하,네요,맛,은,만족,할,만,한,거,같,아요,다음,에,는,다른,거,하나,사,서,먹,어,봐야,되,겠,어요",1,1,1,T,
76,6892,비드,5,"테라스,도,있,고,공간,은,넓,어서,좋,아요,커피,맛,은,쏘쏘",1,1,0,F,
77,7114,dodensorh,4,"실내,에,있,기,불안,한데,야외,에,앉,아,있,으니,날씨,도,선선,하,고,좋,습니다,전반,적,으로,가격,은,조금,있,어요",1,1,1,T,
78,6588,115****,5,"너무,예쁘,고,넓,어요",2,1,1,T,
79,3246,pearl,5,"블랙,와플,칩,프,라프,치노,맛있,어요",1,1,1,T,
80,2248,sunny,4.5,"맛나,요",1,1,1,T,
81,3511,che****,5,"맛있,어요",1,1,1,T,
82,5591,jeje1116,5,"케이크,맛집,입니다,자주,이용,합니다",1,1,1,T,
83,6490,ddang ddang,5,굿,1,1,1,T,
84,6657,우주,4,"좋,아요",1,1,1,T,
85,6473,eva****,3.5,"비싸,요",-1,-1,-1,T,
86,7585,drucker,3.5,"차분,하,고,세련,된,카페",0,0,1,F,
87,8054,슝슝,3,"Industrial,한,디자인,의,공간,빵,종류,가,다양,한데,맛,은,그저,그래요",0,0,-1,F,
88,3639,you****,4,굿,1,1,1,T,
89,8433,Claire Lee,3.5,"커피,맛있,네요,그런데,가격,이,비싸,네요",0,0,0,T,
90,4003,슈슈,3.5,굿,1,1,1,T,
91,5405,gari,4,"팡도르,맛있,어요",1,1,1,T,
92,710,토마토,4,"맛,은,있,는,데,비싸,요",-1,-1,0,F,
93,4605,뀨뀨,4,"카페,사,예쁘,고,넓,고,좋,아요,케이크,도,맛있,는데,커피,는,보통,이,었,어요",3,1,1,T,
94,2720,4987538,5,"깔끔,하,고,좋,아요,맛있,어요",3,1,1,T,
95,4847,성수동김여인,4.5,굿,1,1,1,T,
96,5577,혜오니,5,"친절,하,고,투썸,케이크,는,최고,예요",2,1,1,T,
97,4732,그대의곁에서,5,"빵,맛있,고,커피,도,맛있,어요",2,1,1,T,
98,6534,두나세나,3.5,"짱,좋,다,맛",2,1,1,T,
99,1756,토미,5,"재료,도,너무,신선,하,고,맛있,어요,그래,놀라,가,진짜,고소,했,습니다,정말,맛있,었,어요,다른,맛,도,먹,어,보,고,싶,어요",5,1,1,T,
100,6523,lejeyes,5,"분위기,랑,음식,이,맛있,어요,단,가격,이,비싸,요",0,0,0,T,
101,2149,82j****,5,"맛있,어요",1,1,1,T,
102,6932,스니,5,"공간,은,예쁜데,카페,와,디저트,는,맛,딱히",1,1,-1,F,
103,5621,봄봄,3,"매장,깔끔,테이블,간격,도,굿",2,1,1,T,
104,8384,ilo****,5,"커피,맛있,고,친절,해요,분위기,도,좋,아요",3,1,1,T,
105,5790,바람개비,4.5,"반려,견이,랑,함께,하,기,좋,은,곳,이,에요,플랫,화이트,솔티,드,카라멜,라떼,둘,다,정말,맛있,었,어요,반려,견,용,퍼,푸치노,도,구입,했,는데,엄청,잘,먹,네요,직원,분,들,이,다,친절,해서,반려,견이,랑,맘,편히,방문,했,네요",6,1,1,T,
106,6274,야호,5,"미니,팡도르,화이트,롱,블랙,지하,1,층,2,층,홀,이,넓,음,베이커리,캐비닛,에,보관,위생,적,화장실,완전,쾌,적,성수,에서,볼,수,없,는,급,베이커리,가,맛있,고,자리,도,많,고,편해요",4,1,1,T,
107,5898,김지수,4.5,"청포,도,주스,아주,맛있,네요",1,1,1,T,
108,2269,JJINI,5,"좋,아요",1,1,1,T,
109,8168,SONMINN,4.5,"거의,모든,메뉴,가,괜찮,아요,제빵,보다,제과,쪽,이,더,맛있,고,슈,아,이브,에서,하,는,거,라,마카롱,도,맛있,고,종류,도,많,아요,케이크,도,꽤,많,습니다,다만,케이크,와,빵,이,다,오픈,되,어,있,어서,아쉬워,요",2,1,1,T,
110,5038,so,4,귯,0,0,1,F,
111,5639,rosa,4,"쾌적,하,고,좋,아요",2,1,1,T,
112,1766,콩선생,5,"너무너무,맛나,서,매일,먹,고,싶,어요",1,1,1,T,
113,8047,bom****,5,"만족,해요",1,1,1,T,
114,5530,dse****,3,"넓,습니다,캡슐,머신,캡슐,파,는,점,이,별로,없,던데,여긴,파,네요",0,0,1,F,
115,5719,바람개비,5,"반려,견이,퍼프,치노,를,좋,아,한다는,핑계,로,출근,전,에,들리,네요,퍼프,치노,아메리카노,그리고,직원,분,들,친절,까지,참,좋,아요",3,1,1,T,
116,2135,하루,5,"사장,님,친절,하,시,고,음료,도,맛있,어요,아포가토,아이스크림,엄청,진해,요",3,1,1,T,
117,7281,곰탱구리,5,"분위기,좋,으나,사람,이,많,아,1,층,보단,2,층,이,좋,네요",3,1,1,T,
118,6297,흐헹헹,4,"커피,도,케이크,도,괜찮,은데,테이블,이,낮,아서,불편",-2,-1,0,F,
119,8716,재미,4,"음료,값,이,비싸,지만,분위기,는,좋,아요",0,0,0,T,
120,1288,안녕하시개,5,"맛있,어요",1,1,1,T,
121,361,maplaceysl,3.5,"서비스,나,분위기,너무,좋,았,습니다,예약,하,고,가,서,기다림,없이,편하,게,다녀왔,습니다,점수,를,따,게,준,것,은,잠봉,바흐,가,파리,에서,먹,던,맛,이,라고,누군가,이야기,를,했었,는데,조금,아쉬웠,습니다,잠봉,이,1,mm,가,더,두껍,거나,조금,더,양,이,있,었,으면,하,는,마음,과,버터,는,12,mm,살짝,얇,아,지,면,더,비슷,한,맛,일,거,같,았,습니다,학창,시절,파리,에서,정말,많이,사,먹,던,샌드위치,였,어서,기대,하,기,도,하,였,고,추억,소환,이,되,었,습니다",0,0,1,F,
122,4351,sseung,5,"케이크,너무,비싸,요,근데,존맛,탱",0,0,0,T,
123,8534,우무리,5,"카페,아르코,커피,맛있,어요",1,1,1,T,
124,6586,Ehwk,4,"널찍,하,니,좋,아요,라테,마키아토,는,조금,달,았,어요",2,1,1,T,
125,1797,ehyun,5,"바리스타,분,친절,하,고,커피,빵,다,맛있,어요",2,1,1,T,
126,7649,jay****,5,"작업,하,기,좋,아요",1,1,1,T,
