WORD,COUNT
굿,368
커피,335
가격,246
비싸,155
직원,125
음료,123
빵,122
괜찮,118
그냥,111
별로,110
사람,104
보다,73
아니,58
쏘쏘,56
불친절,55
라떼,53
기대,52
비싼,50
불편,47
밀크티,42
느낌,42
보통,41
맛없,39
아메리카노,39
비해,39
먹,36
음식,34
방문,34
모르,33
곳,33
디저트,33
무난,31
아쉬웠,30
고요,29
매우,28
시원,28
평범,27
있,26
버터,25
산미,25
그래요,25
인지,24
조금,23
의자,22
얼그레이,22
잘,22
근데,22
정도,21
슈페너,20
그랬,20
주차,20
건강,20
팡도르,20
짱,20
우유,20
아쉽,20
주스,20
비쌈,20
대비,20
원두,19
그렇,19
좀,19
그저,19
야외,18
웨이팅,18
초코,18
약간,18
나왔,17
실망,17
정신없,17
관리,17
예약,17
가게,17
파운드,16
화장실,16
하나,16
맛남,15
시켰,15
남자,15
인스타,15
개인,15
카운터,15
만들,14
나쁘,14
다른,14
느끼,14
깨끗,14
디카페인,14
크루아상,14
취향,13
특히,13
맛이없,13
나오,13
밍밍,13
사진,13
응대,13
아인,13
제대로,12
이나,12
바게트,11
딱딱,11
깜빠뉴,11
전체,11
카눌레,11
탱,11
예전,11
건물,11
간격,11
얼음,11
따뜻,11
아직,11
말차,11
시끄럽,11
이상,11
다고,11
특별,10
화이트,10
긴,10
아르바이트,10
치즈,10
백설기,10
비추,10
그냥저냥,10
아닌,10
소파,10
코로나,10
아이스크림,10
냄새,10
시그니처,10
좌석,10
적당,10
마세요,10
아님,10
기분,9
짜증,9
양,9
생크림,9
예쁜데,9
보여서,9
소소,9
바닐라,9
잘못,9
안내,9
노맛,9
최악,9
구입,9
그런,9
그런데,9
이런,9
오래,9
계산,8
흑임자,8
소리,8
특이,8
마스크,8
편,8
조화,8
입맛,8
미리,8
볼만한,8
아쉬워,8
신맛,8
가끔,8
가성비,8
티라미수,8
놀랐,8
그래도,8
요구르트,8
구경,8
그다지,8
텐데,8
드려요,8
말투,7
평타,7
옛날,7
볼,7
비슷,7
나름,7
부족,7
명란,7
한입,7
셔요,7
규모,7
시끄러움,7
아무튼,7
교육,7
나가,7
울리,7
표정,7
넘,7
가지,7
다신,7
다면,7
미지근,6
늘,6
시킨,6
뷰,6
데이트,6
여유,6
필요,6
한번,6
미숙,6
강하,6
저녁,6
못하,6
에어컨,6
줄,6
종종,6
사악,6
확인,6
크로폴,6
쑥,6
불쾌,6
쌀,6
성수역,6
그런지,6
아닌데,6
다르,5
티,5
도전,5
영수증,5
행복,5
아보카도,5
대답,5
비주얼,5
녹차,5
강해서,5
서비스,5
와인,5
시럽,5
가깝,5
플랫,5
크림치즈,5
먼지,5
주차장,5
사이즈,5
주택,5
드셔,5
실패,5
콘셉트,5
단맛,5
말,5
시키,5
호불호,5
겉바속촉,5
인가,5
그런가,5
뭔가,5
굉장히,5
아무,5
그리고,5
그럼,5
그러나,5
차라리,5
층,5
그,5
봅니다,5
마실,4
실수,4
사과,4
공기,4
버렸,4
머리카락,4
만드,4
청양,4
한적,4
어수선,4
아쉬움,4
걸려요,4
그럭저럭,4
나중,4
답답,4
마감,4
전반,4
환상,4
종이컵,4
느껴,4
제주도,4
가정집,4
옹근,4
벌레,4
강한,4
오랜만,4
여성,4
일부러,4
체리,4
역점,4
일요일,4
개조,4
뷰맛집,4
이뻐서,4
세트,4
귀찮,4
기대이하,4
머리,4
선택,4
위험,4
싱겁,4
짜리,4
식빵,4
메뉴판,4
절대,4
이건,4
왔,4
걸로,4
쯤,4
뵈,4
손님,3
라우센,3
정신,3
둘,3
시끄러웠,3
팥빙수,3
수준,3
달기만,3
봤,3
새콤,3
리얼,3
고추,3
결제,3
상했,3
덩어리,3
들어간,3
그랬음,3
퀄리티,3
떨어져,3
질문,3
올라간,3
무슨,3
넓어,3
토핑,3
거기,3
미친,3
올리,3
추워,3
빼,3
관련,3
즐기,3
바람,3
즐길,3
이름,3
자그마치,3
아까운,3
구매,3
고객,3
눅눅,3
박스,3
갤러리,3
퍽퍽,3
충격,3
걱정,3
얘기,3
골목,3
파리,3
대표,3
세대,3
