WORD,COUNT
맛있,2239
좋,823
너무,511
분위기,510
친절,418
카페,288
케이크,226
맛나,166
최고,145
맛집,141
존맛,117
진짜,114
정말,106
공간,91
자주,88
넓고,87
성수,84
인테리어,80
맛,78
자리,73
성수동,66
예쁘,63
여기,61
역시,58
잠봉,57
바질,53
스콘,52
추천,46
서울숲,46
많,45
넓어서,45
크로플,44
엄청,43
마시,42
베이커리,41
너무너무,41
이뻐요,40
클라우드,39
시간,38
메뉴,38
예뻐요,37
항상,37
아주,37
너티,35
내부,35
다양,34
옥상,33
깔끔,33
다음,33
벅스,33
쾌적,33
스타,32
매장,32
레몬,31
와플,30
스무디,29
아이스,29
주문,29
유명,29
강추,27
생각,27
평일,27
딸기,25
테이크아웃,25
젤라또,25
신선,25
으로,25
크림,24
어니언,24
새들러,23
핫플,23
최애,23
바로,23
사장,22
짱맛,22
고소,21
그래놀라,21
가능,21
포장,21
널찍,21
오늘,21
언제나,21
만족,21
테라스,20
점심,20
많이,20
이쁘,19
면서,19
음악,18
감사,18
할인,18
넓어요,18
다쿠아즈,17
이용,17
친구,16
플레인,16
근처,16
가격대,16
빨리,16
장소,15
크레이프,15
인생,15
피자,15
모두,15
이랑,15
처음,14
조용,14
투썸,14
드세요,14
자몽,14
오프,14
빵집,14
아침,14
인데,14
식사,13
완전,13
깡패,13
주말,13
달지않,13
대박,13
날씨,13
오픈,13
샌드위치,13
신기,13
맥주,12
마카롱,12
편하,12
수점,12
넓은,12
크로핀,11
핫플레이스,11
회사,11
제일,11
않,11
이유,11
여름,11
귀엽,11
과일,11
스타일,11
생각나,11
바울,11
달달,11
부드럽,11
감성,11
옐로,10
할아버지,10
짱짱,10
무화과,10
셔서,10
독특,10
쿠키,10
예쁜,10
무엇,10
없,10
또,10
멋진,9
가득,9
귀여워,9
가요,9
다만,9
마셨,9
센터,9
보이,9
언제,9
생겨서,9
건강한맛,9
앙,9
매일,8
드립,8
초콜릿,8
짱맛있,8
갈게요,8
단골,8
같,8
힙한,8
부담,8
블루베리,8
하우스,8
테이블,8
네이버,8
사랑,8
의사,8
헤이,8
때문,8
다시,8
너무나,8
지,8
캐러멜,7
추가,7
홍차,7
아기자기,7
이쁜,7
히프,7
빠르,7
콩설기,7
봐요,7
진리,7
저렴,7
여자,7
맛난,7
블랙,7
퍼플,7
위치,7
에스프레소,7
힐링,7
같이,7
마음,7
준비,7
안,7
우연히,7
픽업,7
거의,7
아늑,6
넉넉,6
저격,6
다이어트,6
갈,6
그린,6
예정,6
단짠,6
멋져요,6
한잔,6
갬성,6
소금,6
괜춘,6
하루,6
브라타,6
선물,6
에이드,6
구리,6
창고,6
고급,6
토마토,6
대파,6
기다리,6
예뻐서,6
비건,6
진한,6
동네,6
들르,6
들어갔,6
만큼,6
자체,6
꿀맛,6
담백,6
조합,6
부드러워,6
나와서,6
완벽,6
궁금,6
힘들,6
콜드브루,6
가로수길,6
밀크,6
금방,6
되게,6
더,6
여긴,6
물론,6
공장,5
조명,5
당근,5
진하,5
제주,5
냠냠,5
새로,5
들렸,5
지나가,5
발레,5
홍시,5
가볍,5
달고,5
편해요,5
매주,5
발리,5
플레이스,5
요즘,5
변경,5
저번,5
더워,5
달콤,5
협소,5
파스타,5
더워서,5
배부르,5
그만큼,5
때,5
자꾸,5
다녀왔,5
아메리카노맛있,5
이번,5
다가,5
들어가,5
기본,5
창가,5
커요,5
설기,5
허니,5
모든,5
보리차,5
서울,5
천장,5
대존맛,5
패키지,5
특색,5
휘낭시에,5
천국,5
바뀌,5
편리,5
슈크림,5
거리,5
마들렌,5
청포도,5
로우,5
아이스티,5
은근,5
웬만,5
여전히,5
이제,5
함,5
해도,5
다니,5
게이샤,4
오전,4
브라우니,4
써요,4
성공,4
리뉴,4
멋있,4
기다려야,4
배불러요,4
유자,4
아웃,4
놀라,4
애용,4
넓,4
발견,4
크기,4
바삭,4
찍,4
아르코,4
산책,4
오리지널,4
레모네이드,4
카피,4
일찍,4
햇살,4
공부,4
핫,4
올게요,4
브레드,4
나무,4
우리,4
보람,4
판매,4
브런치,4
똑같,4
라임,4
즐거운,4
힘드,4
그렇지만,4
되,4
커스터드,4
안달고,4
오래기다리,4
가족,4
솔티드,4
포토존,4
주일,4
jmt,4
패션,4
추웠,4
나와요,4
기다려서,4
추워서,4
타르트,4
압도,4
대림,4
맨날,4
망고,4
소문,4
수국,4
사용,4
지나,4
훌륭,4
다소,4
매력적,4
좋아하,4
오렌지,4
피치,4
부추,4
베리,4
커피숍,4
동반,4
반려견,4
가장,4
볼게요,4
영업,4
귀여웠,4
단점,4
덕분,4
순삭,4
멜론,4
다행,4
샐러드,4
이것,4
봐야,4
매번,4
이렇게,4
벌써,4
딱,4
이곳,4
답니다,4
여서,4
한지,4
출근길,3
바나나,3
힙,3
아몬드,3
크런치,3
가까워,3
부드러워서,3
가을,3
감동,3
배치,3
모카,3
소,3
힙합,3
모양,3
페즈,3
직접,3
인절미,3
시끄러워,3
더웠,3
마리네,3
전부,3
줘요,3
귀여운,3
의심,3
찾아가,3
요기,3
슬러시,3
재미있,3
굿즈,3
들어왔,3
베이컨,3
치아바타,3
언니,3
쇼콜라,3
친환경,3
단호박,3
난로,3
변함없이,3
만든,3
식감,3
선선,3
빨미까레,3
간식,3
나눠,3
잠실,3
와야,3
한가,3
달았아요,3
추억,3
틀리,3
모를,3
촉촉,3
혼자,3
너트,3
반려견이,3
넓고요,3
은근히,3
귀여움,3
금요일,3
맞춰서,3
솔솔,3
지하,3
티타임,3
진해,3
명불허전,3
미쳤,3
맛보,3
따로,3
이쁩니다,3
프로,3
마치,3
파티,3
재료,3
베스트,3
따듯,3
어디,3
층고,3
육지,3
활용,3
외부,3
보내,3
얼마,3
보냈,3
쪄요,3
재고,3
그림,3
인기,3
절미,3
부모,3
갑,3
안심,3
쌀쌀,3
트인,3
겁나,3
첫,3
글루텐프리,3
시나몬,3
묵직,3
쇼트,3
충전,3
작업,3
센스,3
한산,3
곳곳,3
비,3
음료수,3
콘센트,3
카페인,3
웨이팅없이,3
다크,3
페이스트리,3
진해서,3
공주,3
유독,3
부분,3
없이,3
품절,3
확실히,3
수역,3
이쁨,3
차,3
엄청나,3
순간,3
향도,3
방역,3
만점,3
무료,3
옥수수,3
친절히,3
무조건,3
맛볼,3
검색,3
드디어,3
상당히,3
딱히,3
왕,3
또한,3
일단,3
생겼으면,3
어제,3
들렀,3
적당히,3
먼저,3
풍경,3
괜히,3
을게요,3
그게,3
해져서,3
앞,3
으면서,3
샀어요,3
스틸,2
핸드,2
피시앤칩스,2
솔트,2
지난번,2
밀푀유,2
인상,2
바삭바삭,2
대화,2
상품,2
검정,2
자연,2
약속,2
쓰,2
뉴트,2
새콤달콤,2
좌식,2
시지,2
분리,2
배달,2
약한,2
착해요,2
즐거움,2
시켜,2
중독,2
참새,2
떨기,2
수다,2
그래,2
편하지않,2
독보,2
수제,2
페이,2
끝내,2
바쁘,2
낮술,2
어울려서,2
쿠폰,2
북적북적,2
여러분,2
당일,2
공원,2
추석,2
연휴,2
마셔,2
겨울,2
모금,2
누텔라,2
스팀,2
온더록스,2
볼래요,2
단데,2
푸짐,2
유행,2
매머드,2
멋지,2
바스크,2
에르제,2
연해,2
예쁩니다,2
돌려먹,2
불구,2
상큼상큼,2
나머진,2
핵존맛,2
지점,2
빵빵,2
와야지,2
예상,2
뉴스,2
푹신,2
자세히,2
기다린,2
섹션,2
다이어터,2
퍼프치노,2
로열,2
도심,2
자바,2
경험,2
소시지,2
콜드,2
강아지,2
뚝딱,2
들러볼,2
편해서,2
천천히,2
다행히,2
오히려,2
놓여,2
레트,2
벽돌,2
가로수,2
남편,2
노을,2
과하,2
애매,2
소프트,2
여러,2
가보세요,2
어렵,2
도착,2
훔볼트,2
조음,2
차이,2
사세요,2
후식,2
덕,2
커,2
분수,2
살살녹아요,2
일정,2
참고,2
가치,2
아깝,2
의외,2
어려웠,2
제리,2
데워,2
빈티지,2
냉장고,2
칩,2
쇼핑,2
잠시,2
고르,2
재미난,2
오래걸리,2
시끌시끌,2
빨라,2
핼러윈,2
편차,2
이마트,2
외국인,2
미세먼지,2
카프레,2
새로운,2
베르티,2
시폰,2
한정,2
오미자,2
대추야자,2
질릴,2
다섯,2
찐하,2
입천장,2
복숭아,2
원탑,2
수박,2
엄마,2
가진,2
모습,2
확보,2
스토어,2
건강식,2
정식,2
자극,2
정리,2
피지,2
페퍼민트,2
찰떡,2
누구,2
피넛,2
작품,2
지역,2
파라솔,2
영양,2
생긴,2
구수,2
아메리카노맛,2
지켜,2
거리두기,2
시원시원,2
구성,2
멀리,2
환경,2
리뷰,2
기회,2
전화,2
민트,2
포카치아,2
듬뿍,2
창가자리,2
블로그,2
후회,2
즐겼,2
퇴근,2
단체,2
주차가능,2
호기심,2
달리,2
땅콩,2
소진,2
콤부차,2
크리스마스,2
프라,2
에어,2
브루잉,2
나이스,2
카페모카,2
이색,2
얼른,2
스마일,2
챙겨,2
타임,2
모히또,2
밝게,2
프랑스,2
풀리,2
뜨겁,2
생겼,2
구석구석,2
소개,2
돌체,2
고소미,2
추천요,2
넓음,2
공사,2
크렘,2
마리아주,2
트러플,2
엄청난,2
시즌,2
노노,2
실외,2
꾸며,2
당,2
곡물,2
퍼펙트,2
마십니다,2
나무집,2
발라,2
가슴,2
착석,2
스탈,2
목적,2
길어서,2
들리,2
기다렸,2
빠지,2
예쁨,2
간편,2
단백,2
예약제,2
떨어져서,2
깜찍,2
든든,2
전시,2
견과,2
바쁜,2
들어와서,2
체다,2
급하,2
솔드,2
출근,2
고를,2
합해서,2
가시,2
안정,2
사라지,2
방문자,2
인사,2
꼬숩,2
베이글,2
스페셜,2
외관,2
탱이,2
카라멜,2
슈슈,2
우롱,2
봐야겠어요,2
보관,2
생기,2
오래오래,2
카카오,2
신나,2
훨씬,2
찾아왔,2
로스팅,2
밖에,2
나온,2
