USER,SCORE,ORIGINAL,CHECKED,SENT_SCORE,PN
애호박,5,오프커피 먹었는데 다섯잔 먹어도 안질릴거같아요,오프 커피 먹었는데 다섯 잔 먹어도 안 질릴 거 같아요,0,1
만세타이어,5,굿,굿,1,1
솔라C,5,커피 맛있고 분위기,커피 맛있고 분위기,1,1
희짱,4.5,시원하고 달달하니 맛있어요 카페 인테리어도 이뻐요,시원하고 달달하니 맛있어요 카페 인테리어도 이뻐요,2,1
장쓰,5,인테리어가 맘에 들어요 슬러쉬도 맛있어요,인테리어가 맘에 들어요 슬러시도 맛있어요,1,1
샛별,3.5,셔요,셔요,0,0
초코초코,5,분위기도좋고 디저트맛있어요,분위기도 좋고 디저트 맛있어요,2,1
고끼리,4.5,귀엽고 키치한 카페 사장님이 언제나친절하세요,귀엽고 키치 한 카페 사장님이 언제나 친절하세요,2,1
정영선,5,저희집 근처에 이런 감성카페가 있는줄 몰랐어요 친구 기다리면서 우연히 들어갔는데 와 앞으로 이집커피만 먹을듯 너무 맛있어요 ,저희 집 근처에 이런 감성 카페가 있는 줄 몰랐어요 친구 기다리면서 우연히 들어갔는데 와 앞으로 이 집 커피만 먹을 듯 너무 맛있어요 ,2,1
난냐뉴라,5,역시 커피 맛집  너무 좋네요,역시 커피 맛집  너무 좋네요,2,1
우연옥,5,커피가 깔끔하고 맛있어요 ,커피가 깔끔하고 맛있어요 ,2,1
서주원,5,근처 친구 집 놀러갔다가 분위기 좋은 카페 발견했네요,근처 친구 집 놀러 갔다가 분위기 좋은 카페 발견했네요,2,1
쩡,5,맛도 좋고 분위기도 좋고 사장님도 너무 친절하셨어요 ,맛도 좋고 분위기도 좋고 사장님도 너무 친절하셨어요 ,3,1
김소연,5,카페가면 스티커 무조건 모으는데 넘 귀여워요  맛도 좋고 자주 가겠습니당,카페 가면 스티커 무조건 모으는데 너무 귀여워요  맛도 좋고 자주 가겠습니다,3,1
곰수니,5,젤라또 또먹으로옴난 단골인증 상큼하니 맛나유,젤라또 또 먹으로 옴 난 단골 인증 상큼하니 맛나요,2,1
nic****,5,친구만나서 다녀왔는데 맛있고 분위기 굿입니다,친구 만나서 다녀왔는데 맛있고 분위기 굿입니다,3,1
규울,5,달달하고 넘 맛있어요  다음엔 다른메뉴도 먹어볼래요,달달하고 너무 맛있어요  다음엔 다른 메뉴도 먹어볼래요,1,1
희요요,5,아메리카노 딱 맛있고 스콘도 맛있어요,아메리카노 딱 맛있고 스콘도 맛있어요,2,1
앙퀴,5,커피랑 젤라또 다 너무 맛있어요,커피랑 젤라또 다 너무 맛있어요,1,1
쩜쑤,5,핫도그 맛있어요,핫도그 맛있어요,1,1
로지,5,인테리어가 너무 귀여워요 ,인테리어가 너무 귀여워요 ,1,1
ysy****,5,친절하시구 커피맛도 제가 좋아하는 맛이에용 맛있네용 만족합니당,친절하시고 커피 맛도 제가 좋아하는 맛이에요 맛있네요 만족합니다,4,1
kmj****,5,여기커피맛있어요,여기 커피 맛있어요,1,1
수빈,5,오프커피 약간 반신반의로 시킨건데 제 입에 딱맞아요 ,오프 커피 약간 반신반의로 시킨 건데 제 입에 딱 맞아요,0,1
jeo****,5,레몬티도 그렇고 커피도 그렇고 정말 맛있어요 왠만한 커피전문점 보다 맛있어요,레몬티도 그렇고 커피도 그렇고 정말 맛있어요 웬만한 커피전문점 보다 맛있어요,2,1
니니,4.5,독특해요 맥주도 파는 카페랍니당,독특해요 맥주도 파는 카페랍니다,0,1
김은경,5,커피 맛이 제 입에 잘 맞아요 카페가 느낌있어서 다음에 또 방문하고 싶네요,커피 맛이 제 입에 잘 맞아요 카페가 느낌 있어서 다음에 또 방문하고 싶네요,1,1
김양은,5,커피 향도 좋고 스콘 맛도 좋네요 다음에 또 방문할게요,커피 향도 좋고 스콘 맛도 좋네요 다음에 또 방문할게요,2,1
뽀,4.5,사장님이 매우 친절하셔요,사장님이 매우 친절하셔요,1,1
난냐뉴라,5,정말 너무 맛있습니다 스콘 먹으러 맨날 오고싶요,정말 너무 맛있습니다 스콘 먹으러 맨날 오고 싶오,1,1
MzCz,5,귀여운카페입니다젤라또도맛있어요,귀여운 카페입니다 젤라또도 맛있어요,2,1
yeb****,5,배고파서 핫도그 먹었는데 진짜 한끼로 딱이네요 완저니 든든합니다 그리고 맛도 기가 맥힙니다 나중에 또 와서 먹을거에요 직원 언니 너무 귀여워요,배고파서 핫도그 먹었는데 진짜 한 끼로 딱이네요 완저니 든든합니다 그리고 맛도 기가 막힙니다 나중에 또 와서 먹을 거예요 직원 언니 너무 귀여워요,1,1
곰수니,5,젤라또맛집이지만 아메이카노도 맛있당 밥만적게먹었으면다먹는건뎈,젤라또 맛집이지만 아메리카노도 맛있다 밥만적게먹었으면다먹는건뎈,2,1
손많이가는아이,5,커피가 고소해서 좋아요,커피가 고소해서 좋아요,1,1
소영,5,커피 맛있어요b,커피 맛있어요 b,1,1
샛별,5,조아요,좋아요,1,1
아리공주,5,레몬티 따뜻한거 마셨는데 레몬 그자체 상콤해요 너무 맛있어요  엄청 추운날마시자마자 행복하네요 자주올게요,레몬티 따뜻한 거 마셨는데 레몬 그 자체 상큼해요 너무 맛있어요  엄청 추운 날 마시자마자 행복하네요 자주 올게요,2,1
pizont,5,코로나 규제 풀린 기념으로 놀러왔는데 고향에 온듯 아련한 기분이 드네요,코로나 규제 풀린 기념으로 놀러 왔는데 고향에 온 듯 아련한 기분이 드네요,0,1
momo,3.5,귀여워요,귀여워요,1,0
닉X,5,너무좋은데요 좋았습니다 젤라또 맛있어요,너무 좋은데요 좋았습니다 젤라또 맛있어요,3,1
nam****,5,넘나 맛있어용 최고,넘나 맛있어요 최고,2,1
난냐뉴라,5,오늘은 초코라떼 넘 맛있습니다  오프커피 만세 만세 만만세 ,오늘은 초코 라테 너무 맛있습니다  오프 커피 만세 만세 만세 ,4,1
난냐뉴라,5,새 메뉴 아보카도샌드위치 맛이 좋네요강력추천합니다 자주올게여 ,새 메뉴 아보카도 샌드위치 맛이 좋네요 강력 추천합니다 자주 올게요,3,1
sy,5,이곳만의 바이브가 좋아요,이곳만의 바이브가 좋아요,1,1
이가현,5,바질 젤라또 새콤달콤해서 기분전환되는 맛이에요 사장님 친절하시구 매장도 아기자기해서 좋아요,바질 젤라또 새콤달콤해서 기분전환되는 맛이에요 사장님 친절하시고 매장도 아기자기해서 좋아요,2,1
빡쑤,5,완전 존맛,완전 존맛,1,1
난냐뉴라,5,새 메뉴 오트밀커피 크림치즈브레드와토마토스프 출시됐길래 먹어봤어요 말해 뭐 합니까 정말 끝내주네요 ,새 메뉴 오트밀 커피 크림치즈 브레드와 토마토 수프 출시됐길래 먹어봤어요 말해 뭐 합니까 정말 끝내주네요 ,0,1
pizont,5,오랜만에 왔는데 신메뉴가 쏟아지네요 코로나 때문에 걱정이 많으실테지만 항상 밝게 맞이해주시는 사장님 덕분에 오늘도 너무 힐링됩니다,오랜만에 왔는데 신메뉴가 쏟아지네요 코로나 때문에 걱정이 많으실 테지만 항상 밝게 맞이해주시는 사장님 덕분에 오늘도 너무 힐링 됩니다,0,1
난냐뉴라,5,항상 오고싶은 카페에요 제 인생카페라고나할까요 오늘은 아메리카노와 쿠키,항상 오고 싶은 카페에요 제 인생 카페라고나 할까요 오늘은 아메리카노와 쿠키,1,1
지희,5,직원분들도 친절하시고 커피도 진짜 맛있습니다 원래 리뷰 잘 안남기는 편인데 너무 좋아서 남겨요,직원분들도 친절하시고 커피도 진짜 맛있습니다 원래 리뷰 잘 안 남기는 편인데 너무 좋아서 남겨요,4,1
rjs****,5,매주 34회 방문하여서 맛잇게 먹는 카페 입니다 방문 후 포장으로 해도 따듯하게 먹을수 있어서 좋습니다,매주 34회 방문하여서 맛있게 먹는 카페입니다 방문 후 포장으로 해도 따듯하게 먹을 수 있어서 좋습니다,2,1
nam****,5,제 최애 카페입니당 너무 맛있어요,제 최애 카페입니다 너무 맛있어요,2,1
난냐뉴라,5,먹어도먹어도 안질리는 맛 오프커피 최고입니단,먹어도 먹어도 안 질리는 맛 오프 커피 최고입니다,0,1
난냐뉴라,5,아주 고급진 커피네요,아주 고급 진 커피네요,1,1
뙈지,5,바질 젤라또랑 오프 아이스 시켰는데 젤라또도 쫀득쫀득 맛있고 오프아이스도 커피맛이 굉장히 좋네요 사실 공간은 생각보단 협소했는데 인테리어도 인상적이고 귀엽기도 하고 그리고 사장님 서비스가 엄청 좋으시더라구요 장사 잘하신다 느껴졌어요 집만 근처면 자주 올듯 한데  나중에 또 들리고 싶어요,바질 젤라또랑 오프 아이스 시켰는데 젤라또도 쫀득쫀득 맛있고 오프 아이스도 커피 맛이 굉장히 좋네요 사실 공간은 생각보단 협소했는데 인테리어도 인상적이고 귀엽기도 하고 그리고 사장님 서비스가 엄청 좋으시더라고요 장사 잘하신다 느껴졌어요 집만 근처면 자주 올 듯한데  나중에 또 들리고 싶어요,6,1
왓웹,5,커피좀 한다는 카페 가봐도 분위기빨인데 여기 커피 진짜진짜 맛있고 직원분들이 하나같이 다친절해요,커피 좀 한다는 카페 가봐도 분위기 빨 인테 여기 커피 진짜 진짜 맛있고 직원분들이 하나같이 다 친절해요,2,1
