USER,SCORE,REVIEW,MECAB,SENT_SCORE,SCALING,NEW_RATE
1. OffCoffee,,,,,,
애호박,5,오프커피 먹었는데 다섯잔 먹어도 안질릴거같아요,"오프,커피,먹,었,는데,다섯,잔,먹,어도,안,질릴,거,같,아요",1,2.272727273,3.636363636
만세타이어,5,굿,굿,1,2.272727273,3.636363636
아맛나,4,오프커피 맛나요,"오프,커피,맛나,요",1,2.272727273,3.136363636
솔라C,5,커피 맛있고 분위기,"커피,맛있,고,분위기",1,2.272727273,3.636363636
희짱,4.5,시원하고 달달하니 맛있어요 카페 인테리어도 이뻐요,"시원,하,고,달달,하,니,맛있,어요,카페,인테리어,도,이뻐요",2,2.5,3.5
장쓰,5,인테리어가 맘에 들어요 슬러쉬도 맛있어요,"인테리어,가,맘,에,들,어요,슬러시,도,맛있,어요",1,2.272727273,3.636363636
샛별,3.5,셔요,셔요,-1,1.818181818,2.659090909
초코초코,5,분위기도좋고 디저트맛있어요,"분위기,도,좋,고,디저트,맛있,어요",2,2.5,3.75
고끼리,4.5,귀엽고 키치한 카페 사장님이 언제나친절하세요,"귀엽,고,키치,한,카페,사장,님,이,언제나,친절,하,세요",2,2.5,3.5
정영선,5,저희집 근처에 이런 감성카페가 있는줄 몰랐어요 친구 기다리면서 우연히 들어갔는데 와 앞으로 이집커피만 먹을듯 너무 맛있어요 ,"저희,집,근처,에,이런,감성,카페,가,있,는,줄,몰랐,어요,친구,기다리,면서,우연히,들어갔,는데,와,앞,으로,이,집,커피,만,먹,을,듯,너무,맛있,어요",3,2.727272727,3.863636364
난냐뉴라,5,역시 커피 맛집  너무 좋네요,"역시,커피,맛집,너무,좋,네요",3,2.727272727,3.863636364
우연옥,5,커피가 깔끔하고 맛있어요 ,"커피,가,깔끔,하,고,맛있,어요",2,2.5,3.75
서주원,5,근처 친구 집 놀러갔다가 분위기 좋은 카페 발견했네요,"근처,친구,집,놀,러,갔,다가,분위기,좋,은,카페,발견,했,네요",3,2.727272727,3.863636364
쩡,5,맛도 좋고 분위기도 좋고 사장님도 너무 친절하셨어요 ,"맛,도,좋,고,분위기,도,좋,고,사장,님,도,너무,친절,하,셨,어요",3,2.727272727,3.863636364
김소연,5,카페가면 스티커 무조건 모으는데 넘 귀여워요  맛도 좋고 자주 가겠습니당,"카페,가,면,스티커,무조건,모으,는데,너무,귀여워,요,맛,도,좋,고,자주,가,겠,습니다",2,2.5,3.75
곰수니,5,젤라또 또먹으로옴난 단골인증 상큼하니 맛나유,"젤라또,또,먹,으로,옴,난,단골,인증,상큼,하,니,맛나,요",3,2.727272727,3.863636364
nic****,5,친구만나서 다녀왔는데 맛있고 분위기 굿입니다,"친구,만나,서,다녀왔,는데,맛있,고,분위기,굿,입니다",3,2.727272727,3.863636364
